time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,17107.0,17671.0,14786.0,18421.0,18529.0,17232.0,16907.0,20655.0,20958.0,19402.0,20915.0,20385.0,18332.0,20131.0,
0.059,17055.0,17708.0,14786.0,18406.0,18544.0,17239.0,16922.0,20648.0,20935.0,19463.0,20915.0,20333.0,18302.0,20123.0,
0.110,17055.0,17701.0,14801.0,18467.0,18513.0,17262.0,16914.0,20655.0,20905.0,19387.0,21006.0,20318.0,18288.0,20123.0,
0.160,17040.0,17686.0,14779.0,18444.0,18551.0,17202.0,16907.0,20655.0,20905.0,19425.0,20892.0,20355.0,18251.0,20131.0,
0.210,17137.0,17752.0,14794.0,18406.0,18528.0,17247.0,16900.0,20670.0,20996.0,19395.0,20892.0,20363.0,18310.0,20123.0,
0.261,17063.0,17708.0,14779.0,18474.0,18513.0,17232.0,16915.0,20655.0,20936.0,19387.0,20968.0,20311.0,18273.0,20123.0,
0.311,17100.0,17686.0,14847.0,18436.0,18528.0,17247.0,16907.0,20634.0,20920.0,19410.0,20930.0,20333.0,18310.0,20116.0,
0.361,17070.0,17723.0,14794.0,18421.0,18521.0,17224.0,16899.0,20670.0,20943.0,19372.0,20915.0,20326.0,18266.0,20123.0,
0.411,17092.0,17671.0,14786.0,18451.0,18536.0,17224.0,16907.0,20656.0,20920.0,19402.0,20968.0,20363.0,18302.0,20130.0,
0.461,17062.0,17701.0,14786.0,18474.0,18551.0,17209.0,16892.0,20648.0,20920.0,19379.0,20937.0,20341.0,18324.0,20130.0,
0.511,17100.0,17701.0,14786.0,18459.0,18544.0,17247.0,16885.0,20656.0,20966.0,19394.0,20960.0,20363.0,18280.0,20109.0,
0.561,17115.0,17708.0,14786.0,18406.0,18521.0,17254.0,16900.0,20663.0,20905.0,19425.0,20945.0,20333.0,18288.0,20123.0,
0.611,17085.0,17679.0,14801.0,18467.0,18521.0,17217.0,16914.0,20655.0,20928.0,19417.0,20938.0,20311.0,18310.0,20123.0,
0.662,17040.0,17701.0,14786.0,18421.0,18551.0,17209.0,16900.0,20641.0,20973.0,19379.0,20945.0,20333.0,18273.0,20123.0,
0.712,17040.0,17701.0,14786.0,18451.0,18528.0,17232.0,16892.0,20670.0,20913.0,19372.0,20960.0,20333.0,18324.0,20123.0,
0.762,17137.0,17701.0,14794.0,18421.0,18544.0,17224.0,16915.0,20678.0,20898.0,19417.0,20945.0,20355.0,18288.0,20130.0,
0.812,17048.0,17723.0,14801.0,18414.0,18544.0,17202.0,16899.0,20634.0,20981.0,19432.0,20937.0,20355.0,18310.0,20108.0,
0.862,17040.0,17708.0,14801.0,18421.0,18513.0,17247.0,16922.0,20685.0,20913.0,19402.0,20945.0,20341.0,18310.0,20123.0,
0.912,17048.0,17686.0,14801.0,18429.0,18536.0,17202.0,16915.0,20648.0,20913.0,19417.0,20884.0,20348.0,18288.0,20131.0,
0.962,17077.0,17708.0,14786.0,18429.0,18536.0,17224.0,16907.0,20655.0,20905.0,19379.0,20899.0,20333.0,18273.0,20123.0,
1.012,17107.0,17701.0,14779.0,18436.0,18559.0,17224.0,16907.0,20663.0,20966.0,19394.0,20945.0,20326.0,18258.0,20116.0,
1.063,17085.0,17708.0,14786.0,18444.0,18551.0,17209.0,16907.0,20670.0,20943.0,19394.0,20968.0,20333.0,18280.0,20130.0,
1.113,17062.0,17723.0,14786.0,18406.0,18528.0,17224.0,16922.0,20655.0,20936.0,19410.0,20953.0,20348.0,18302.0,20109.0,
1.163,17100.0,17686.0,14786.0,18436.0,18521.0,17247.0,16900.0,20700.0,20958.0,19402.0,20922.0,20341.0,18280.0,20138.0,
1.213,17070.0,17693.0,14786.0,18459.0,18551.0,17217.0,16907.0,20670.0,20913.0,19417.0,20907.0,20348.0,18266.0,20130.0,
1.263,17085.0,17745.0,14786.0,18429.0,18544.0,17217.0,16900.0,20692.0,20951.0,19394.0,20884.0,20341.0,18324.0,20108.0,
