time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,17032.0,17612.0,14711.0,18204.0,14201.0,17149.0,16840.0,20508.0,20791.0,19356.0,20823.0,20237.0,18222.0,20085.0,
0.058,16995.0,17686.0,14726.0,18113.0,14208.0,17149.0,16847.0,20574.0,20783.0,19303.0,20785.0,20223.0,18222.0,20078.0,
0.109,16988.0,17664.0,14711.0,18091.0,14186.0,17089.0,16855.0,20479.0,20799.0,19296.0,20816.0,20237.0,18251.0,20056.0,
0.159,17055.0,17642.0,14741.0,18121.0,14171.0,17082.0,16825.0,20545.0,20791.0,19341.0,20800.0,20230.0,18214.0,20085.0,
0.209,17047.0,17620.0,14719.0,18075.0,14186.0,17104.0,16840.0,20567.0,20821.0,19326.0,20816.0,20230.0,18222.0,20078.0,
0.259,17017.0,17605.0,14741.0,18113.0,14216.0,17104.0,16840.0,20530.0,20791.0,19281.0,20823.0,20215.0,18200.0,20071.0,
0.309,16973.0,17597.0,14711.0,18091.0,14216.0,17089.0,16832.0,20530.0,20813.0,19334.0,20808.0,20260.0,18200.0,20078.0,
0.359,17040.0,17641.0,14794.0,18098.0,14216.0,17089.0,16832.0,20574.0,20776.0,19326.0,20778.0,20252.0,18200.0,20071.0,
0.409,17025.0,17627.0,14764.0,18121.0,14193.0,17142.0,16855.0,20552.0,20768.0,19318.0,20800.0,20223.0,18214.0,20085.0,
0.460,17010.0,17664.0,14719.0,18098.0,14193.0,17165.0,16847.0,20493.0,20806.0,19281.0,20816.0,20267.0,18236.0,20078.0,
0.510,17003.0,17678.0,14719.0,18060.0,14208.0,17127.0,16847.0,20500.0,20798.0,19288.0,20793.0,20223.0,18214.0,20085.0,
0.560,17032.0,17641.0,14711.0,18106.0,14208.0,17104.0,16847.0,20582.0,20791.0,19326.0,20770.0,20252.0,18200.0,20085.0,
0.610,17025.0,17641.0,14726.0,18113.0,14186.0,17165.0,16840.0,20552.0,20791.0,19281.0,20808.0,20260.0,18200.0,20078.0,
0.661,17040.0,17642.0,14779.0,18121.0,18270.0,17119.0,16847.0,20604.0,20806.0,19288.0,20785.0,20252.0,18214.0,20078.0,
0.711,16988.0,17649.0,14749.0,18083.0,14178.0,17134.0,16847.0,20552.0,20799.0,19288.0,20800.0,20267.0,18236.0,20078.0,
0.761,16988.0,17641.0,14719.0,18068.0,14178.0,17142.0,16862.0,20530.0,20783.0,19296.0,20793.0,20230.0,18222.0,20092.0,
0.811,16988.0,17634.0,14719.0,18098.0,14171.0,17172.0,16847.0,20545.0,20814.0,19296.0,20793.0,20230.0,18236.0,20085.0,
0.861,16988.0,17597.0,14726.0,18106.0,18278.0,17164.0,16847.0,20508.0,20776.0,19288.0,20793.0,20237.0,18244.0,20078.0,
0.911,17010.0,17605.0,14801.0,18060.0,14178.0,17097.0,16832.0,20589.0,20761.0,19288.0,20785.0,20208.0,18222.0,20078.0,
0.962,17047.0,17663.0,14711.0,18068.0,18308.0,17104.0,16832.0,20559.0,20768.0,19273.0,20778.0,20230.0,18214.0,20071.0,
1.012,17040.0,17641.0,14756.0,18090.0,14186.0,17164.0,16840.0,20508.0,20806.0,19334.0,20770.0,20193.0,18207.0,20085.0,
1.062,16988.0,17641.0,14704.0,18090.0,14208.0,17097.0,16840.0,20567.0,20760.0,19296.0,20800.0,20237.0,18214.0,20071.0,
1.112,16965.0,17634.0,14719.0,18128.0,14208.0,17157.0,16840.0,20493.0,20798.0,19364.0,20778.0,20245.0,18200.0,20085.0,
1.162,17047.0,17663.0,14749.0,18060.0,14193.0,17112.0,16862.0,20560.0,20791.0,19334.0,20793.0,20215.0,18214.0,20078.0,
1.213,17002.0,17693.0,14749.0,18098.0,14171.0,17165.0,16855.0,20508.0,20806.0,19281.0,20777.0,20245.0,18236.0,20078.0,
1.263,16980.0,17627.0,14756.0,18075.0,14193.0,17127.0,16840.0,20493.0,20806.0,19303.0,20785.0,20237.0,18200.0,20085.0,
1.313,17010.0,17656.0,14726.0,18098.0,18263.0,17104.0,16855.0,20552.0,20768.0,19250.0,20763.0,20223.0,18236.0,20078.0,
1.364,17003.0,17627.0,14771.0,18068.0,14216.0,17134.0,16840.0,20523.0,20783.0,19265.0,20778.0,20223.0,18222.0,20063.0,
1.414,16995.0,17590.0,14764.0,18091.0,14201.0,17104.0,16840.0,20493.0,20783.0,19273.0,20800.0,20208.0,18222.0,20100.0,
1.464,16995.0,17605.0,14734.0,18091.0,14193.0,17119.0,16862.0,20515.0,20760.0,19265.0,20800.0,20230.0,18207.0,20063.0,
1.514,17040.0,17641.0,14726.0,18068.0,14201.0,17104.0,16855.0,20559.0,20813.0,19296.0,20785.0,20215.0,18229.0,20092.0,
1.565,17017.0,17619.0,14734.0,18068.0,14201.0,17142.0,16847.0,20515.0,20783.0,19334.0,20793.0,20237.0,18200.0,20078.0,
1.615,17077.0,17627.0,14719.0,18090.0,18270.0,17127.0,16855.0,20545.0,20813.0,19296.0,20793.0,20245.0,18258.0,20078.0,
1.665,17047.0,17597.0,14726.0,18113.0,14186.0,17089.0,16832.0,20530.0,20814.0,19318.0,20762.0,20223.0,18229.0,20078.0,
1.715,16965.0,17612.0,14824.0,18128.0,18346.0,17164.0,16840.0,20545.0,20776.0,19296.0,20785.0,20230.0,18207.0,20085.0,
1.765,16988.0,17649.0,14711.0,18106.0,14201.0,17149.0,16832.0,20552.0,20813.0,19281.0,20770.0,20230.0,18207.0,20078.0,
1.815,16995.0,17597.0,14704.0,18053.0,18286.0,17104.0,16840.0,20515.0,20783.0,19341.0,20755.0,20215.0,18207.0,20063.0,
1.865,16973.0,17642.0,14794.0,18091.0,14208.0,17089.0,16855.0,20471.0,20798.0,19265.0,20816.0,20230.0,18207.0,20092.0,
1.915,16988.0,17627.0,14734.0,18098.0,14216.0,17134.0,16847.0,20560.0,20776.0,19281.0,20808.0,20223.0,18222.0,20078.0,
1.966,17047.0,17634.0,14764.0,18068.0,14201.0,17165.0,16847.0,20537.0,20791.0,19288.0,20815.0,20245.0,18222.0,20070.0,
2.016,16965.0,17605.0,14734.0,18083.0,14193.0,17104.0,16847.0,20530.0,20753.0,19296.0,20778.0,20238.0,18200.0,20071.0,
2.066,16988.0,17605.0,14734.0,18076.0,14186.0,17082.0,16832.0,20493.0,20776.0,19311.0,20763.0,20245.0,18266.0,20070.0,
