frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.177,
4,0.227,
5,0.277,
6,0.328,
7,0.378,
8,0.428,
9,0.478,
10,0.529,
11,0.579,
12,0.629,
13,0.680,
14,0.730,
15,0.780,
16,0.830,
17,0.880,
18,0.930,
19,0.980,
20,1.031,
21,1.081,
22,1.131,
23,1.181,
24,1.231,
25,1.282,
26,1.332,
27,1.382,
28,1.432,
29,1.483,
30,1.533,
31,1.583,
32,1.634,
33,1.684,
34,1.734,
35,1.784,
36,1.834,
37,1.884,
38,1.934,
39,1.984,
40,2.035,
41,2.085,
42,2.135,
43,2.185,
44,2.235,
45,2.285,
46,2.335,
47,2.385,
48,2.436,
49,2.486,
50,2.536,
51,2.586,
52,2.636,
53,2.686,
54,2.736,
55,2.787,
56,2.837,
57,2.887,
58,2.937,
59,2.987,
60,3.037,
61,3.087,
62,3.137,
63,3.187,
64,3.238,
65,3.289,
66,3.339,
67,3.389,
68,3.440,
69,3.490,
70,3.540,
71,3.590,
72,3.641,
73,3.691,
74,3.741,
75,3.791,
76,3.841,
77,3.892,
78,3.943,
79,3.993,
80,4.043,
81,4.094,
82,4.144,
83,4.194,
84,4.244,
85,4.294,
86,4.344,
87,4.394,
88,4.445,
89,4.495,
90,4.545,
91,4.596,
92,4.646,
93,4.696,
94,4.746,
95,4.796,
96,4.846,
97,4.896,
98,4.946,
99,4.996,
100,5.047,
101,5.097,
102,5.147,
103,5.198,
104,5.248,
105,5.298,
106,5.348,
107,5.398,
108,5.449,
109,5.499,
110,5.549,
111,5.599,
112,5.650,
113,5.700,
114,5.750,
115,5.801,
116,5.851,
117,5.901,
118,5.951,
119,6.001,
120,6.052,
121,6.102,
122,6.152,
123,6.202,
124,6.252,
125,6.302,
126,6.353,
127,6.403,
128,6.453,
129,6.503,
130,6.554,
131,6.605,
132,6.655,
133,6.705,
134,6.756,
135,6.806,
136,6.857,
137,6.907,
138,6.957,
139,7.007,
140,7.057,
141,7.107,
142,7.158,
143,7.208,
144,7.258,
145,7.308,
146,7.358,
147,7.409,
148,7.459,
149,7.509,
150,7.559,
151,7.610,
152,7.660,
153,7.710,
154,7.760,
155,7.811,
156,7.862,
157,7.912,
158,7.962,
159,8.013,
160,8.063,
161,8.113,
162,8.163,
163,8.213,
164,8.263,
165,8.314,
166,8.364,
167,8.414,
168,8.464,
169,8.514,
170,8.565,
171,8.615,
172,8.665,
173,8.716,
174,8.766,
175,8.817,
176,8.867,
177,8.917,
178,8.967,
179,9.017,
180,9.067,
181,9.118,
182,9.168,
183,9.218,
184,9.268,
185,9.319,
186,9.369,
187,9.419,
188,9.470,
189,9.520,
190,9.570,
191,9.621,
192,9.671,
193,9.722,
194,9.772,
195,9.822,
196,9.872,
197,9.922,
198,9.973,
199,10.023,
200,10.073,
201,10.123,
