frame_num,time_s,
0,0.018,
1,0.068,
2,0.119,
3,0.169,
4,0.219,
5,0.269,
6,0.319,
7,0.370,
8,0.420,
9,0.470,
10,0.521,
11,0.571,
12,0.621,
13,0.671,
14,0.721,
15,0.772,
16,0.828,
17,0.894,
18,0.961,
19,1.028,
20,1.095,
21,1.161,
22,1.228,
23,1.294,
24,1.360,
25,1.427,
26,1.494,
27,1.561,
28,1.627,
29,1.693,
30,1.760,
31,1.827,
32,1.893,
33,1.960,
34,2.027,
35,2.093,
36,2.159,
37,2.226,
38,2.292,
39,2.359,
40,2.426,
41,2.493,
42,2.559,
43,2.625,
44,2.692,
45,2.758,
46,2.825,
47,2.892,
48,2.958,
49,3.025,
50,3.092,
51,3.158,
52,3.226,
53,3.291,
54,3.358,
55,3.425,
56,3.491,
57,3.558,
58,3.624,
59,3.691,
60,3.757,
61,3.824,
62,3.891,
63,3.957,
64,4.024,
65,4.090,
66,4.157,
67,4.223,
68,4.290,
69,4.357,
70,4.423,
71,4.491,
72,4.557,
73,4.623,
74,4.690,
75,4.756,
76,4.823,
77,4.890,
78,4.956,
79,5.022,
80,5.089,
81,5.156,
82,5.222,
83,5.289,
84,5.356,
85,5.422,
86,5.489,
87,5.555,
88,5.622,
89,5.688,
90,5.755,
91,5.822,
92,5.888,
93,5.955,
94,6.021,
95,6.088,
96,6.155,
97,6.221,
98,6.288,
99,6.354,
100,6.421,
101,6.487,
102,6.554,
103,6.621,
104,6.687,
105,6.754,
106,6.820,
107,6.887,
108,6.953,
109,7.019,
110,7.087,
111,7.153,
112,7.220,
113,7.286,
114,7.353,
115,7.419,
116,7.486,
117,7.552,
118,7.619,
119,7.686,
120,7.753,
121,7.819,
122,7.886,
123,7.952,
124,8.019,
125,8.085,
126,8.152,
127,8.218,
128,8.285,
129,8.351,
130,8.418,
131,8.485,
132,8.551,
133,8.617,
134,8.685,
135,8.751,
136,8.818,
137,8.884,
138,8.951,
139,9.017,
140,9.084,
141,9.150,
142,9.217,
143,9.284,
144,9.351,
145,9.417,
146,9.483,
147,9.550,
148,9.616,
149,9.683,
150,9.750,
151,9.816,
152,9.883,
153,9.949,
154,10.016,
155,10.083,
156,10.149,
157,10.216,
158,10.282,
159,10.349,
160,10.415,
161,10.482,
162,10.550,
163,10.615,
164,10.682,
165,10.749,
166,10.815,
167,10.882,
168,10.948,
169,11.015,
170,11.081,
171,11.148,
172,11.214,
173,11.281,
174,11.347,
175,11.415,
176,11.481,
177,11.547,
178,11.614,
179,11.681,
180,11.748,
181,11.814,
182,11.880,
183,11.947,
184,12.013,
185,12.080,
186,12.146,
187,12.213,
188,12.280,
189,12.346,
190,12.413,
191,12.479,
192,12.546,
193,12.613,
194,12.679,
195,12.746,
196,12.812,
197,12.879,
198,12.945,
199,13.012,
200,13.078,
201,13.146,
202,13.212,
203,13.278,
204,13.345,
205,13.412,
206,13.478,
207,13.545,
208,13.612,
209,13.678,
210,13.745,
211,13.811,
212,13.878,
213,13.944,
214,14.011,
215,14.078,
216,14.144,
217,14.211,
218,14.277,
219,14.344,
220,14.410,
221,14.477,
222,14.543,
223,14.610,
224,14.677,
225,14.744,
226,14.810,
227,14.876,
228,14.943,
229,15.010,
230,15.076,
