frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.177,
4,0.227,
5,0.277,
6,0.328,
7,0.378,
8,0.428,
9,0.478,
10,0.528,
11,0.578,
12,0.629,
13,0.679,
14,0.729,
15,0.779,
16,0.829,
17,0.880,
18,0.930,
19,0.980,
20,1.031,
21,1.081,
22,1.131,
23,1.181,
24,1.231,
25,1.282,
26,1.332,
27,1.383,
28,1.433,
29,1.483,
30,1.534,
31,1.584,
32,1.634,
33,1.685,
34,1.735,
35,1.785,
36,1.836,
37,1.886,
38,1.936,
39,1.987,
40,2.037,
41,2.087,
42,2.138,
43,2.188,
44,2.238,
45,2.288,
46,2.338,
47,2.388,
48,2.438,
49,2.488,
50,2.538,
51,2.588,
52,2.639,
53,2.689,
54,2.739,
55,2.789,
56,2.839,
57,2.890,
58,2.940,
59,2.991,
60,3.041,
61,3.091,
62,3.141,
63,3.191,
64,3.242,
65,3.292,
66,3.342,
67,3.392,
68,3.442,
69,3.492,
70,3.543,
71,3.593,
72,3.643,
73,3.693,
74,3.744,
75,3.795,
76,3.845,
77,3.895,
78,3.945,
79,3.995,
80,4.045,
81,4.096,
82,4.146,
83,4.196,
84,4.246,
85,4.297,
86,4.347,
87,4.397,
88,4.447,
89,4.497,
90,4.547,
91,4.598,
92,4.648,
93,4.699,
94,4.749,
95,4.799,
96,4.850,
97,4.900,
98,4.950,
99,5.001,
100,5.051,
101,5.101,
102,5.151,
103,5.201,
104,5.251,
105,5.302,
106,5.352,
107,5.402,
108,5.453,
109,5.503,
110,5.553,
111,5.603,
112,5.653,
113,5.704,
114,5.755,
115,5.805,
116,5.855,
117,5.905,
118,5.955,
119,6.005,
120,6.055,
121,6.105,
122,6.156,
123,6.206,
124,6.256,
125,6.306,
126,6.356,
127,6.406,
128,6.456,
129,6.507,
130,6.557,
131,6.607,
132,6.658,
133,6.708,
134,6.758,
135,6.808,
136,6.858,
137,6.909,
138,6.959,
139,7.009,
140,7.059,
141,7.109,
142,7.159,
143,7.209,
144,7.260,
145,7.310,
146,7.360,
147,7.411,
148,7.461,
149,7.512,
150,7.562,
151,7.612,
152,7.662,
153,7.713,
154,7.763,
155,7.813,
156,7.863,
157,7.913,
158,7.964,
159,8.014,
160,8.064,
161,8.114,
162,8.164,
163,8.214,
164,8.265,
165,8.315,
166,8.366,
167,8.416,
168,8.466,
169,8.516,
170,8.566,
171,8.616,
172,8.666,
173,8.717,
174,8.767,
175,8.818,
176,8.868,
177,8.918,
178,8.969,
179,9.020,
180,9.070,
181,9.120,
182,9.170,
183,9.221,
184,9.271,
185,9.321,
186,9.372,
187,9.422,
188,9.472,
189,9.523,
190,9.573,
191,9.624,
192,9.674,
193,9.724,
194,9.774,
195,9.824,
196,9.874,
197,9.925,
198,9.975,
199,10.025,
200,10.076,
201,10.126,
