frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.219,
5,0.269,
6,0.319,
7,0.370,
8,0.420,
9,0.470,
10,0.520,
11,0.570,
12,0.620,
13,0.670,
14,0.721,
15,0.771,
16,0.837,
17,0.904,
18,0.970,
19,1.036,
20,1.103,
21,1.170,
22,1.236,
23,1.303,
24,1.369,
25,1.436,
26,1.503,
27,1.570,
28,1.636,
29,1.702,
30,1.769,
31,1.836,
32,1.902,
33,1.969,
34,2.036,
35,2.102,
36,2.169,
37,2.235,
38,2.302,
39,2.368,
40,2.435,
41,2.501,
42,2.568,
43,2.635,
44,2.702,
45,2.768,
46,2.835,
47,2.901,
48,2.968,
49,3.035,
50,3.101,
51,3.167,
52,3.235,
53,3.301,
54,3.367,
55,3.434,
56,3.500,
57,3.567,
58,3.634,
59,3.700,
60,3.767,
61,3.834,
62,3.901,
63,3.966,
64,4.033,
65,4.100,
66,4.166,
67,4.233,
68,4.299,
69,4.366,
70,4.433,
71,4.499,
72,4.566,
73,4.633,
74,4.699,
75,4.766,
76,4.832,
77,4.899,
78,4.966,
79,5.032,
80,5.099,
81,5.166,
82,5.232,
83,5.299,
84,5.365,
85,5.432,
86,5.499,
87,5.565,
88,5.631,
89,5.699,
90,5.765,
91,5.831,
92,5.898,
93,5.965,
94,6.031,
95,6.098,
96,6.164,
97,6.231,
98,6.298,
99,6.364,
100,6.430,
101,6.497,
102,6.564,
103,6.631,
104,6.697,
105,6.764,
106,6.831,
107,6.897,
108,6.963,
109,7.030,
110,7.097,
111,7.163,
112,7.230,
113,7.296,
114,7.363,
115,7.430,
116,7.496,
117,7.563,
118,7.629,
119,7.696,
120,7.763,
121,7.830,
122,7.896,
123,7.962,
124,8.029,
125,8.096,
126,8.162,
127,8.229,
128,8.295,
129,8.363,
130,8.430,
131,8.496,
132,8.562,
133,8.629,
134,8.695,
135,8.762,
136,8.828,
137,8.895,
138,8.962,
139,9.028,
140,9.095,
141,9.161,
142,9.228,
143,9.295,
144,9.361,
145,9.428,
146,9.494,
147,9.561,
148,9.627,
149,9.694,
150,9.760,
151,9.827,
152,9.894,
153,9.960,
154,10.027,
155,10.094,
156,10.160,
157,10.227,
158,10.294,
159,10.360,
160,10.427,
161,10.493,
162,10.560,
163,10.627,
164,10.693,
165,10.760,
166,10.826,
167,10.893,
168,10.959,
169,11.026,
170,11.093,
171,11.160,
172,11.225,
173,11.292,
174,11.359,
175,11.425,
176,11.493,
177,11.559,
178,11.626,
179,11.692,
180,11.759,
181,11.825,
182,11.892,
183,11.959,
184,12.025,
185,12.091,
186,12.158,
187,12.224,
188,12.291,
189,12.358,
190,12.424,
191,12.491,
192,12.558,
193,12.624,
194,12.691,
195,12.757,
196,12.824,
197,12.891,
198,12.958,
199,13.024,
200,13.090,
201,13.158,
202,13.224,
203,13.290,
204,13.357,
205,13.423,
206,13.489,
207,13.557,
208,13.623,
209,13.689,
210,13.756,
211,13.823,
212,13.889,
213,13.956,
214,14.023,
215,14.089,
216,14.156,
217,14.223,
218,14.289,
219,14.356,
220,14.423,
221,14.489,
222,14.556,
223,14.622,
224,14.690,
225,14.755,
226,14.822,
227,14.888,
228,14.955,
229,15.022,
230,15.088,
231,15.155,
232,15.221,
233,15.288,
234,15.355,
235,15.421,
236,15.488,
237,15.554,
238,15.622,
239,15.688,
240,15.754,
241,15.821,
242,15.888,
243,15.954,
244,16.021,
245,16.087,
246,16.154,
247,16.220,
248,16.287,
249,16.353,
250,16.420,
251,16.487,
252,16.553,
253,16.620,
254,16.687,
255,16.753,
256,16.820,
257,16.887,
258,16.952,
259,17.019,
260,17.087,
261,17.153,
262,17.219,
263,17.286,
264,17.353,
265,17.419,
266,17.485,
267,17.552,
268,17.618,
269,17.686,
270,17.752,
271,17.818,
272,17.885,
273,17.952,
274,18.019,
275,18.085,
276,18.152,
277,18.218,
278,18.285,
279,18.352,
280,18.418,
281,18.485,
282,18.552,
283,18.618,
284,18.685,
285,18.751,
286,18.818,
287,18.884,
288,18.951,
289,19.018,
290,19.084,
291,19.151,
292,19.217,
293,19.284,
294,19.351,
295,19.417,
296,19.483,
297,19.550,
298,19.617,
299,19.683,
300,19.750,
301,19.818,
302,19.883,
303,19.950,
304,20.017,
305,20.083,
306,20.149,
307,20.216,
308,20.282,
309,20.350,
310,20.416,
311,20.482,
312,20.549,
313,20.616,
314,20.682,
315,20.749,
316,20.816,
317,20.882,
318,20.949,
319,21.015,
320,21.082,
321,21.148,
322,21.215,
323,21.282,
324,21.348,
325,21.415,
326,21.481,
327,21.548,
328,21.615,
329,21.681,
330,21.748,
331,21.815,
332,21.881,
333,21.948,
334,22.014,
335,22.081,
336,22.148,
337,22.214,
338,22.280,
339,22.347,
340,22.414,
341,22.480,
342,22.547,
343,22.614,
344,22.680,
345,22.747,
346,22.813,
347,22.880,
348,22.946,
349,23.014,
350,23.080,
351,23.147,
352,23.213,
353,23.280,
354,23.346,
355,23.413,
356,23.479,
357,23.546,
358,23.612,
359,23.679,
360,23.746,
361,23.812,
362,23.879,
363,23.946,
364,24.012,
365,24.079,
366,24.145,
367,24.212,
368,24.279,
369,24.345,
370,24.412,
371,24.478,
372,24.545,
373,24.612,
374,24.678,
375,24.744,
376,24.811,
377,24.878,
378,24.944,
379,25.011,
380,25.078,
381,25.144,
382,25.211,
383,25.277,
384,25.344,
385,25.411,
386,25.477,
387,25.544,
388,25.610,
389,25.677,
390,25.744,
391,25.811,
392,25.877,
393,25.943,
394,26.010,
395,26.076,
396,26.143,
397,26.210,
398,26.276,
399,26.343,
400,26.409,
401,26.476,
402,26.543,
403,26.609,
404,26.676,
405,26.742,
406,26.809,
407,26.875,
408,26.942,
409,27.009,
410,27.075,
411,27.142,
412,27.209,
413,27.275,
414,27.342,
415,27.408,
416,27.475,
417,27.542,
418,27.608,
419,27.675,
420,27.741,
421,27.808,
422,27.875,
423,27.941,
424,28.007,
425,28.074,
426,28.141,
427,28.207,
428,28.274,
429,28.341,
430,28.407,
431,28.474,
432,28.540,
433,28.607,
434,28.674,
435,28.740,
436,28.807,
437,28.873,
438,28.940,
439,29.006,
440,29.073,
441,29.140,
442,29.206,
443,29.273,
444,29.340,
445,29.406,
446,29.473,
447,29.539,
448,29.606,
449,29.673,
450,29.739,
451,29.806,
452,29.872,
453,29.939,
454,30.006,
455,30.072,
456,30.139,
457,30.206,
458,30.273,
459,30.339,
460,30.405,
461,30.472,
462,30.538,
463,30.605,
464,30.672,
465,30.738,
466,30.804,
467,30.871,
468,30.938,
469,31.005,
470,31.071,
471,31.138,
472,31.204,
473,31.270,
474,31.337,
475,31.404,
476,31.470,
477,31.537,
478,31.604,
479,31.670,
480,31.738,
481,31.804,
482,31.870,
483,31.937,
484,32.003,
485,32.070,
486,32.136,
487,32.204,
488,32.270,
489,32.337,
490,32.403,
491,32.470,
492,32.536,
493,32.603,
494,32.669,
495,32.736,
496,32.802,
497,32.869,
498,32.936,
499,33.003,
500,33.069,
501,33.135,
502,33.202,
503,33.269,
504,33.336,
505,33.402,
506,33.468,
507,33.535,
508,33.602,
