frame_num,time_s,
0,0.025,
1,0.075,
2,0.126,
3,0.176,
4,0.226,
5,0.277,
6,0.327,
7,0.378,
8,0.428,
9,0.478,
10,0.528,
11,0.578,
12,0.628,
13,0.679,
14,0.729,
15,0.779,
16,0.830,
17,0.880,
18,0.930,
19,0.980,
20,1.030,
21,1.080,
22,1.130,
23,1.180,
24,1.230,
25,1.281,
26,1.331,
27,1.381,
28,1.431,
29,1.481,
30,1.531,
31,1.581,
32,1.632,
33,1.682,
34,1.732,
35,1.782,
36,1.832,
37,1.882,
38,1.933,
39,1.983,
40,2.033,
41,2.083,
42,2.133,
43,2.183,
44,2.233,
45,2.284,
46,2.334,
47,2.385,
48,2.435,
49,2.485,
50,2.536,
51,2.586,
52,2.636,
53,2.686,
54,2.737,
55,2.787,
56,2.837,
57,2.887,
58,2.937,
59,2.987,
60,3.037,
61,3.088,
62,3.138,
63,3.189,
64,3.239,
65,3.289,
66,3.340,
67,3.390,
68,3.440,
69,3.490,
70,3.541,
71,3.591,
72,3.641,
73,3.691,
74,3.741,
75,3.791,
76,3.841,
77,3.891,
78,3.941,
79,3.992,
80,4.042,
81,4.092,
82,4.143,
83,4.193,
84,4.243,
85,4.293,
86,4.343,
87,4.393,
88,4.444,
89,4.494,
90,4.544,
91,4.594,
92,4.644,
93,4.694,
94,4.744,
95,4.795,
96,4.845,
97,4.895,
98,4.946,
99,4.996,
100,5.046,
101,5.096,
102,5.146,
103,5.197,
104,5.248,
105,5.298,
106,5.349,
107,5.399,
108,5.449,
109,5.500,
110,5.551,
111,5.601,
112,5.652,
113,5.702,
114,5.752,
115,5.802,
116,5.852,
117,5.902,
118,5.953,
119,6.003,
120,6.053,
121,6.103,
122,6.153,
123,6.203,
124,6.255,
125,6.305,
126,6.355,
127,6.405,
128,6.456,
129,6.506,
130,6.556,
131,6.606,
132,6.656,
133,6.707,
134,6.757,
135,6.807,
136,6.857,
137,6.908,
138,6.958,
139,7.008,
140,7.058,
141,7.108,
142,7.159,
143,7.209,
144,7.259,
145,7.309,
146,7.359,
147,7.409,
148,7.459,
149,7.509,
150,7.560,
151,7.610,
152,7.660,
153,7.711,
154,7.761,
155,7.811,
156,7.862,
157,7.912,
158,7.962,
159,8.013,
160,8.063,
161,8.113,
162,8.163,
163,8.213,
164,8.264,
165,8.315,
166,8.365,
167,8.415,
168,8.465,
169,8.516,
170,8.566,
171,8.616,
172,8.666,
173,8.716,
174,8.766,
175,8.816,
176,8.866,
177,8.916,
178,8.967,
179,9.017,
180,9.067,
181,9.117,
182,9.167,
183,9.218,
184,9.268,
185,9.318,
186,9.368,
187,9.418,
188,9.468,
189,9.518,
190,9.568,
191,9.619,
192,9.669,
193,9.719,
194,9.769,
195,9.820,
196,9.870,
197,9.920,
198,9.971,
199,10.021,
200,10.071,
201,10.122,
202,10.172,
203,10.222,
204,10.272,
205,10.322,
206,10.373,
207,10.423,
208,10.474,
209,10.524,
210,10.574,
211,10.625,
212,10.675,
213,10.725,
214,10.776,
215,10.826,
216,10.876,
217,10.927,
218,10.977,
219,11.027,
220,11.078,
221,11.128,
222,11.178,
223,11.228,
224,11.278,
225,11.329,
226,11.379,
227,11.429,
228,11.479,
229,11.530,
230,11.581,
231,11.631,
232,11.682,
233,11.732,
234,11.782,
235,11.832,
236,11.882,
237,11.932,
238,11.983,
239,12.033,
240,12.083,
241,12.134,
242,12.184,
243,12.234,
244,12.284,
245,12.334,
246,12.384,
247,12.435,
248,12.486,
249,12.536,
250,12.587,
251,12.637,
252,12.687,
253,12.738,
254,12.788,
255,12.838,
256,12.888,
257,12.938,
258,12.988,
259,13.038,
260,13.088,
261,13.139,
262,13.189,
263,13.239,
264,13.289,
265,13.339,
266,13.389,
267,13.439,
268,13.489,
269,13.540,
270,13.591,
271,13.641,
272,13.691,
273,13.741,
274,13.792,
275,13.842,
276,13.892,
277,13.942,
278,13.992,
279,14.042,
280,14.092,
281,14.143,
282,14.193,
283,14.243,
284,14.294,
285,14.344,
286,14.394,
287,14.444,
288,14.494,
289,14.544,
290,14.595,
291,14.645,
292,14.696,
293,14.746,
294,14.796,
295,14.846,
296,14.896,
297,14.947,
298,14.997,
299,15.047,
300,15.098,
301,15.148,
302,15.199,
303,15.249,
304,15.299,
305,15.349,
306,15.399,
307,15.450,
308,15.500,
309,15.550,
310,15.600,
311,15.650,
312,15.701,
313,15.751,
314,15.801,
315,15.851,
316,15.901,
317,15.951,
318,16.002,
319,16.052,
320,16.102,
321,16.152,
322,16.202,
323,16.252,
324,16.302,
325,16.352,
326,16.404,
327,16.454,
328,16.504,
329,16.555,
330,16.605,
331,16.655,
332,16.705,
333,16.755,
334,16.806,
335,16.856,
336,16.906,
337,16.957,
338,17.007,
339,17.057,
340,17.108,
341,17.158,
342,17.209,
343,17.259,
344,17.310,
345,17.360,
346,17.410,
347,17.460,
348,17.510,
349,17.561,
350,17.611,
351,17.661,
352,17.711,
353,17.762,
354,17.812,
355,17.863,
356,17.913,
