frame_num,time_s,
0,0.018,
1,0.068,
2,0.118,
3,0.169,
4,0.219,
5,0.269,
6,0.320,
7,0.370,
8,0.420,
9,0.470,
10,0.520,
11,0.570,
12,0.621,
13,0.671,
14,0.722,
15,0.783,
16,0.850,
17,0.917,
18,0.983,
19,1.049,
20,1.117,
21,1.183,
22,1.249,
23,1.316,
24,1.382,
25,1.449,
26,1.516,
27,1.582,
28,1.649,
29,1.716,
30,1.783,
31,1.849,
32,1.915,
33,1.982,
34,2.048,
35,2.115,
36,2.182,
37,2.248,
38,2.315,
39,2.382,
40,2.448,
41,2.515,
42,2.581,
43,2.649,
44,2.714,
45,2.781,
46,2.848,
47,2.914,
48,2.981,
49,3.047,
50,3.114,
51,3.181,
52,3.248,
53,3.314,
54,3.380,
55,3.447,
56,3.514,
57,3.580,
58,3.647,
59,3.713,
60,3.780,
61,3.857,
62,3.914,
63,3.980,
64,4.047,
65,4.113,
66,4.180,
67,4.246,
68,4.313,
69,4.379,
70,4.446,
71,4.512,
72,4.579,
73,4.646,
74,4.712,
75,4.778,
76,4.845,
77,4.912,
78,4.978,
79,5.045,
80,5.112,
81,5.178,
82,5.245,
83,5.312,
84,5.378,
85,5.445,
86,5.511,
87,5.578,
88,5.645,
89,5.711,
90,5.778,
91,5.845,
92,5.911,
93,5.978,
94,6.044,
95,6.111,
96,6.177,
97,6.244,
98,6.311,
99,6.377,
100,6.444,
101,6.511,
102,6.577,
103,6.643,
104,6.710,
105,6.777,
106,6.844,
107,6.910,
108,6.977,
109,7.043,
110,7.110,
111,7.177,
112,7.243,
113,7.309,
114,7.376,
115,7.443,
116,7.509,
117,7.576,
118,7.643,
119,7.709,
120,7.776,
121,7.843,
122,7.910,
123,7.975,
124,8.042,
125,8.109,
126,8.176,
127,8.242,
128,8.308,
129,8.375,
130,8.442,
131,8.508,
132,8.576,
133,8.642,
134,8.708,
135,8.775,
136,8.841,
137,8.908,
138,8.975,
139,9.041,
140,9.108,
141,9.174,
142,9.241,
143,9.307,
144,9.374,
145,9.440,
146,9.507,
147,9.574,
148,9.641,
149,9.707,
150,9.774,
151,9.841,
152,9.907,
153,9.973,
154,10.040,
155,10.107,
156,10.173,
157,10.240,
158,10.306,
159,10.373,
160,10.440,
161,10.506,
162,10.572,
163,10.640,
164,10.706,
165,10.773,
166,10.839,
167,10.906,
168,10.972,
169,11.039,
170,11.106,
171,11.172,
172,11.239,
173,11.305,
174,11.372,
175,11.439,
176,11.505,
177,11.572,
178,11.639,
179,11.705,
180,11.773,
181,11.838,
182,11.905,
183,11.972,
184,12.038,
185,12.105,
186,12.171,
187,12.238,
188,12.304,
189,12.371,
190,12.437,
191,12.504,
192,12.571,
193,12.637,
194,12.704,
195,12.770,
196,12.838,
197,12.904,
198,12.970,
199,13.036,
200,13.103,
201,13.170,
202,13.236,
203,13.303,
204,13.370,
205,13.436,
206,13.503,
207,13.570,
208,13.636,
209,13.703,
210,13.769,
211,13.836,
212,13.902,
213,13.969,
214,14.036,
215,14.103,
216,14.169,
217,14.235,
218,14.302,
219,14.369,
220,14.436,
221,14.502,
222,14.568,
223,14.635,
224,14.702,
225,14.768,
226,14.835,
227,14.901,
228,14.968,
229,15.035,
230,15.102,
