time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,17115.0,17723.0,14786.0,18504.0,18558.0,17292.0,16900.0,20700.0,20890.0,19424.0,20899.0,20333.0,18258.0,20123.0,
0.059,17137.0,17715.0,14847.0,18473.0,18551.0,17269.0,16900.0,20663.0,20905.0,19424.0,20960.0,20326.0,18251.0,20093.0,
0.109,17040.0,17701.0,14801.0,18473.0,18535.0,17216.0,16892.0,20648.0,20913.0,19402.0,20907.0,20341.0,18258.0,20115.0,
0.160,17092.0,17686.0,14779.0,18504.0,18551.0,17231.0,16892.0,20648.0,20996.0,19394.0,20945.0,20318.0,18266.0,20115.0,
0.210,17085.0,17708.0,14779.0,18496.0,18573.0,17209.0,16900.0,20700.0,20913.0,19409.0,20876.0,20311.0,18273.0,20115.0,
0.260,17085.0,17686.0,14786.0,18473.0,18551.0,17216.0,16892.0,20670.0,20898.0,19402.0,20869.0,20311.0,18251.0,20130.0,
0.311,17048.0,17737.0,14786.0,18451.0,18535.0,17254.0,16900.0,20670.0,20890.0,19394.0,20899.0,20333.0,18288.0,20123.0,
0.361,17048.0,17701.0,14801.0,18428.0,18528.0,17209.0,16900.0,20678.0,20905.0,19409.0,20952.0,20333.0,18280.0,20115.0,
0.411,17077.0,17701.0,14779.0,18451.0,18551.0,17224.0,16907.0,20663.0,20890.0,19409.0,20944.0,20318.0,18266.0,20101.0,
0.461,17048.0,17708.0,14786.0,18481.0,18543.0,17201.0,16900.0,20663.0,20951.0,19424.0,20929.0,20333.0,18266.0,20115.0,
0.511,17033.0,17686.0,14794.0,18436.0,18558.0,17201.0,16892.0,20655.0,20913.0,19394.0,20975.0,20318.0,18317.0,20115.0,
0.562,17137.0,17657.0,14824.0,18451.0,18543.0,17246.0,16900.0,20670.0,20936.0,19440.0,20892.0,20318.0,18258.0,20108.0,
0.612,17107.0,17679.0,14801.0,18504.0,18528.0,17209.0,16892.0,20663.0,20890.0,19409.0,20899.0,20377.0,18244.0,20108.0,
