frame_num,time_s,
0,0.018,
1,0.068,
2,0.118,
3,0.170,
4,0.220,
5,0.270,
6,0.320,
7,0.370,
8,0.421,
9,0.471,
10,0.521,
11,0.571,
12,0.621,
13,0.672,
14,0.738,
15,0.805,
16,0.872,
17,0.938,
18,1.005,
19,1.071,
20,1.138,
21,1.204,
22,1.271,
23,1.338,
24,1.405,
25,1.472,
26,1.537,
27,1.604,
28,1.671,
29,1.738,
30,1.804,
31,1.870,
32,1.937,
33,2.004,
34,2.070,
35,2.137,
36,2.204,
37,2.270,
38,2.337,
39,2.403,
40,2.470,
41,2.537,
42,2.603,
43,2.670,
44,2.736,
45,2.803,
46,2.869,
47,2.936,
48,3.002,
49,3.069,
50,3.136,
51,3.203,
52,3.269,
53,3.335,
54,3.402,
55,3.469,
56,3.535,
57,3.602,
58,3.668,
59,3.735,
60,3.801,
61,3.868,
62,3.935,
63,4.002,
64,4.068,
65,4.135,
66,4.201,
67,4.267,
68,4.334,
69,4.400,
70,4.467,
71,4.534,
72,4.600,
73,4.667,
74,4.734,
75,4.801,
76,4.867,
77,4.934,
78,5.000,
79,5.067,
80,5.134,
81,5.200,
82,5.267,
83,5.333,
84,5.400,
85,5.467,
86,5.533,
87,5.599,
88,5.666,
89,5.732,
90,5.799,
91,5.866,
92,5.933,
93,5.999,
94,6.066,
95,6.132,
96,6.199,
97,6.265,
98,6.332,
99,6.398,
100,6.466,
101,6.532,
102,6.599,
103,6.665,
104,6.732,
105,6.798,
106,6.865,
107,6.931,
108,6.998,
109,7.064,
110,7.131,
111,7.197,
112,7.264,
113,7.331,
114,7.397,
115,7.464,
116,7.531,
117,7.598,
118,7.664,
119,7.730,
120,7.797,
121,7.863,
122,7.931,
123,7.997,
124,8.063,
125,8.130,
126,8.196,
127,8.263,
128,8.330,
129,8.396,
130,8.463,
131,8.529,
132,8.596,
133,8.662,
134,8.729,
135,8.796,
136,8.863,
137,8.929,
138,8.996,
139,9.062,
140,9.129,
141,9.195,
142,9.262,
143,9.328,
144,9.395,
145,9.461,
146,9.528,
147,9.595,
148,9.662,
149,9.728,
150,9.795,
151,9.861,
152,9.928,
153,9.994,
154,10.061,
155,10.128,
156,10.195,
157,10.261,
158,10.328,
159,10.394,
160,10.461,
161,10.527,
162,10.594,
163,10.660,
164,10.727,
165,10.794,
166,10.860,
167,10.927,
168,10.993,
169,11.060,
170,11.127,
171,11.193,
172,11.260,
173,11.326,
174,11.393,
175,11.459,
176,11.526,
177,11.593,
178,11.659,
179,11.726,
180,11.792,
181,11.859,
182,11.925,
183,11.992,
184,12.059,
185,12.125,
186,12.192,
187,12.259,
188,12.325,
189,12.392,
190,12.459,
191,12.525,
192,12.592,
193,12.658,
194,12.724,
195,12.791,
196,12.858,
197,12.925,
198,12.991,
199,13.058,
200,13.124,
201,13.191,
202,13.257,
203,13.324,
204,13.390,
205,13.457,
206,13.524,
207,13.590,
208,13.657,
209,13.724,
210,13.790,
211,13.857,
212,13.923,
213,13.989,
214,14.056,
215,14.123,
216,14.189,
217,14.256,
218,14.323,
219,14.389,
220,14.456,
221,14.523,
222,14.589,
223,14.656,
224,14.722,
225,14.789,
226,14.856,
227,14.922,
228,14.989,
229,15.055,
230,15.122,
