frame_num,time_s,
0,0.026,
1,0.076,
2,0.126,
3,0.176,
4,0.226,
5,0.276,
6,0.326,
7,0.377,
8,0.427,
9,0.477,
10,0.527,
11,0.577,
12,0.627,
13,0.677,
14,0.727,
15,0.777,
16,0.827,
17,0.878,
18,0.929,
19,0.979,
20,1.029,
21,1.079,
22,1.130,
23,1.180,
24,1.230,
25,1.281,
26,1.331,
27,1.381,
28,1.431,
29,1.481,
30,1.531,
31,1.581,
32,1.631,
33,1.681,
34,1.732,
35,1.783,
36,1.833,
37,1.883,
38,1.934,
39,1.984,
40,2.034,
41,2.084,
42,2.134,
43,2.185,
44,2.236,
45,2.286,
46,2.336,
47,2.387,
48,2.437,
49,2.487,
50,2.537,
51,2.587,
52,2.637,
53,2.688,
54,2.738,
55,2.788,
56,2.838,
57,2.888,
58,2.939,
59,2.989,
60,3.039,
61,3.089,
62,3.139,
63,3.189,
64,3.239,
65,3.289,
66,3.339,
67,3.390,
68,3.440,
69,3.491,
70,3.541,
71,3.591,
72,3.641,
73,3.691,
74,3.741,
75,3.792,
76,3.842,
77,3.892,
78,3.942,
79,3.993,
80,4.043,
81,4.093,
82,4.143,
83,4.193,
84,4.243,
85,4.294,
86,4.344,
87,4.394,
88,4.445,
89,4.495,
90,4.545,
91,4.595,
92,4.645,
93,4.695,
94,4.746,
95,4.796,
96,4.846,
97,4.896,
98,4.946,
99,4.997,
100,5.047,
101,5.098,
102,5.148,
103,5.198,
104,5.248,
105,5.298,
106,5.349,
107,5.399,
108,5.450,
109,5.500,
110,5.550,
111,5.601,
112,5.651,
113,5.701,
114,5.751,
115,5.802,
116,5.852,
117,5.902,
118,5.952,
119,6.002,
120,6.053,
121,6.103,
122,6.153,
123,6.203,
124,6.253,
125,6.304,
126,6.355,
127,6.405,
128,6.455,
129,6.505,
130,6.555,
131,6.606,
132,6.656,
133,6.706,
134,6.757,
135,6.808,
136,6.858,
137,6.909,
138,6.959,
139,7.009,
140,7.059,
141,7.109,
142,7.159,
143,7.210,
144,7.260,
145,7.310,
146,7.360,
147,7.410,
148,7.461,
149,7.511,
150,7.561,
151,7.611,
152,7.662,
153,7.712,
154,7.763,
155,7.813,
156,7.863,
157,7.913,
158,7.963,
159,8.013,
160,8.064,
161,8.114,
162,8.164,
163,8.215,
164,8.265,
165,8.315,
166,8.366,
167,8.417,
168,8.467,
169,8.517,
170,8.567,
171,8.617,
172,8.668,
173,8.718,
174,8.768,
175,8.818,
176,8.868,
177,8.919,
178,8.969,
179,9.019,
180,9.069,
181,9.119,
182,9.169,
183,9.220,
184,9.270,
185,9.320,
186,9.370,
187,9.420,
188,9.470,
189,9.520,
190,9.570,
191,9.621,
192,9.671,
193,9.721,
194,9.771,
195,9.821,
196,9.872,
197,9.922,
198,9.972,
199,10.022,
200,10.073,
201,10.123,
202,10.173,
203,10.224,
204,10.274,
205,10.324,
206,10.374,
207,10.425,
208,10.476,
209,10.526,
210,10.576,
211,10.626,
212,10.677,
213,10.727,
214,10.777,
215,10.827,
216,10.877,
217,10.928,
218,10.978,
219,11.028,
220,11.078,
221,11.128,
222,11.179,
223,11.229,
224,11.279,
225,11.329,
226,11.380,
227,11.430,
228,11.480,
229,11.531,
230,11.581,
231,11.631,
232,11.682,
233,11.732,
234,11.782,
235,11.832,
236,11.882,
237,11.932,
238,11.982,
239,12.033,
240,12.083,
241,12.133,
242,12.183,
243,12.234,
244,12.284,
245,12.334,
246,12.384,
247,12.434,
248,12.484,
249,12.534,
250,12.585,
251,12.635,
252,12.685,
253,12.735,
254,12.785,
255,12.836,
256,12.886,
257,12.936,
258,12.986,
259,13.036,
260,13.086,
261,13.136,
262,13.187,
263,13.237,
264,13.287,
265,13.337,
266,13.387,
267,13.438,
268,13.488,
269,13.538,
270,13.588,
271,13.639,
272,13.689,
273,13.739,
274,13.790,
