frame_num,time_s,
0,0.026,
1,0.076,
2,0.126,
3,0.176,
4,0.226,
5,0.277,
6,0.327,
7,0.377,
8,0.427,
9,0.478,
10,0.528,
11,0.578,
12,0.629,
13,0.679,
14,0.734,
15,0.803,
16,0.871,
17,0.935,
18,1.003,
19,1.071,
20,1.135,
21,1.203,
22,1.266,
23,1.335,
24,1.403,
25,1.467,
26,1.535,
27,1.603,
28,1.667,
29,1.735,
30,1.803,
31,1.867,
32,1.935,
33,2.003,
34,2.068,
35,2.135,
36,2.203,
37,2.267,
38,2.335,
39,2.399,
40,2.467,
41,2.535,
42,2.598,
43,2.668,
44,2.735,
45,2.798,
46,2.867,
47,2.935,
48,2.999,
49,3.067,
50,3.135,
51,3.199,
52,3.267,
53,3.336,
54,3.399,
55,3.467,
56,3.531,
57,3.600,
58,3.668,
59,3.730,
60,3.799,
61,3.867,
62,3.930,
63,3.999,
64,4.067,
65,4.131,
66,4.200,
67,4.267,
68,4.332,
69,4.399,
70,4.463,
71,4.531,
72,4.600,
73,4.663,
74,4.731,
75,4.799,
76,4.862,
77,4.931,
78,4.999,
79,5.062,
80,5.131,
81,5.199,
82,5.263,
83,5.331,
84,5.399,
85,5.463,
86,5.532,
87,5.595,
88,5.663,
89,5.731,
90,5.795,
91,5.863,
92,5.931,
93,5.994,
94,6.063,
95,6.131,
96,6.195,
97,6.263,
98,6.331,
99,6.395,
100,6.463,
101,6.532,
102,6.595,
103,6.663,
104,6.727,
105,6.794,
106,6.863,
107,6.927,
108,6.995,
109,7.063,
110,7.126,
111,7.195,
112,7.263,
113,7.327,
114,7.396,
115,7.463,
116,7.526,
117,7.595,
118,7.659,
119,7.727,
120,7.795,
121,7.859,
122,7.927,
123,7.995,
124,8.059,
125,8.127,
126,8.195,
127,8.259,
128,8.328,
129,8.395,
130,8.459,
131,8.528,
132,8.596,
133,8.660,
134,8.727,
135,8.791,
136,8.859,
137,8.927,
138,8.991,
139,9.059,
140,9.127,
141,9.191,
142,9.260,
143,9.327,
144,9.391,
145,9.460,
146,9.527,
147,9.590,
148,9.659,
149,9.727,
150,9.791,
151,9.859,
152,9.923,
153,9.991,
154,10.072,
155,10.123,
156,10.190,
157,10.259,
158,10.323,
159,10.392,
160,10.460,
161,10.523,
162,10.591,
163,10.659,
164,10.723,
165,10.792,
166,10.855,
167,10.922,
168,10.991,
169,11.055,
170,11.123,
171,11.191,
172,11.255,
173,11.323,
174,11.391,
175,11.455,
176,11.523,
177,11.591,
178,11.655,
179,11.724,
180,11.791,
181,11.855,
182,11.923,
183,11.987,
184,12.055,
185,12.123,
186,12.187,
187,12.255,
188,12.323,
189,12.387,
190,12.454,
191,12.523,
192,12.587,
193,12.654,
194,12.723,
195,12.786,
196,12.856,
197,12.924,
198,12.987,
199,13.055,
200,13.119,
201,13.187,
202,13.254,
203,13.319,
204,13.386,
205,13.455,
206,13.519,
207,13.587,
208,13.655,
209,13.719,
210,13.788,
211,13.856,
212,13.919,
213,13.987,
214,14.051,
215,14.119,
216,14.187,
217,14.251,
218,14.319,
219,14.387,
220,14.451,
221,14.519,
222,14.587,
223,14.651,
224,14.719,
225,14.787,
226,14.851,
227,14.919,
228,14.987,
229,15.051,
230,15.120,
231,15.183,
232,15.251,
233,15.319,
234,15.383,
235,15.451,
236,15.519,
237,15.583,
238,15.651,
239,15.720,
240,15.783,
241,15.851,
242,15.919,
243,15.983,
244,16.051,
245,16.119,
246,16.183,
247,16.252,
248,16.316,
249,16.383,
250,16.451,
251,16.515,
252,16.582,
253,16.651,
254,16.715,
255,16.783,
256,16.851,
257,16.915,
258,16.983,
259,17.051,
260,17.115,
261,17.183,
262,17.247,
263,17.315,
264,17.383,
265,17.448,
266,17.515,
267,17.583,
268,17.648,
269,17.715,
270,17.783,
271,17.847,
272,17.915,
273,17.983,
274,18.047,
