frame_num,time_s,
0,0.020,
1,0.070,
2,0.120,
3,0.170,
4,0.221,
5,0.271,
6,0.321,
7,0.372,
8,0.423,
9,0.473,
10,0.523,
11,0.573,
12,0.624,
13,0.677,
14,0.744,
15,0.811,
16,0.878,
17,0.944,
18,1.010,
19,1.077,
20,1.144,
21,1.211,
22,1.277,
23,1.343,
24,1.410,
25,1.477,
26,1.543,
27,1.610,
28,1.677,
29,1.743,
30,1.810,
31,1.876,
32,1.943,
33,2.010,
34,2.076,
35,2.142,
36,2.209,
37,2.276,
38,2.343,
39,2.409,
40,2.476,
41,2.542,
42,2.609,
43,2.675,
44,2.742,
45,2.809,
46,2.875,
47,2.942,
48,3.008,
49,3.075,
50,3.142,
51,3.208,
52,3.275,
53,3.341,
54,3.408,
55,3.474,
56,3.541,
57,3.608,
58,3.674,
59,3.741,
60,3.807,
61,3.874,
62,3.941,
63,4.007,
64,4.074,
65,4.140,
66,4.207,
67,4.274,
68,4.340,
69,4.407,
70,4.473,
71,4.540,
72,4.606,
73,4.674,
74,4.740,
75,4.806,
76,4.873,
77,4.939,
78,5.006,
79,5.073,
80,5.141,
81,5.206,
82,5.273,
83,5.339,
84,5.406,
85,5.473,
86,5.539,
87,5.606,
88,5.672,
89,5.739,
90,5.806,
91,5.872,
92,5.938,
93,6.005,
94,6.072,
95,6.139,
96,6.205,
97,6.271,
98,6.338,
99,6.405,
100,6.471,
101,6.538,
102,6.604,
103,6.671,
104,6.738,
105,6.804,
106,6.871,
107,6.937,
108,7.004,
109,7.071,
110,7.137,
111,7.204,
112,7.270,
113,7.337,
114,7.404,
115,7.470,
116,7.537,
117,7.604,
118,7.670,
119,7.737,
120,7.803,
121,7.870,
122,7.937,
123,8.003,
124,8.070,
125,8.136,
126,8.203,
127,8.269,
128,8.336,
129,8.403,
130,8.469,
131,8.536,
132,8.602,
133,8.669,
134,8.736,
135,8.802,
136,8.869,
137,8.936,
138,9.002,
139,9.069,
140,9.135,
141,9.202,
142,9.269,
143,9.335,
144,9.402,
145,9.468,
146,9.535,
147,9.601,
148,9.668,
149,9.734,
150,9.801,
151,9.868,
152,9.935,
153,10.002,
154,10.067,
155,10.134,
156,10.201,
157,10.268,
158,10.334,
159,10.400,
160,10.467,
161,10.534,
162,10.601,
163,10.667,
164,10.733,
165,10.800,
166,10.867,
167,10.934,
168,11.000,
169,11.066,
170,11.133,
171,11.200,
172,11.267,
173,11.333,
174,11.400,
175,11.466,
176,11.533,
177,11.599,
178,11.666,
179,11.733,
180,11.800,
181,11.866,
182,11.932,
183,11.999,
184,12.066,
185,12.132,
186,12.200,
187,12.265,
188,12.332,
189,12.399,
190,12.466,
191,12.531,
192,12.598,
193,12.665,
194,12.731,
195,12.798,
196,12.865,
197,12.931,
198,12.998,
199,13.065,
200,13.131,
201,13.197,
202,13.264,
203,13.331,
204,13.398,
205,13.464,
206,13.531,
207,13.597,
208,13.664,
209,13.731,
210,13.797,
211,13.863,
212,13.930,
213,13.997,
214,14.064,
215,14.130,
216,14.196,
217,14.263,
218,14.330,
219,14.396,
220,14.463,
221,14.529,
222,14.596,
223,14.663,
224,14.729,
225,14.796,
226,14.862,
227,14.930,
228,14.996,
229,15.062,
230,15.129,
231,15.195,
232,15.262,
233,15.328,
234,15.395,
235,15.462,
236,15.529,
237,15.595,
238,15.661,
239,15.728,
240,15.795,
241,15.861,
242,15.928,
243,15.995,
244,16.061,
245,16.128,
246,16.195,
247,16.261,
248,16.327,
249,16.394,
250,16.461,
251,16.528,
252,16.594,
253,16.661,
254,16.727,
255,16.794,
256,16.861,
257,16.928,
258,16.994,
259,17.060,
260,17.127,
261,17.194,
262,17.260,
263,17.327,
264,17.393,
265,17.460,
266,17.526,
267,17.593,
268,17.660,
269,17.727,
270,17.793,
271,17.860,
272,17.926,
273,17.993,
274,18.059,
275,18.126,
276,18.193,
277,18.259,
278,18.325,
279,18.392,
280,18.459,
281,18.525,
282,18.592,
283,18.659,
284,18.725,
285,18.792,
286,18.858,
287,18.925,
288,18.991,
289,19.058,
290,19.124,
291,19.191,
292,19.258,
293,19.325,
294,19.391,
295,19.458,
296,19.524,
297,19.591,
298,19.658,
299,19.724,
300,19.790,
301,19.857,
