time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16809.0,17019.0,14373.0,17991.0,17930.0,16960.0,16713.0,20280.0,20438.0,19100.0,20266.0,19574.0,18020.0,19771.0,
0.058,16778.0,17063.0,14381.0,18006.0,17885.0,16968.0,16706.0,20243.0,20422.0,19139.0,20235.0,19582.0,18042.0,19786.0,
0.109,16786.0,17034.0,14373.0,17999.0,17900.0,16952.0,16706.0,20302.0,20437.0,19108.0,20281.0,19604.0,18005.0,19771.0,
0.159,16771.0,17056.0,14472.0,18037.0,17900.0,16952.0,16706.0,20258.0,20430.0,19108.0,20258.0,19619.0,18028.0,19771.0,
0.209,16801.0,17026.0,14434.0,17960.0,17877.0,16960.0,16721.0,20258.0,20461.0,19077.0,20227.0,19589.0,18020.0,19764.0,
0.259,16793.0,17034.0,14404.0,17976.0,17862.0,16960.0,16721.0,20250.0,20422.0,19077.0,20289.0,19597.0,18050.0,19771.0,
0.309,16793.0,17034.0,14373.0,17968.0,17938.0,16953.0,16706.0,20280.0,20430.0,19108.0,20235.0,19582.0,18020.0,19756.0,
0.359,16786.0,17041.0,14388.0,17999.0,17892.0,16952.0,16728.0,20302.0,20437.0,19131.0,20220.0,19589.0,18013.0,19764.0,
0.409,16801.0,17004.0,14419.0,17983.0,17900.0,16937.0,16728.0,20280.0,20414.0,19154.0,20273.0,19589.0,18020.0,19771.0,
0.459,16816.0,17041.0,14404.0,18014.0,17915.0,16945.0,16698.0,20258.0,20430.0,19093.0,20266.0,19552.0,18013.0,19771.0,
0.510,16831.0,17048.0,14350.0,18022.0,17870.0,16983.0,16721.0,20273.0,20430.0,19100.0,20281.0,19604.0,18020.0,19771.0,
0.560,16801.0,17026.0,14434.0,17968.0,17915.0,16998.0,16706.0,20258.0,20407.0,19154.0,20227.0,19589.0,18028.0,19778.0,
0.610,16793.0,17033.0,14365.0,17983.0,17892.0,17006.0,16713.0,20318.0,20414.0,19100.0,20243.0,19567.0,18028.0,19786.0,
0.660,16801.0,16989.0,14373.0,18006.0,17892.0,16998.0,16721.0,20333.0,20445.0,19192.0,20243.0,19604.0,18013.0,19771.0,
0.710,16808.0,16996.0,14411.0,18006.0,17900.0,16975.0,16721.0,20265.0,20414.0,19154.0,20220.0,19597.0,18013.0,19786.0,
0.760,16786.0,17026.0,14381.0,17983.0,17892.0,17036.0,16728.0,20236.0,20445.0,19070.0,20250.0,19597.0,18013.0,19793.0,
0.811,16801.0,17011.0,14449.0,17976.0,17915.0,16945.0,16721.0,20280.0,20414.0,19100.0,20281.0,19597.0,18005.0,19793.0,
0.861,16786.0,17048.0,14388.0,18068.0,17892.0,16937.0,16706.0,20235.0,20461.0,19116.0,20243.0,19589.0,18028.0,19771.0,
0.911,16808.0,17026.0,14404.0,17976.0,17900.0,16991.0,16713.0,20310.0,20430.0,19085.0,20220.0,19582.0,17998.0,19778.0,
0.961,16786.0,17048.0,14365.0,18037.0,17870.0,16968.0,16728.0,20318.0,20430.0,19116.0,20243.0,19582.0,18013.0,19764.0,
