frame_num,time_s,
0,0.027,
1,0.077,
2,0.128,
3,0.178,
4,0.228,
5,0.279,
6,0.329,
7,0.379,
8,0.429,
9,0.479,
10,0.530,
11,0.580,
12,0.630,
13,0.680,
14,0.730,
15,0.793,
16,0.860,
17,0.928,
18,0.993,
19,1.061,
20,1.125,
21,1.193,
22,1.261,
23,1.325,
24,1.393,
25,1.461,
26,1.525,
27,1.593,
28,1.662,
29,1.725,
30,1.793,
31,1.861,
32,1.925,
33,1.993,
34,2.057,
35,2.125,
36,2.193,
37,2.257,
38,2.325,
39,2.393,
40,2.457,
41,2.525,
42,2.593,
43,2.658,
44,2.724,
45,2.793,
46,2.857,
47,2.925,
48,2.993,
49,3.057,
50,3.125,
51,3.189,
52,3.257,
53,3.325,
54,3.388,
55,3.457,
56,3.524,
57,3.588,
58,3.656,
59,3.724,
60,3.789,
61,3.857,
62,3.924,
63,3.989,
64,4.057,
65,4.125,
66,4.189,
67,4.257,
68,4.321,
69,4.388,
70,4.457,
71,4.521,
72,4.589,
73,4.657,
74,4.721,
75,4.789,
76,4.857,
77,4.921,
78,4.989,
79,5.057,
80,5.121,
81,5.189,
82,5.253,
83,5.321,
84,5.389,
85,5.453,
86,5.521,
87,5.589,
88,5.653,
89,5.722,
90,5.788,
91,5.853,
92,5.920,
93,5.988,
94,6.053,
95,6.121,
96,6.189,
97,6.253,
98,6.322,
99,6.385,
100,6.453,
101,6.521,
102,6.586,
103,6.653,
104,6.721,
105,6.784,
106,6.853,
107,6.921,
108,6.985,
109,7.053,
110,7.121,
111,7.185,
112,7.253,
113,7.321,
114,7.385,
115,7.453,
116,7.517,
117,7.585,
118,7.652,
119,7.716,
120,7.785,
121,7.854,
122,7.917,
123,7.984,
124,8.053,
125,8.117,
126,8.186,
127,8.253,
128,8.317,
129,8.385,
130,8.449,
131,8.517,
132,8.585,
133,8.649,
134,8.718,
135,8.785,
136,8.849,
137,8.917,
138,8.985,
139,9.048,
140,9.117,
141,9.185,
142,9.249,
143,9.316,
144,9.385,
145,9.449,
146,9.517,
147,9.581,
148,9.649,
149,9.717,
150,9.780,
151,9.849,
152,9.916,
153,9.981,
154,10.049,
155,10.117,
156,10.180,
157,10.249,
158,10.317,
159,10.382,
160,10.449,
161,10.516,
162,10.581,
163,10.648,
164,10.712,
165,10.781,
166,10.848,
167,10.912,
168,10.981,
169,11.048,
170,11.113,
171,11.181,
172,11.250,
173,11.313,
174,11.381,
175,11.449,
176,11.513,
177,11.582,
178,11.645,
179,11.713,
180,11.781,
181,11.845,
182,11.912,
183,11.981,
184,12.044,
185,12.113,
186,12.181,
187,12.245,
188,12.312,
189,12.380,
190,12.445,
191,12.513,
192,12.581,
193,12.645,
194,12.713,
195,12.776,
196,12.844,
197,12.912,
198,12.977,
199,13.045,
200,13.113,
201,13.177,
