frame_num,time_s,
0,0.028,
1,0.078,
2,0.128,
3,0.178,
4,0.228,
5,0.278,
6,0.329,
7,0.379,
8,0.429,
9,0.479,
10,0.530,
11,0.580,
12,0.630,
13,0.682,
14,0.746,
15,0.814,
16,0.882,
17,0.946,
18,1.014,
19,1.082,
20,1.146,
21,1.214,
22,1.282,
23,1.346,
24,1.414,
25,1.483,
26,1.547,
27,1.615,
28,1.679,
29,1.747,
30,1.814,
31,1.878,
32,1.946,
33,2.014,
34,2.078,
35,2.146,
36,2.214,
37,2.279,
38,2.346,
39,2.414,
40,2.478,
41,2.547,
42,2.614,
43,2.678,
44,2.746,
45,2.810,
46,2.878,
47,2.947,
48,3.010,
49,3.078,
50,3.146,
51,3.210,
52,3.278,
53,3.346,
54,3.411,
55,3.479,
56,3.546,
57,3.610,
58,3.678,
59,3.746,
60,3.810,
61,3.879,
62,3.942,
63,4.010,
64,4.078,
65,4.142,
66,4.211,
67,4.278,
68,4.342,
69,4.410,
70,4.478,
71,4.542,
72,4.610,
73,4.678,
74,4.743,
75,4.810,
76,4.874,
77,4.942,
78,5.010,
79,5.074,
80,5.143,
81,5.210,
82,5.275,
83,5.343,
84,5.411,
85,5.474,
86,5.542,
87,5.610,
88,5.674,
89,5.743,
90,5.810,
91,5.874,
92,5.942,
93,6.007,
94,6.074,
95,6.142,
96,6.206,
97,6.275,
98,6.342,
99,6.406,
100,6.474,
101,6.542,
102,6.607,
103,6.675,
104,6.743,
105,6.806,
106,6.874,
107,6.942,
108,7.006,
109,7.074,
110,7.138,
111,7.207,
112,7.274,
113,7.339,
114,7.406,
115,7.474,
116,7.539,
117,7.606,
118,7.674,
119,7.738,
120,7.806,
121,7.874,
122,7.938,
123,8.006,
124,8.070,
125,8.138,
126,8.206,
127,8.271,
128,8.338,
129,8.406,
130,8.470,
131,8.538,
132,8.607,
133,8.671,
134,8.738,
135,8.806,
136,8.871,
137,8.938,
138,9.006,
139,9.070,
140,9.138,
141,9.203,
142,9.271,
143,9.338,
144,9.402,
145,9.471,
146,9.539,
147,9.602,
148,9.670,
149,9.739,
150,9.803,
151,9.871,
152,9.938,
153,10.002,
154,10.070,
155,10.138,
156,10.202,
157,10.270,
158,10.335,
159,10.402,
160,10.470,
161,10.534,
162,10.602,
163,10.671,
164,10.734,
165,10.802,
166,10.870,
167,10.934,
168,11.002,
169,11.070,
170,11.134,
171,11.202,
172,11.266,
173,11.334,
174,11.403,
175,11.466,
176,11.534,
177,11.603,
178,11.666,
179,11.735,
180,11.802,
181,11.866,
182,11.935,
183,12.002,
184,12.066,
185,12.135,
186,12.203,
187,12.266,
188,12.335,
189,12.398,
190,12.467,
191,12.535,
192,12.599,
193,12.666,
194,12.734,
195,12.798,
196,12.867,
197,12.935,
198,12.999,
199,13.066,
200,13.134,
201,13.199,
202,13.266,
203,13.334,
204,13.398,
205,13.467,
206,13.531,
207,13.598,
208,13.667,
209,13.730,
210,13.799,
211,13.867,
212,13.930,
213,13.998,
214,14.066,
215,14.130,
216,14.199,
217,14.267,
218,14.330,
219,14.399,
220,14.462,
221,14.531,
222,14.598,
223,14.662,
224,14.730,
225,14.798,
226,14.862,
227,14.930,
228,14.998,
229,15.062,
230,15.130,
231,15.198,
232,15.262,
233,15.330,
234,15.398,
