time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16884.0,16989.0,14434.0,18218.0,17975.0,16982.0,16691.0,20264.0,20414.0,19131.0,20318.0,19604.0,18028.0,19740.0,
0.058,16884.0,17003.0,14427.0,18226.0,17944.0,16967.0,16698.0,20309.0,20414.0,19161.0,20279.0,19567.0,17991.0,19740.0,
0.109,16861.0,16989.0,14449.0,18165.0,18005.0,16975.0,16713.0,20346.0,20414.0,19161.0,20310.0,19597.0,18013.0,19748.0,
0.159,16869.0,16996.0,14434.0,18234.0,17967.0,17005.0,16706.0,20317.0,20421.0,19138.0,20295.0,19567.0,17998.0,19725.0,
0.209,16853.0,17018.0,14411.0,18203.0,17959.0,16982.0,16698.0,20309.0,20429.0,19123.0,20341.0,19575.0,18005.0,19733.0,
0.260,16861.0,17004.0,14434.0,18195.0,17952.0,16982.0,16698.0,20272.0,20429.0,19107.0,20341.0,19567.0,17998.0,19733.0,
0.310,16861.0,17033.0,14442.0,18180.0,17944.0,17028.0,16706.0,20257.0,20429.0,19138.0,20341.0,19582.0,18005.0,19748.0,
0.360,16853.0,16989.0,14457.0,18211.0,17967.0,16982.0,16698.0,20324.0,20437.0,19138.0,20310.0,19582.0,17998.0,19733.0,
0.411,16876.0,17048.0,14404.0,18226.0,17952.0,16967.0,16683.0,20279.0,20437.0,19115.0,20295.0,19575.0,18005.0,19733.0,
0.461,16876.0,16989.0,14427.0,18218.0,17944.0,16967.0,16691.0,20309.0,20414.0,19115.0,20318.0,19590.0,18035.0,19733.0,
0.512,16906.0,17011.0,14434.0,18172.0,17937.0,16982.0,16691.0,20301.0,20437.0,19146.0,20295.0,19582.0,18005.0,19740.0,
0.562,16884.0,17026.0,14457.0,18241.0,17975.0,17005.0,16698.0,20279.0,20414.0,19153.0,20295.0,19582.0,18005.0,19733.0,
0.612,16869.0,17026.0,14419.0,18180.0,17967.0,17005.0,16698.0,20302.0,20406.0,19131.0,20349.0,19582.0,18013.0,19733.0,
0.662,16899.0,17033.0,14419.0,18180.0,17944.0,17051.0,16713.0,20309.0,20429.0,19100.0,20364.0,19582.0,18035.0,19733.0,
0.712,16914.0,17011.0,14442.0,18226.0,17967.0,16967.0,16698.0,20339.0,20413.0,19130.0,20303.0,19604.0,18005.0,19725.0,
0.762,16884.0,17018.0,14449.0,18226.0,17997.0,16982.0,16698.0,20309.0,20413.0,19130.0,20272.0,19575.0,17998.0,19740.0,
0.813,16884.0,17018.0,14427.0,18180.0,17944.0,16990.0,16706.0,20257.0,20406.0,19161.0,20341.0,19560.0,17998.0,19718.0,
0.863,16831.0,17003.0,14396.0,18195.0,17975.0,16974.0,16706.0,20294.0,20414.0,19177.0,20334.0,19589.0,18020.0,19748.0,
0.913,16899.0,17018.0,14427.0,18180.0,17982.0,17005.0,16683.0,20279.0,20413.0,19161.0,20287.0,19627.0,18020.0,19740.0,
0.963,16876.0,17048.0,14427.0,18241.0,17982.0,16997.0,16721.0,20301.0,20429.0,19123.0,20372.0,19582.0,18020.0,19726.0,
1.013,16846.0,17018.0,14427.0,18226.0,17937.0,17020.0,16698.0,20294.0,20406.0,19176.0,20349.0,19612.0,18020.0,19733.0,
1.063,16846.0,17026.0,14404.0,18226.0,17967.0,17013.0,16698.0,20309.0,20421.0,19153.0,20341.0,19575.0,18013.0,19726.0,
1.114,16884.0,17011.0,14427.0,18249.0,17921.0,17043.0,16698.0,20264.0,20421.0,19169.0,20357.0,19634.0,17998.0,19733.0,
1.164,16899.0,17033.0,14411.0,18180.0,17952.0,16982.0,16713.0,20309.0,20406.0,19115.0,20310.0,19590.0,18020.0,19718.0,
1.214,16868.0,17026.0,14419.0,18172.0,17959.0,16982.0,16706.0,20331.0,20444.0,19107.0,20303.0,19597.0,18020.0,19733.0,
1.264,16876.0,17011.0,14411.0,18203.0,17997.0,17043.0,16691.0,20264.0,20413.0,19146.0,20287.0,19575.0,18065.0,19718.0,
1.314,16899.0,17011.0,14396.0,18195.0,17975.0,16975.0,16691.0,20301.0,20414.0,19123.0,20303.0,19567.0,18005.0,19718.0,
1.364,16868.0,16996.0,14411.0,18211.0,17990.0,16982.0,16691.0,20317.0,20406.0,19138.0,20318.0,19590.0,17983.0,19726.0,
1.414,16853.0,16989.0,14472.0,18203.0,17959.0,16990.0,16698.0,20354.0,20436.0,19123.0,20295.0,19582.0,18013.0,19748.0,
1.464,16891.0,17018.0,14434.0,18203.0,17959.0,16998.0,16698.0,20264.0,20414.0,19130.0,20372.0,19612.0,17998.0,19748.0,
1.514,16884.0,17011.0,14419.0,18188.0,17937.0,17012.0,16698.0,20324.0,20460.0,19123.0,20356.0,19597.0,18013.0,19740.0,
1.565,16846.0,16981.0,14457.0,18180.0,17944.0,17020.0,16691.0,20354.0,20437.0,19107.0,20326.0,19597.0,18013.0,19733.0,
1.615,16906.0,17011.0,14404.0,18188.0,17959.0,16974.0,16698.0,20302.0,20452.0,19130.0,20295.0,19582.0,18013.0,19733.0,
1.665,16884.0,17003.0,14465.0,18203.0,17959.0,17005.0,16698.0,20264.0,20413.0,19146.0,20326.0,19582.0,18005.0,19725.0,
1.716,16853.0,17011.0,14442.0,18172.0,17929.0,17013.0,16691.0,20294.0,20429.0,19138.0,20333.0,19582.0,18005.0,19733.0,
1.766,16869.0,17011.0,14449.0,18195.0,17959.0,17020.0,16698.0,20264.0,20398.0,19161.0,20295.0,19575.0,17983.0,19740.0,
1.816,16853.0,17003.0,14427.0,18172.0,17959.0,17036.0,16713.0,20301.0,20398.0,19161.0,20303.0,19582.0,17998.0,19733.0,
1.867,12.0,17026.0,14411.0,18180.0,17952.0,17043.0,16691.0,20324.0,20452.0,19115.0,20318.0,19597.0,18005.0,19733.0,
1.917,16876.0,17018.0,14396.0,18180.0,17959.0,17013.0,16706.0,20294.0,20406.0,19146.0,20295.0,19582.0,18005.0,19733.0,
1.967,16861.0,17033.0,14427.0,18188.0,17944.0,16990.0,16683.0,20302.0,20444.0,19169.0,20279.0,19597.0,18020.0,19755.0,
2.017,16853.0,17011.0,14442.0,18172.0,18013.0,17059.0,16691.0,20324.0,20437.0,19138.0,20287.0,19590.0,18028.0,19733.0,
2.067,16884.0,17003.0,14427.0,18218.0,17990.0,16982.0,16721.0,20324.0,20421.0,19100.0,20310.0,19575.0,18005.0,19711.0,
