time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16861.0,16980.0,14366.0,18370.0,17980.0,16890.0,16676.0,20239.0,20388.0,19190.0,20370.0,19500.0,17924.0,19656.0,
0.059,16831.0,16972.0,14343.0,18301.0,17996.0,16868.0,16683.0,20217.0,20380.0,19190.0,20377.0,19515.0,17916.0,19663.0,
0.109,16846.0,16980.0,14389.0,18331.0,17988.0,16883.0,16676.0,20292.0,20449.0,19175.0,20346.0,19500.0,17924.0,19663.0,
0.159,16808.0,17010.0,14343.0,18316.0,17996.0,16868.0,16660.0,20224.0,20464.0,19236.0,20324.0,19478.0,17931.0,19656.0,
0.209,16823.0,16943.0,14350.0,18362.0,17958.0,16868.0,16668.0,20246.0,20457.0,19206.0,20339.0,19538.0,17946.0,19663.0,
0.259,16838.0,16987.0,14358.0,18377.0,17988.0,16868.0,16668.0,20239.0,20480.0,19183.0,20354.0,19545.0,17968.0,19663.0,
0.310,16853.0,17002.0,14343.0,18309.0,17980.0,16860.0,16676.0,20187.0,20418.0,19213.0,20377.0,19493.0,17939.0,19656.0,
0.360,16808.0,16980.0,14358.0,18339.0,18011.0,16868.0,16668.0,20224.0,20411.0,19167.0,20331.0,19500.0,17909.0,19663.0,
0.410,16800.0,16980.0,14350.0,18347.0,17988.0,16883.0,16683.0,20240.0,20395.0,19198.0,20316.0,19493.0,17991.0,19656.0,
0.461,16815.0,16950.0,14343.0,18362.0,17980.0,16906.0,16653.0,20232.0,20457.0,19167.0,20370.0,19515.0,17916.0,19671.0,
0.511,16853.0,16995.0,14366.0,18332.0,17973.0,16891.0,16676.0,20292.0,20372.0,19213.0,20293.0,19508.0,17916.0,19671.0,
0.561,16778.0,17010.0,14358.0,18347.0,17988.0,16875.0,16668.0,20217.0,20403.0,19167.0,20362.0,19485.0,17916.0,19678.0,
0.612,16785.0,16995.0,14381.0,18370.0,17996.0,16867.0,16653.0,20247.0,20403.0,19175.0,20354.0,19538.0,17924.0,19656.0,
0.662,16838.0,16987.0,14358.0,18362.0,17980.0,16875.0,16660.0,20247.0,20441.0,19144.0,20300.0,19508.0,17924.0,19663.0,
0.712,16793.0,17017.0,14358.0,18331.0,17973.0,16921.0,16676.0,20231.0,20411.0,19183.0,20323.0,19500.0,17983.0,19663.0,
0.762,16868.0,16965.0,14343.0,18339.0,17973.0,16875.0,16660.0,20224.0,20434.0,19167.0,20308.0,19508.0,17976.0,19656.0,
0.812,16800.0,16943.0,14358.0,18339.0,17988.0,16898.0,16668.0,20247.0,20387.0,19198.0,20331.0,19560.0,17916.0,19634.0,
0.863,16785.0,16980.0,14366.0,18316.0,17950.0,16936.0,16668.0,20276.0,20388.0,19236.0,20316.0,19500.0,17931.0,19663.0,
0.913,16823.0,16980.0,14358.0,18347.0,17965.0,16898.0,16676.0,20217.0,20395.0,19198.0,20346.0,19515.0,17924.0,19641.0,
0.963,16793.0,16987.0,14358.0,18339.0,18033.0,16845.0,16691.0,20217.0,20388.0,19198.0,20331.0,19508.0,17939.0,19671.0,
1.014,16808.0,17002.0,14358.0,18331.0,17973.0,16928.0,16668.0,20224.0,20410.0,19167.0,20323.0,19500.0,17931.0,19663.0,
1.064,16808.0,16980.0,14373.0,18324.0,17965.0,16890.0,16683.0,20299.0,20395.0,19213.0,20285.0,19485.0,17939.0,19663.0,
1.114,16838.0,17002.0,14350.0,18316.0,18003.0,16868.0,16676.0,20231.0,20433.0,19152.0,20393.0,19523.0,17983.0,19656.0,
1.164,16800.0,17025.0,14373.0,18339.0,17942.0,16890.0,16683.0,20239.0,20449.0,19198.0,20316.0,19500.0,17916.0,19663.0,
1.214,16793.0,16995.0,14381.0,18362.0,17980.0,16883.0,16691.0,20217.0,20480.0,19160.0,20293.0,19508.0,17916.0,19648.0,
1.264,16846.0,16965.0,14396.0,18332.0,17973.0,16860.0,16683.0,20224.0,20411.0,19198.0,20331.0,19485.0,17909.0,19663.0,
1.314,16785.0,16950.0,14381.0,18324.0,17988.0,16883.0,16668.0,20224.0,20411.0,19160.0,20370.0,19500.0,17953.0,19641.0,
1.364,16823.0,16958.0,14350.0,18347.0,17973.0,16868.0,16668.0,20217.0,20403.0,19167.0,20346.0,19523.0,17939.0,19663.0,
1.415,16778.0,16987.0,14366.0,18362.0,18003.0,16875.0,16653.0,20194.0,20411.0,19221.0,20308.0,19590.0,17939.0,19656.0,
1.465,16846.0,16972.0,14350.0,18354.0,17957.0,16860.0,16668.0,20232.0,20457.0,19175.0,20346.0,19500.0,17953.0,19663.0,
1.515,16815.0,16995.0,14411.0,18331.0,17965.0,16928.0,16691.0,20247.0,20365.0,19213.0,20339.0,19508.0,17968.0,19663.0,
1.566,16785.0,16995.0,14350.0,18362.0,17965.0,16883.0,16676.0,20224.0,20395.0,19144.0,20300.0,19515.0,17961.0,19656.0,
1.616,16831.0,16943.0,14389.0,18316.0,17980.0,16875.0,16660.0,20209.0,20441.0,19175.0,20323.0,19523.0,17983.0,19663.0,
1.666,16793.0,16980.0,14366.0,18324.0,17980.0,16868.0,16676.0,20232.0,20434.0,19167.0,20316.0,19500.0,17968.0,19648.0,
1.717,16808.0,17025.0,14335.0,18339.0,17996.0,16890.0,16668.0,20224.0,20472.0,19167.0,20323.0,19493.0,17901.0,19656.0,
1.767,16831.0,16972.0,14381.0,18362.0,17980.0,16860.0,16660.0,20306.0,20403.0,19175.0,20354.0,19530.0,17924.0,19663.0,
1.817,16800.0,16972.0,14373.0,18339.0,17995.0,16868.0,16660.0,20209.0,20411.0,19190.0,20308.0,19508.0,17939.0,19671.0,
1.868,16800.0,17002.0,14366.0,18316.0,17988.0,16936.0,16668.0,20299.0,20388.0,19175.0,20316.0,19500.0,17909.0,19671.0,
1.918,16785.0,16987.0,14343.0,18324.0,17980.0,16868.0,16683.0,20217.0,20403.0,19206.0,20316.0,19508.0,17976.0,19656.0,
1.968,16785.0,16935.0,14411.0,18324.0,17988.0,16845.0,16676.0,20232.0,20395.0,19175.0,20369.0,19538.0,17953.0,19656.0,
2.018,16808.0,16995.0,14434.0,18324.0,17996.0,16875.0,16676.0,20269.0,20395.0,19206.0,20308.0,19500.0,17931.0,19656.0,
2.068,16808.0,17002.0,14343.0,18331.0,17988.0,16944.0,16676.0,20224.0,20380.0,19183.0,20354.0,19515.0,17931.0,19656.0,
2.118,16778.0,16972.0,14389.0,18324.0,17958.0,16868.0,16668.0,20254.0,20403.0,19175.0,20346.0,19500.0,17939.0,19663.0,
2.169,16808.0,16987.0,14366.0,18347.0,17957.0,16883.0,16645.0,20307.0,20418.0,19213.0,20339.0,19523.0,17916.0,19663.0,
2.219,16815.0,17002.0,14350.0,18331.0,17995.0,16921.0,16668.0,20202.0,20388.0,19152.0,20316.0,19545.0,17983.0,19648.0,
2.269,16785.0,16987.0,14350.0,18354.0,17973.0,16860.0,16676.0,20239.0,20449.0,19160.0,20331.0,19508.0,17909.0,19641.0,
2.320,16800.0,16980.0,14350.0,18339.0,17980.0,16845.0,16668.0,20276.0,20426.0,19206.0,20339.0,19508.0,17939.0,19656.0,
