time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16853.0,16995.0,14442.0,18173.0,17943.0,16890.0,16699.0,20180.0,20388.0,19129.0,20347.0,19508.0,17961.0,19663.0,
0.059,16868.0,17017.0,14358.0,18188.0,17943.0,16913.0,16699.0,20173.0,20372.0,19122.0,20308.0,19515.0,17939.0,19663.0,
0.109,16845.0,16987.0,14373.0,18134.0,17913.0,16928.0,16706.0,20240.0,20388.0,19122.0,20278.0,19523.0,17976.0,19693.0,
0.159,16898.0,16972.0,14366.0,18134.0,17928.0,16875.0,16706.0,20172.0,20380.0,19099.0,20347.0,19515.0,17924.0,19678.0,
0.209,16830.0,17002.0,14350.0,18157.0,17958.0,16928.0,16683.0,20180.0,20388.0,19137.0,20331.0,19493.0,17931.0,19655.0,
0.259,16883.0,17002.0,14350.0,18180.0,17935.0,16883.0,16691.0,20172.0,20396.0,19122.0,20393.0,19523.0,17916.0,19655.0,
0.310,16830.0,17002.0,14366.0,18188.0,17936.0,16890.0,16691.0,20239.0,20403.0,19122.0,20285.0,19515.0,17939.0,19670.0,
0.360,16913.0,17024.0,14366.0,18134.0,17935.0,16890.0,16706.0,20172.0,20457.0,19099.0,20316.0,19553.0,17939.0,19641.0,
0.410,16830.0,16995.0,14366.0,18188.0,17928.0,16906.0,16721.0,20240.0,20380.0,19114.0,20301.0,19538.0,17976.0,19655.0,
0.461,16823.0,16995.0,14350.0,18134.0,17951.0,16928.0,16714.0,20172.0,20426.0,19160.0,20331.0,19538.0,17931.0,19670.0,
0.511,16891.0,16987.0,14350.0,18150.0,17951.0,16883.0,16714.0,20172.0,20388.0,19106.0,20316.0,19508.0,17931.0,19663.0,
0.561,16876.0,17017.0,14343.0,18150.0,17928.0,16905.0,16721.0,20187.0,20396.0,19122.0,20301.0,19508.0,17946.0,19663.0,
0.612,16830.0,17002.0,14343.0,18180.0,17935.0,16921.0,16706.0,20165.0,20411.0,19191.0,20316.0,19560.0,17961.0,19670.0,
0.662,16838.0,16980.0,14350.0,18134.0,17951.0,16890.0,16683.0,20150.0,20411.0,19122.0,20293.0,19530.0,17939.0,19648.0,
0.712,16830.0,16987.0,14366.0,18134.0,17943.0,16890.0,16714.0,20157.0,20388.0,19160.0,20316.0,19560.0,17924.0,19663.0,
0.763,16861.0,16987.0,14381.0,18157.0,17935.0,16928.0,16714.0,20180.0,20388.0,19145.0,20324.0,19508.0,17968.0,19655.0,
0.813,16823.0,16995.0,14366.0,18173.0,17935.0,16936.0,16729.0,20172.0,20465.0,19099.0,20316.0,19500.0,17968.0,19663.0,
0.864,16838.0,16987.0,14350.0,18150.0,17951.0,16921.0,16714.0,20202.0,20403.0,19099.0,20293.0,19523.0,17931.0,19670.0,
0.914,16853.0,16987.0,14373.0,18157.0,17958.0,16905.0,16714.0,20187.0,20380.0,19122.0,20347.0,19515.0,17976.0,19663.0,
0.964,16853.0,17002.0,14343.0,18150.0,17920.0,16913.0,16706.0,20180.0,20426.0,19099.0,20285.0,19500.0,17939.0,19663.0,
1.014,16838.0,16980.0,14381.0,18173.0,17913.0,16898.0,16714.0,20172.0,20449.0,19122.0,20293.0,19530.0,17924.0,19655.0,
1.064,16868.0,16995.0,14343.0,18150.0,17951.0,16936.0,16699.0,20262.0,20388.0,19168.0,20362.0,19590.0,17961.0,19655.0,
1.114,16876.0,17017.0,14350.0,18142.0,17943.0,16928.0,16714.0,20180.0,20380.0,19129.0,20285.0,19523.0,17916.0,19670.0,
1.165,16845.0,17010.0,14366.0,18119.0,17966.0,16959.0,16706.0,20240.0,20419.0,19122.0,20316.0,19493.0,17953.0,19655.0,
1.215,16838.0,16972.0,14404.0,18150.0,17943.0,16928.0,16706.0,20262.0,20372.0,19152.0,20285.0,19508.0,17961.0,19663.0,
1.266,16861.0,17002.0,14388.0,18134.0,17958.0,16890.0,16699.0,20195.0,20380.0,19152.0,20278.0,19523.0,17924.0,19663.0,
1.316,16838.0,16987.0,14381.0,18188.0,17935.0,16982.0,16691.0,20180.0,20380.0,19129.0,20308.0,19523.0,17946.0,19670.0,
1.367,16830.0,17032.0,14350.0,18134.0,17966.0,16928.0,16721.0,20225.0,20380.0,19122.0,20324.0,19515.0,17916.0,19670.0,
1.417,16808.0,16965.0,14373.0,18188.0,17935.0,16883.0,16714.0,20187.0,20357.0,19183.0,20277.0,19515.0,17931.0,19663.0,
1.468,16823.0,17002.0,14358.0,18150.0,17951.0,16890.0,16706.0,20187.0,20418.0,19106.0,20301.0,19568.0,17961.0,19655.0,
1.518,16853.0,17002.0,14366.0,18157.0,17928.0,16906.0,16714.0,20187.0,20418.0,19145.0,20301.0,19508.0,17916.0,19655.0,
1.568,16868.0,16987.0,14373.0,18173.0,17936.0,16921.0,16737.0,20217.0,20426.0,19129.0,20293.0,19530.0,17939.0,19648.0,
1.619,16830.0,16980.0,14358.0,18127.0,17958.0,16890.0,16706.0,20254.0,20380.0,19152.0,20285.0,19530.0,17939.0,19648.0,
1.669,16853.0,17017.0,14343.0,18165.0,17966.0,16898.0,16714.0,20195.0,20388.0,19114.0,20293.0,19530.0,17931.0,19663.0,
1.719,16838.0,16972.0,14366.0,18119.0,17951.0,16898.0,16706.0,20187.0,20487.0,19145.0,20262.0,19508.0,17946.0,19655.0,
1.769,16876.0,16987.0,14350.0,18157.0,17936.0,16905.0,16691.0,20247.0,20372.0,19145.0,20362.0,19500.0,17931.0,19648.0,
1.820,16861.0,16972.0,14358.0,18157.0,17935.0,16898.0,16714.0,20172.0,20395.0,19145.0,20339.0,19530.0,17998.0,19685.0,
1.870,16906.0,16995.0,14396.0,18173.0,17943.0,16898.0,16706.0,20232.0,20472.0,19129.0,20324.0,19523.0,17939.0,19655.0,
1.920,16861.0,17002.0,14389.0,18180.0,17905.0,16875.0,16699.0,20202.0,20388.0,19168.0,20347.0,19515.0,17916.0,19663.0,
1.971,16868.0,16987.0,14350.0,18119.0,17981.0,16936.0,16729.0,20180.0,20403.0,19122.0,20331.0,19523.0,17968.0,19655.0,
2.021,16868.0,17032.0,14373.0,18142.0,17996.0,16890.0,16714.0,20172.0,20411.0,19099.0,20324.0,19545.0,17931.0,19656.0,
2.071,16845.0,16995.0,14343.0,18127.0,17966.0,16905.0,16714.0,20202.0,20380.0,19091.0,20316.0,19508.0,17931.0,19670.0,
2.121,16830.0,17024.0,14358.0,18188.0,17935.0,16890.0,16714.0,20202.0,20365.0,19106.0,20308.0,19530.0,17939.0,19678.0,
2.171,16868.0,16980.0,14343.0,18157.0,17943.0,16890.0,16714.0,20232.0,20380.0,19106.0,20285.0,19523.0,17939.0,19670.0,
2.221,16830.0,17024.0,14366.0,18180.0,17951.0,16898.0,16706.0,20187.0,20411.0,19160.0,20331.0,19515.0,17946.0,19678.0,
2.271,16823.0,17002.0,14358.0,18211.0,17936.0,16890.0,16714.0,20202.0,20395.0,19152.0,20339.0,19515.0,17924.0,19655.0,
2.321,16861.0,16987.0,14419.0,18173.0,17928.0,16890.0,16721.0,20202.0,20388.0,19106.0,20324.0,19508.0,17939.0,19678.0,
2.372,16861.0,16987.0,14381.0,18157.0,17943.0,16890.0,16714.0,20172.0,20380.0,19114.0,20301.0,19500.0,17939.0,19670.0,
2.422,16853.0,17025.0,14404.0,18142.0,17928.0,16906.0,16706.0,20195.0,20472.0,19160.0,20285.0,19508.0,17931.0,19655.0,
2.472,16830.0,16995.0,14373.0,18165.0,17935.0,16898.0,16699.0,20180.0,20365.0,19137.0,20339.0,19523.0,17968.0,19655.0,
2.523,16868.0,17010.0,14381.0,18188.0,17943.0,16913.0,16699.0,20202.0,20411.0,19099.0,20293.0,19553.0,17968.0,19670.0,
2.573,16830.0,16995.0,14343.0,18142.0,17928.0,16928.0,16721.0,20180.0,20372.0,19152.0,20308.0,19508.0,17931.0,19663.0,
2.624,16906.0,16995.0,14350.0,18150.0,17951.0,16906.0,16721.0,20232.0,20395.0,19152.0,20285.0,19493.0,17968.0,19648.0,
2.674,16868.0,17002.0,14350.0,18157.0,17958.0,16921.0,16699.0,20172.0,20457.0,19106.0,20300.0,19538.0,17924.0,19670.0,
2.724,16838.0,17002.0,14358.0,18127.0,17958.0,16883.0,16699.0,20180.0,20388.0,19122.0,20285.0,19553.0,17968.0,19648.0,
2.774,16898.0,16980.0,14450.0,18142.0,17973.0,16883.0,16706.0,20173.0,20411.0,19099.0,20301.0,19530.0,17939.0,19670.0,
2.825,16838.0,16980.0,14358.0,18188.0,17943.0,16890.0,16699.0,20202.0,20380.0,19152.0,20316.0,19530.0,17968.0,19648.0,
2.875,16868.0,17002.0,14396.0,18150.0,17966.0,16890.0,16714.0,20173.0,20395.0,19099.0,20308.0,19530.0,17968.0,19656.0,
2.926,16838.0,17002.0,14381.0,18173.0,17951.0,16906.0,16714.0,20172.0,20395.0,19099.0,20347.0,19597.0,17991.0,19670.0,
2.976,16846.0,17002.0,14350.0,18134.0,17943.0,16951.0,16706.0,20165.0,20380.0,19122.0,20354.0,19500.0,17961.0,19648.0,
3.026,16845.0,16965.0,14381.0,18211.0,17920.0,16890.0,16706.0,20172.0,20441.0,19099.0,20285.0,19530.0,17946.0,19655.0,
3.076,16853.0,16980.0,14343.0,18188.0,17936.0,16890.0,16706.0,20217.0,20395.0,19122.0,20308.0,19500.0,17924.0,19655.0,
3.127,8.0,17017.0,14373.0,18157.0,17943.0,16898.0,16729.0,20195.0,20380.0,19129.0,20347.0,19515.0,17939.0,19670.0,
3.177,16845.0,17002.0,14411.0,18157.0,17989.0,16913.0,16683.0,20195.0,20411.0,19114.0,20316.0,19500.0,17953.0,19663.0,
3.227,16845.0,17017.0,14404.0,18134.0,17905.0,16890.0,16721.0,20172.0,20380.0,19137.0,20316.0,19515.0,17931.0,19663.0,
3.277,16808.0,16987.0,14358.0,18134.0,17943.0,16921.0,16714.0,20187.0,20388.0,19106.0,20354.0,19597.0,17916.0,19640.0,
3.327,16846.0,17002.0,14343.0,18173.0,17951.0,16906.0,16699.0,20180.0,20403.0,19114.0,20347.0,19508.0,17931.0,19670.0,
3.378,16823.0,16995.0,14358.0,18142.0,17951.0,16898.0,16721.0,20165.0,20388.0,19114.0,20316.0,19538.0,17976.0,19663.0,
3.429,16838.0,17002.0,14328.0,18157.0,17973.0,16898.0,16706.0,20210.0,20388.0,19122.0,20308.0,19523.0,17976.0,19663.0,
3.479,16853.0,16972.0,14381.0,18173.0,17981.0,16883.0,16706.0,20165.0,20419.0,19129.0,20331.0,19500.0,17931.0,19663.0,
3.529,16830.0,17017.0,14366.0,18157.0,17928.0,16898.0,16714.0,20165.0,20403.0,19175.0,20308.0,19508.0,17939.0,19655.0,
3.579,16808.0,16980.0,14358.0,18119.0,17935.0,16905.0,16706.0,20195.0,20372.0,19137.0,20277.0,19515.0,17946.0,19663.0,
3.629,16861.0,17002.0,14358.0,18119.0,17913.0,16906.0,16699.0,20172.0,20395.0,19160.0,20308.0,19508.0,17946.0,19656.0,
3.680,16845.0,17010.0,14411.0,18180.0,17928.0,16890.0,16706.0,20187.0,20380.0,19099.0,20331.0,19523.0,18020.0,19678.0,
3.730,16815.0,16972.0,14411.0,18142.0,17958.0,16913.0,16714.0,20172.0,20380.0,19129.0,20293.0,19508.0,17976.0,19655.0,
3.780,16876.0,16980.0,14350.0,18165.0,17943.0,16898.0,16683.0,20187.0,20395.0,19122.0,20308.0,19523.0,17939.0,19663.0,
3.831,16823.0,16995.0,14366.0,18173.0,17928.0,16898.0,16691.0,20202.0,20396.0,19106.0,20278.0,19523.0,17916.0,19663.0,
3.881,16876.0,17002.0,14335.0,18142.0,17935.0,16905.0,16721.0,20165.0,20411.0,19160.0,20339.0,19612.0,17916.0,19670.0,
3.931,16921.0,16965.0,14373.0,18142.0,17928.0,16974.0,16714.0,20202.0,20388.0,19129.0,20301.0,19553.0,17939.0,19670.0,
3.981,16815.0,16980.0,14419.0,18157.0,17951.0,16898.0,16714.0,20277.0,20426.0,19114.0,20300.0,19523.0,17939.0,19670.0,
4.031,16838.0,16995.0,14343.0,18180.0,17943.0,16905.0,16706.0,20172.0,20411.0,19099.0,20331.0,19500.0,17939.0,19678.0,
4.081,16830.0,17024.0,14366.0,18119.0,17913.0,16898.0,16691.0,20173.0,20395.0,19114.0,20316.0,19530.0,17939.0,19670.0,
4.131,16845.0,16972.0,14366.0,18150.0,17928.0,16875.0,16699.0,20165.0,20395.0,19106.0,20362.0,19523.0,17939.0,19670.0,
4.182,16815.0,16980.0,14366.0,18134.0,17913.0,16906.0,16699.0,20165.0,20403.0,19122.0,20324.0,19500.0,17946.0,19678.0,
4.232,16891.0,16987.0,14335.0,18119.0,17943.0,16905.0,16706.0,20180.0,20388.0,19099.0,20285.0,19553.0,17939.0,19663.0,
4.282,16861.0,17024.0,14350.0,18127.0,17928.0,16898.0,16706.0,20210.0,20380.0,19114.0,20278.0,19530.0,17946.0,19663.0,
4.333,16868.0,17017.0,14335.0,18150.0,17935.0,16921.0,16699.0,20172.0,20419.0,19114.0,20347.0,19568.0,17931.0,19678.0,
4.383,16815.0,16987.0,14366.0,18173.0,17943.0,16921.0,16721.0,20232.0,20427.0,19183.0,20339.0,19508.0,17924.0,19648.0,
4.433,16876.0,17002.0,14373.0,18150.0,17958.0,16905.0,16706.0,20187.0,20472.0,19114.0,20301.0,19538.0,17976.0,19648.0,
4.483,16823.0,16980.0,14388.0,18134.0,17928.0,16906.0,16683.0,20195.0,20372.0,19183.0,20293.0,19538.0,17946.0,19663.0,
4.533,16838.0,17010.0,14373.0,18218.0,17920.0,16913.0,16721.0,20247.0,20388.0,19129.0,20301.0,19515.0,17946.0,19663.0,
4.584,16868.0,16987.0,14350.0,18127.0,17920.0,16883.0,16721.0,20180.0,20441.0,19106.0,20378.0,19508.0,17931.0,19663.0,
4.634,16853.0,16995.0,14358.0,18142.0,17958.0,16905.0,16714.0,20202.0,20380.0,19145.0,20301.0,19515.0,17916.0,19655.0,
4.684,16823.0,17010.0,14366.0,18211.0,17936.0,16905.0,16699.0,20187.0,20388.0,19099.0,20324.0,19568.0,17931.0,19663.0,
4.734,16883.0,17017.0,14404.0,18142.0,17920.0,16951.0,16714.0,20195.0,20403.0,19106.0,20293.0,19538.0,17953.0,19663.0,
4.784,16823.0,16972.0,14381.0,18196.0,17996.0,16905.0,16729.0,20180.0,20418.0,19122.0,20316.0,19508.0,17939.0,19648.0,
4.835,16853.0,16987.0,14366.0,18134.0,17928.0,16883.0,16706.0,20172.0,20372.0,19122.0,20308.0,19500.0,17953.0,19663.0,
4.887,16868.0,16980.0,14389.0,18127.0,17943.0,16906.0,16714.0,20254.0,20388.0,19145.0,20324.0,19508.0,17976.0,19648.0,
4.937,16845.0,16950.0,14381.0,18157.0,17951.0,16936.0,16721.0,20210.0,20403.0,19099.0,20308.0,19523.0,17939.0,19663.0,
4.987,16830.0,17009.0,14343.0,18142.0,17943.0,16913.0,16729.0,20217.0,20372.0,19099.0,20316.0,19500.0,17931.0,19670.0,
5.037,16815.0,16987.0,14358.0,18157.0,17935.0,16898.0,16691.0,20172.0,20372.0,19137.0,20308.0,19515.0,17968.0,19656.0,
5.088,16853.0,17010.0,14373.0,18119.0,17943.0,16883.0,16714.0,20172.0,20380.0,19160.0,20324.0,19515.0,17976.0,19641.0,
5.138,16838.0,17002.0,14366.0,18157.0,17981.0,16890.0,16706.0,20172.0,20441.0,19129.0,20308.0,19530.0,17939.0,19663.0,
