frame_num,time_s,
0,0.026,
1,0.076,
2,0.126,
3,0.177,
4,0.227,
5,0.277,
6,0.328,
7,0.378,
8,0.428,
9,0.478,
10,0.529,
11,0.579,
12,0.629,
13,0.679,
14,0.729,
15,0.797,
16,0.860,
17,0.928,
18,0.996,
19,1.061,
20,1.128,
21,1.192,
22,1.260,
23,1.328,
24,1.393,
25,1.461,
26,1.528,
27,1.592,
28,1.661,
29,1.729,
30,1.793,
31,1.860,
32,1.928,
33,1.993,
34,2.060,
35,2.128,
36,2.192,
37,2.260,
38,2.324,
39,2.393,
40,2.460,
41,2.525,
42,2.592,
43,2.660,
44,2.725,
45,2.792,
46,2.860,
47,2.925,
48,2.993,
49,3.060,
50,3.124,
51,3.192,
52,3.261,
53,3.325,
54,3.392,
55,3.456,
56,3.524,
57,3.593,
58,3.656,
59,3.724,
60,3.792,
61,3.857,
62,3.925,
63,3.992,
64,4.056,
65,4.124,
66,4.192,
67,4.257,
68,4.324,
69,4.388,
70,4.457,
71,4.524,
72,4.588,
73,4.656,
74,4.724,
75,4.788,
76,4.856,
77,4.924,
78,4.988,
79,5.056,
80,5.125,
81,5.190,
82,5.256,
83,5.324,
84,5.389,
85,5.457,
86,5.521,
87,5.589,
88,5.656,
89,5.721,
90,5.789,
91,5.856,
92,5.920,
93,5.988,
94,6.057,
95,6.120,
96,6.189,
97,6.257,
98,6.321,
99,6.389,
100,6.457,
101,6.521,
102,6.588,
103,6.653,
104,6.721,
105,6.789,
106,6.852,
107,6.920,
108,6.989,
109,7.053,
110,7.121,
111,7.189,
112,7.253,
113,7.321,
114,7.389,
115,7.453,
116,7.520,
117,7.585,
118,7.653,
119,7.720,
120,7.785,
121,7.853,
122,7.922,
123,7.985,
124,8.052,
125,8.120,
126,8.185,
127,8.252,
128,8.321,
129,8.384,
130,8.452,
131,8.521,
132,8.585,
133,8.653,
134,8.717,
135,8.785,
136,8.853,
137,8.918,
138,8.985,
139,9.052,
140,9.117,
141,9.185,
142,9.253,
143,9.316,
144,9.384,
145,9.453,
146,9.517,
147,9.584,
148,9.652,
149,9.717,
150,9.785,
151,9.848,
152,9.917,
153,9.985,
154,10.049,
155,10.117,
156,10.184,
157,10.248,
158,10.316,
159,10.384,
160,10.449,
161,10.516,
162,10.584,
163,10.649,
164,10.717,
165,10.781,
166,10.848,
167,10.917,
168,10.981,
169,11.048,
170,11.117,
171,11.181,
172,11.248,
173,11.317,
174,11.381,
175,11.448,
176,11.517,
177,11.581,
178,11.649,
179,11.717,
180,11.780,
181,11.848,
182,11.913,
183,11.981,
184,12.050,
185,12.112,
186,12.180,
187,12.249,
188,12.313,
189,12.381,
190,12.448,
191,12.513,
192,12.581,
193,12.649,
194,12.712,
195,12.781,
196,12.848,
197,12.913,
198,12.981,
199,13.044,
200,13.112,
201,13.181,
202,13.245,
203,13.313,
204,13.381,
205,13.445,
206,13.513,
207,13.580,
208,13.644,
209,13.713,
210,13.780,
211,13.845,
212,13.913,
213,13.977,
214,14.044,
215,14.113,
216,14.177,
217,14.245,
218,14.313,
219,14.377,
220,14.445,
221,14.513,
222,14.577,
223,14.644,
224,14.713,
225,14.776,
226,14.844,
227,14.912,
228,14.976,
229,15.045,
230,15.109,
231,15.176,
232,15.244,
233,15.309,
234,15.377,
235,15.446,
236,15.508,
237,15.576,
238,15.645,
239,15.709,
240,15.776,
241,15.844,
242,15.908,
243,15.977,
244,16.045,
245,16.109,
246,16.177,
247,16.241,
248,16.309,
249,16.376,
250,16.441,
251,16.508,
252,16.577,
253,16.640,
254,16.709,
255,16.777,
256,16.841,
257,16.909,
258,16.977,
259,17.041,
260,17.109,
261,17.173,
262,17.241,
263,17.309,
264,17.373,
265,17.440,
266,17.510,
267,17.573,
268,17.641,
269,17.709,
270,17.772,
271,17.840,
272,17.909,
273,17.973,
274,18.041,
