time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16967.0,17026.0,14411.0,18256.0,18027.0,16944.0,16668.0,20309.0,20421.0,19107.0,20378.0,19582.0,17991.0,19725.0,
0.058,16906.0,17018.0,14404.0,18279.0,18004.0,16959.0,16668.0,20301.0,20413.0,19115.0,20317.0,19567.0,17998.0,19732.0,
0.108,16906.0,17003.0,14419.0,18279.0,18011.0,17013.0,16675.0,20256.0,20413.0,19176.0,20302.0,19605.0,17976.0,19740.0,
0.158,16891.0,17018.0,14411.0,18279.0,18011.0,16944.0,16668.0,20242.0,20428.0,19153.0,20348.0,19620.0,17983.0,19755.0,
0.208,16891.0,17033.0,14465.0,18256.0,18057.0,16936.0,16683.0,20234.0,20436.0,19161.0,20325.0,19582.0,17976.0,19732.0,
0.259,16921.0,17018.0,14411.0,18294.0,18027.0,16944.0,16683.0,20249.0,20444.0,19122.0,20332.0,19627.0,18013.0,19732.0,
0.309,16929.0,17026.0,14457.0,18263.0,18004.0,16990.0,16683.0,20286.0,20421.0,19161.0,20302.0,19567.0,17998.0,19733.0,
0.359,16921.0,17063.0,14411.0,18248.0,18042.0,16967.0,16675.0,20242.0,20413.0,19107.0,20394.0,19582.0,17991.0,19740.0,
0.409,16936.0,16981.0,14404.0,18271.0,18004.0,17005.0,16660.0,20226.0,20398.0,19115.0,20355.0,19605.0,18035.0,19710.0,
0.459,16891.0,17033.0,14411.0,18263.0,17996.0,16952.0,16683.0,20301.0,20405.0,19115.0,20348.0,19575.0,18020.0,19725.0,
0.509,16944.0,17003.0,14404.0,18263.0,18004.0,16975.0,16652.0,20256.0,20405.0,19169.0,20348.0,19590.0,17991.0,19710.0,
0.560,16906.0,17018.0,14434.0,18279.0,18027.0,16944.0,16660.0,20256.0,20421.0,19122.0,20340.0,19567.0,17991.0,19718.0,
0.610,16899.0,17041.0,14411.0,18279.0,17989.0,16997.0,16675.0,20278.0,20436.0,19107.0,20378.0,19612.0,17991.0,19710.0,
0.660,16944.0,17048.0,14404.0,18248.0,17996.0,16959.0,16683.0,20249.0,20482.0,19122.0,20325.0,19575.0,17998.0,19725.0,
0.712,16914.0,17048.0,14388.0,18279.0,17989.0,16959.0,16675.0,20212.0,20436.0,19122.0,20378.0,19575.0,17998.0,19725.0,
0.762,16891.0,17040.0,14411.0,18271.0,17996.0,16967.0,16668.0,20241.0,20436.0,19130.0,20417.0,19590.0,17998.0,19710.0,
0.813,16951.0,17025.0,14396.0,18309.0,17996.0,16944.0,16668.0,20249.0,20421.0,19153.0,20432.0,19582.0,17991.0,19703.0,
