time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16868.0,17047.0,14381.0,18203.0,17958.0,16959.0,16691.0,20188.0,20473.0,19191.0,20285.0,19530.0,17939.0,19679.0,
0.059,16861.0,17040.0,14350.0,18188.0,18004.0,16906.0,16691.0,20210.0,20465.0,19153.0,20285.0,19545.0,17953.0,19664.0,
0.109,16853.0,17040.0,14381.0,18165.0,17943.0,16913.0,16676.0,20196.0,20388.0,19176.0,20362.0,19538.0,17976.0,19686.0,
0.159,16876.0,17032.0,14396.0,18180.0,17958.0,16898.0,16683.0,20218.0,20457.0,19183.0,20339.0,19545.0,17946.0,19679.0,
0.209,16838.0,16995.0,14381.0,18180.0,17974.0,16906.0,16691.0,20181.0,20388.0,19145.0,20332.0,19560.0,18005.0,19694.0,
0.259,16846.0,17040.0,14373.0,18172.0,17974.0,16944.0,16668.0,20180.0,20396.0,19168.0,20278.0,19582.0,17991.0,19686.0,
0.309,16868.0,17025.0,14350.0,18218.0,17974.0,16906.0,16676.0,20181.0,20404.0,19129.0,20355.0,19605.0,17953.0,19686.0,
0.360,16891.0,17010.0,14366.0,18226.0,17996.0,16898.0,16683.0,20188.0,20411.0,19137.0,20309.0,19515.0,17991.0,19678.0,
0.410,16876.0,17017.0,14373.0,18188.0,17981.0,16906.0,16668.0,20233.0,20442.0,19176.0,20347.0,19537.0,17946.0,19664.0,
0.460,16861.0,17040.0,14373.0,18234.0,17951.0,16913.0,16668.0,20225.0,20457.0,19160.0,20401.0,19538.0,17953.0,19664.0,
0.511,16853.0,17025.0,14366.0,18188.0,17966.0,16929.0,16668.0,20240.0,20496.0,19191.0,20347.0,19545.0,17961.0,19656.0,
0.561,16838.0,17017.0,14396.0,18241.0,18012.0,16929.0,16676.0,20285.0,20396.0,19175.0,20309.0,19523.0,17953.0,19679.0,
0.611,16876.0,17017.0,14388.0,18218.0,17966.0,16921.0,16676.0,20233.0,20419.0,19152.0,20324.0,19537.0,18005.0,19671.0,
0.661,16846.0,17025.0,14373.0,18180.0,17966.0,16951.0,16676.0,20188.0,20403.0,19160.0,20324.0,19545.0,17976.0,19686.0,
0.711,16830.0,17010.0,14373.0,18180.0,17989.0,16929.0,16676.0,20166.0,20411.0,19137.0,20285.0,19538.0,17953.0,19686.0,
0.761,16868.0,17003.0,14381.0,18195.0,17951.0,16967.0,16683.0,20181.0,20419.0,19176.0,20316.0,19508.0,17961.0,19664.0,
0.811,16846.0,17010.0,14404.0,18195.0,17966.0,16891.0,16683.0,20211.0,20396.0,19137.0,20293.0,19538.0,17931.0,19678.0,
0.862,16853.0,17002.0,14343.0,18172.0,17966.0,16898.0,16653.0,20203.0,20396.0,19137.0,20355.0,19553.0,17953.0,19671.0,
0.912,16845.0,17002.0,14427.0,18180.0,17943.0,16906.0,16676.0,20255.0,20404.0,19160.0,20308.0,19537.0,17968.0,19663.0,
0.962,16853.0,17040.0,14381.0,18180.0,17996.0,16906.0,16676.0,20233.0,20427.0,19122.0,20339.0,19530.0,17998.0,19693.0,
1.012,16891.0,16987.0,14388.0,18218.0,17966.0,16921.0,16668.0,20225.0,20411.0,19168.0,20301.0,19545.0,17968.0,19664.0,
1.062,16868.0,16995.0,14373.0,18195.0,17981.0,16898.0,16676.0,20225.0,20381.0,19122.0,20324.0,19523.0,17976.0,19678.0,
1.112,16876.0,17047.0,14366.0,18211.0,17973.0,16944.0,16691.0,20196.0,20404.0,19206.0,20332.0,19537.0,17953.0,19671.0,
1.162,16861.0,17002.0,14350.0,18173.0,17981.0,16898.0,16683.0,20248.0,20396.0,19130.0,20339.0,19537.0,17968.0,19686.0,
1.213,16868.0,17017.0,14388.0,18195.0,17973.0,16891.0,16676.0,20263.0,20411.0,19137.0,20331.0,19537.0,17983.0,19693.0,
1.263,16876.0,17017.0,14411.0,18173.0,17974.0,16913.0,16691.0,20188.0,20388.0,19183.0,20293.0,19538.0,17939.0,19686.0,
1.313,16861.0,17025.0,14366.0,18195.0,17973.0,16936.0,16691.0,20188.0,20396.0,19183.0,20324.0,19545.0,17961.0,19679.0,
1.363,16853.0,17017.0,14373.0,18180.0,17966.0,16898.0,16676.0,20248.0,20419.0,19160.0,20332.0,19560.0,17961.0,19686.0,
1.413,16846.0,17010.0,14366.0,18157.0,18012.0,16898.0,16683.0,20180.0,20427.0,19137.0,20316.0,19530.0,17976.0,19686.0,
1.463,16853.0,17010.0,14388.0,18195.0,17973.0,16921.0,16676.0,20226.0,20450.0,19152.0,20332.0,19545.0,17953.0,19686.0,
1.513,16838.0,17025.0,14381.0,18157.0,17966.0,16898.0,16698.0,20240.0,20442.0,19129.0,20308.0,19530.0,17953.0,19686.0,
1.564,16861.0,16995.0,14366.0,18172.0,17966.0,16906.0,16660.0,20188.0,20412.0,19160.0,20332.0,19530.0,17961.0,19686.0,
1.614,16853.0,17025.0,14373.0,18157.0,17966.0,16974.0,16698.0,20188.0,20396.0,19191.0,20339.0,19538.0,17939.0,19671.0,
1.664,16861.0,17010.0,14396.0,18180.0,17974.0,16906.0,16683.0,20188.0,20427.0,19152.0,20308.0,19508.0,17976.0,19678.0,
1.715,16868.0,16995.0,14411.0,18203.0,17981.0,16898.0,16691.0,20196.0,20434.0,19183.0,20293.0,19545.0,17953.0,19678.0,
1.765,16846.0,17017.0,14388.0,18195.0,17966.0,16929.0,16676.0,20255.0,20403.0,19176.0,20308.0,19515.0,17953.0,19686.0,
1.815,16853.0,17002.0,14411.0,18218.0,17989.0,16906.0,16691.0,20188.0,20388.0,19160.0,20347.0,19545.0,17946.0,19686.0,
1.865,16830.0,16980.0,14388.0,18226.0,17973.0,16913.0,16683.0,20203.0,20419.0,19152.0,20301.0,19537.0,17953.0,19694.0,
1.915,16883.0,17032.0,14434.0,18180.0,17951.0,16906.0,16683.0,20263.0,20465.0,19137.0,20293.0,19560.0,17961.0,19693.0,
1.965,16861.0,16980.0,14442.0,18211.0,17974.0,16921.0,16676.0,20211.0,20381.0,19137.0,20370.0,19538.0,17953.0,19693.0,
2.016,16846.0,16995.0,14381.0,18188.0,17974.0,16921.0,16691.0,20195.0,20419.0,19137.0,20339.0,19545.0,17983.0,19678.0,
2.066,16861.0,17002.0,14449.0,18234.0,17958.0,16959.0,16691.0,20226.0,20388.0,19183.0,20347.0,19545.0,17953.0,19678.0,
2.116,16838.0,17025.0,14404.0,18226.0,17974.0,16906.0,16691.0,20226.0,20427.0,19137.0,20332.0,19538.0,17939.0,19693.0,
2.167,16846.0,16995.0,14366.0,18218.0,17973.0,16906.0,16683.0,20195.0,20434.0,19168.0,20347.0,19538.0,17953.0,19686.0,
2.217,16868.0,16995.0,14366.0,18180.0,17951.0,16921.0,16668.0,20263.0,20419.0,19137.0,20316.0,19515.0,17968.0,19701.0,
2.267,16861.0,17002.0,14419.0,18188.0,17966.0,16898.0,16691.0,20263.0,20442.0,19129.0,20293.0,19567.0,17991.0,19679.0,
2.317,16838.0,17025.0,14396.0,18180.0,17951.0,16936.0,16683.0,20195.0,20396.0,19145.0,20332.0,19537.0,17953.0,19686.0,
2.367,16846.0,17025.0,14381.0,18165.0,17989.0,16921.0,16668.0,20211.0,20396.0,19175.0,20316.0,19545.0,17961.0,19671.0,
2.417,16861.0,17010.0,14396.0,18226.0,17966.0,16906.0,16676.0,20203.0,20426.0,19176.0,20331.0,19620.0,17946.0,19678.0,
2.468,16883.0,16995.0,14396.0,18172.0,17974.0,16906.0,16683.0,20195.0,20419.0,19145.0,20308.0,19538.0,17939.0,19701.0,
2.518,16898.0,16995.0,14373.0,18211.0,18012.0,16913.0,16676.0,20240.0,20411.0,19137.0,20332.0,19575.0,17961.0,19686.0,
2.569,16868.0,17002.0,14388.0,18218.0,18004.0,16921.0,16691.0,20195.0,20404.0,19199.0,20332.0,19538.0,17961.0,19671.0,
2.619,16861.0,16995.0,14388.0,18172.0,17974.0,16929.0,16676.0,20173.0,20411.0,19153.0,20316.0,19560.0,17983.0,19679.0,
2.669,16853.0,17017.0,14373.0,18249.0,17943.0,16929.0,16668.0,20203.0,20449.0,19176.0,20309.0,19508.0,17976.0,19671.0,
2.719,16846.0,17025.0,14366.0,18203.0,17966.0,16898.0,16676.0,20255.0,20388.0,19214.0,20347.0,19538.0,18013.0,19671.0,
2.769,16876.0,17040.0,14396.0,18241.0,17974.0,16982.0,16668.0,20210.0,20404.0,19137.0,20308.0,19545.0,17953.0,19686.0,
2.820,16838.0,16995.0,14388.0,18195.0,17951.0,16906.0,16668.0,20195.0,20403.0,19183.0,20339.0,19552.0,17946.0,19693.0,
2.870,16861.0,17054.0,14358.0,18157.0,17974.0,16906.0,16660.0,20203.0,20381.0,19198.0,20324.0,19530.0,17968.0,19671.0,
2.920,16846.0,17017.0,14373.0,18203.0,17974.0,16921.0,16691.0,20210.0,20426.0,19153.0,20301.0,19545.0,17946.0,19686.0,
