time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16793.0,17063.0,14427.0,18029.0,18064.0,16959.0,16660.0,20219.0,20352.0,19168.0,20302.0,19620.0,17976.0,19731.0,
0.059,16808.0,17055.0,14434.0,18082.0,17996.0,16967.0,16660.0,20227.0,20352.0,19168.0,20271.0,19635.0,17968.0,19739.0,
0.109,16778.0,17055.0,14427.0,18067.0,18004.0,16967.0,16652.0,20182.0,20321.0,19114.0,20286.0,19635.0,17983.0,19716.0,
0.159,16801.0,17055.0,14419.0,18074.0,18027.0,17013.0,16645.0,20160.0,20321.0,19130.0,20263.0,19612.0,17991.0,19746.0,
0.209,16771.0,17055.0,14419.0,18029.0,18011.0,16997.0,16660.0,20167.0,20352.0,19160.0,20317.0,19612.0,17983.0,19731.0,
0.259,16786.0,17048.0,14457.0,17998.0,18019.0,16967.0,16652.0,20197.0,20329.0,19122.0,20271.0,19620.0,17983.0,19694.0,
0.309,16846.0,17003.0,14411.0,18029.0,18027.0,16967.0,16668.0,20220.0,20336.0,19107.0,20317.0,19635.0,17976.0,19731.0,
0.360,16816.0,17018.0,14449.0,18029.0,18042.0,16967.0,16652.0,20249.0,20328.0,19160.0,20340.0,19620.0,17991.0,19709.0,
0.410,16793.0,17055.0,14427.0,18051.0,17989.0,16952.0,16660.0,20212.0,20328.0,19145.0,20294.0,19627.0,17991.0,19716.0,
0.460,16839.0,17041.0,14411.0,18021.0,18027.0,16959.0,16660.0,20175.0,20321.0,19122.0,20286.0,19620.0,17998.0,19716.0,
0.511,16801.0,17041.0,14434.0,18051.0,18011.0,16974.0,16660.0,20204.0,20329.0,19153.0,20286.0,19612.0,17991.0,19709.0,
0.561,16778.0,17040.0,14419.0,18036.0,18011.0,16990.0,16652.0,20212.0,20344.0,19130.0,20302.0,19627.0,17983.0,19731.0,
0.611,16808.0,17025.0,14427.0,18120.0,18004.0,16974.0,16652.0,20197.0,20344.0,19153.0,20271.0,19627.0,17976.0,19731.0,
0.661,16831.0,17025.0,14472.0,18051.0,18049.0,16959.0,16645.0,20212.0,20328.0,19099.0,20279.0,19627.0,18020.0,19724.0,
0.712,16831.0,17026.0,14404.0,18036.0,18011.0,16990.0,16660.0,20190.0,20352.0,19145.0,20302.0,19612.0,17968.0,19724.0,
0.762,16808.0,17055.0,14404.0,18044.0,18004.0,17043.0,16637.0,20175.0,20321.0,19153.0,20309.0,19627.0,17976.0,19731.0,
0.813,16816.0,17040.0,14465.0,18074.0,18004.0,16974.0,16652.0,20219.0,20321.0,19145.0,20302.0,19642.0,18005.0,19716.0,
0.863,16793.0,16996.0,14427.0,18021.0,18026.0,16990.0,16660.0,20197.0,20329.0,19176.0,20271.0,19620.0,17968.0,19701.0,
0.914,16786.0,17048.0,14434.0,18044.0,17996.0,16982.0,16660.0,20220.0,20328.0,19130.0,20279.0,19635.0,17976.0,19731.0,
0.964,16801.0,17033.0,14442.0,18044.0,18026.0,16974.0,16668.0,20212.0,20313.0,19153.0,20271.0,19635.0,17968.0,19731.0,
1.015,16786.0,17011.0,14427.0,18059.0,18011.0,16974.0,16652.0,20197.0,20321.0,19114.0,20255.0,19635.0,17998.0,19709.0,
1.065,16786.0,16996.0,14442.0,18036.0,18011.0,16967.0,16645.0,20182.0,20352.0,19160.0,20271.0,19620.0,17998.0,19716.0,
1.115,16778.0,17033.0,14427.0,18021.0,18011.0,16989.0,16668.0,20204.0,20367.0,19137.0,20309.0,19605.0,17976.0,19709.0,
1.165,16801.0,17048.0,14449.0,18029.0,18049.0,16959.0,16675.0,20167.0,20313.0,19137.0,20263.0,19612.0,17998.0,19709.0,
1.215,16786.0,17041.0,14449.0,18097.0,18034.0,16989.0,16652.0,20167.0,20321.0,19137.0,20271.0,19642.0,17983.0,19694.0,
1.266,16801.0,17048.0,14457.0,18021.0,17996.0,16952.0,16660.0,20182.0,20328.0,19168.0,20286.0,19605.0,17998.0,19724.0,
1.316,16778.0,17018.0,14404.0,18059.0,18042.0,16997.0,16668.0,20212.0,20344.0,19099.0,20271.0,19612.0,17976.0,19709.0,
1.366,16793.0,17018.0,14411.0,18036.0,18004.0,16982.0,16660.0,20175.0,20352.0,19114.0,20271.0,19627.0,17976.0,19716.0,
1.416,16778.0,17033.0,14419.0,18021.0,18019.0,17020.0,16652.0,20197.0,20313.0,19122.0,20302.0,19620.0,17983.0,19716.0,
1.466,16793.0,17063.0,14427.0,18090.0,18027.0,16982.0,16652.0,20197.0,20359.0,19153.0,20317.0,19635.0,17991.0,19709.0,
1.516,16816.0,17056.0,14411.0,18120.0,18027.0,16959.0,16660.0,20205.0,20336.0,19145.0,20271.0,19620.0,17961.0,19716.0,
1.566,16778.0,17055.0,14434.0,18067.0,17996.0,16982.0,16645.0,20204.0,20336.0,19114.0,20302.0,19612.0,18005.0,19739.0,
1.617,16801.0,17033.0,14427.0,18074.0,17989.0,16952.0,16668.0,20212.0,20352.0,19130.0,20278.0,19642.0,17991.0,19716.0,
1.667,16793.0,17048.0,14427.0,18021.0,18004.0,16982.0,16637.0,20175.0,20359.0,19137.0,20325.0,19590.0,17976.0,19731.0,
1.717,16816.0,17018.0,14419.0,18036.0,18057.0,17012.0,16660.0,20197.0,20328.0,19122.0,20302.0,19642.0,17976.0,19709.0,
1.767,16786.0,17018.0,14419.0,18036.0,18034.0,16967.0,16668.0,20219.0,20329.0,19099.0,20309.0,19642.0,17983.0,19709.0,
1.818,16839.0,17085.0,14419.0,18036.0,18011.0,17051.0,16645.0,20182.0,20336.0,19160.0,20340.0,19620.0,17991.0,19731.0,
1.869,16808.0,17041.0,14510.0,18028.0,18042.0,16990.0,16668.0,20197.0,20344.0,19122.0,20279.0,19627.0,17983.0,19723.0,
1.919,16786.0,17085.0,14404.0,18051.0,18004.0,16967.0,16660.0,20212.0,20329.0,19107.0,20309.0,19635.0,17953.0,19716.0,
1.969,16823.0,17033.0,14419.0,18113.0,18034.0,17012.0,16675.0,20182.0,20375.0,19130.0,20271.0,19635.0,17976.0,19724.0,
2.020,16831.0,17011.0,14404.0,18052.0,18042.0,17043.0,16652.0,20137.0,20321.0,19168.0,20294.0,19627.0,17961.0,19709.0,
2.070,16786.0,17040.0,14419.0,18036.0,18027.0,16967.0,16660.0,20167.0,20336.0,19168.0,20363.0,19650.0,18035.0,19709.0,
2.120,16831.0,17055.0,14411.0,18029.0,17989.0,17012.0,16652.0,20189.0,20329.0,19107.0,20279.0,19635.0,17991.0,19709.0,
2.170,16801.0,17025.0,14434.0,18105.0,18034.0,16967.0,16660.0,20175.0,20328.0,19183.0,20332.0,19642.0,17983.0,19709.0,
2.220,16763.0,17048.0,14411.0,18036.0,18027.0,16952.0,16645.0,20205.0,20329.0,19114.0,20317.0,19605.0,17991.0,19716.0,
2.270,16786.0,17003.0,14419.0,18021.0,18027.0,16967.0,16630.0,20160.0,20328.0,19145.0,20317.0,19612.0,17983.0,19716.0,
2.320,16801.0,17018.0,14457.0,18059.0,18004.0,17020.0,16660.0,20167.0,20359.0,19122.0,20263.0,19620.0,17961.0,19724.0,
2.370,16786.0,17033.0,14434.0,18059.0,18019.0,17028.0,16652.0,20152.0,20344.0,19114.0,20302.0,19620.0,17976.0,19716.0,
2.421,16793.0,17033.0,14442.0,18074.0,18034.0,17020.0,16660.0,20182.0,20336.0,19160.0,20294.0,19627.0,17983.0,19724.0,
2.471,16823.0,17063.0,14419.0,18036.0,18004.0,17005.0,16637.0,20189.0,20344.0,19114.0,20332.0,19627.0,18013.0,19701.0,
2.521,16786.0,17011.0,14427.0,18044.0,18057.0,16982.0,16660.0,20190.0,20351.0,19122.0,20309.0,19620.0,17998.0,19724.0,
2.571,16786.0,17055.0,14442.0,18036.0,18019.0,16944.0,16668.0,20182.0,20329.0,19130.0,20294.0,19612.0,17983.0,19716.0,
2.621,16778.0,17055.0,14442.0,18036.0,18004.0,16967.0,16660.0,20212.0,20344.0,19176.0,20294.0,19620.0,17983.0,19716.0,
2.671,16831.0,17003.0,14396.0,18051.0,18019.0,17005.0,16652.0,20174.0,20351.0,19122.0,20302.0,19635.0,17998.0,19724.0,
2.722,16808.0,17055.0,14465.0,18013.0,17996.0,17012.0,16652.0,20167.0,20344.0,19145.0,20255.0,19627.0,17976.0,19724.0,
2.772,16778.0,17011.0,14427.0,18036.0,18019.0,16974.0,16645.0,20242.0,20336.0,19122.0,20271.0,19620.0,17968.0,19724.0,
2.822,16808.0,17033.0,14465.0,18036.0,18004.0,17005.0,16652.0,20249.0,20329.0,19107.0,20248.0,19620.0,18005.0,19701.0,
2.872,16793.0,17003.0,14427.0,18029.0,18019.0,16967.0,16668.0,20167.0,20359.0,19168.0,20309.0,19612.0,17991.0,19731.0,
2.922,16801.0,17078.0,14411.0,18090.0,18011.0,17035.0,16660.0,20287.0,20336.0,19122.0,20286.0,19650.0,18005.0,19716.0,
2.972,16801.0,17033.0,14457.0,18044.0,18011.0,16997.0,16668.0,20204.0,20336.0,19168.0,20271.0,19612.0,17983.0,19709.0,
3.023,16778.0,17026.0,14419.0,18044.0,18027.0,16967.0,16660.0,20204.0,20328.0,19130.0,20279.0,19620.0,18020.0,19716.0,
3.073,16808.0,17048.0,14411.0,18044.0,18026.0,16982.0,16668.0,20167.0,20352.0,19114.0,20263.0,19612.0,17968.0,19731.0,
3.123,16778.0,17040.0,14404.0,18059.0,18011.0,16967.0,16652.0,20219.0,20336.0,19122.0,20263.0,19620.0,18028.0,19716.0,
3.174,16808.0,17048.0,14419.0,18029.0,18019.0,16967.0,16660.0,20197.0,20375.0,19114.0,20309.0,19620.0,17976.0,19723.0,
3.224,16808.0,17041.0,14427.0,18044.0,18049.0,16982.0,16652.0,20204.0,20344.0,19168.0,20279.0,19650.0,17976.0,19716.0,
3.274,16823.0,17055.0,14434.0,18059.0,17989.0,17005.0,16653.0,20160.0,20344.0,19122.0,20302.0,19627.0,17983.0,19709.0,
3.325,16816.0,17055.0,14442.0,18021.0,18019.0,16990.0,16668.0,20189.0,20390.0,19107.0,20325.0,19620.0,17991.0,19716.0,
3.375,16816.0,17048.0,14404.0,18067.0,18027.0,16967.0,16668.0,20182.0,20321.0,19153.0,20302.0,19635.0,17976.0,19716.0,
3.425,16808.0,17026.0,14427.0,18021.0,18011.0,16959.0,16652.0,20182.0,20321.0,19160.0,20294.0,19620.0,17983.0,19701.0,
3.475,16778.0,17048.0,14434.0,18051.0,17996.0,16967.0,16645.0,20204.0,20329.0,19168.0,20302.0,19612.0,17991.0,19716.0,
3.525,16823.0,17033.0,14427.0,18082.0,18011.0,17012.0,16660.0,20175.0,20329.0,19107.0,20256.0,19627.0,17976.0,19716.0,
3.576,16793.0,17048.0,14457.0,18051.0,18019.0,16974.0,16660.0,20152.0,20329.0,19176.0,20240.0,19620.0,17998.0,19716.0,
3.626,16793.0,17048.0,14427.0,18051.0,18004.0,16959.0,16645.0,20204.0,20374.0,19099.0,20309.0,19665.0,17976.0,19731.0,
3.677,16808.0,17040.0,14411.0,18036.0,17989.0,17020.0,16668.0,20175.0,20344.0,19183.0,20340.0,19627.0,17991.0,19724.0,
3.727,16786.0,16996.0,14427.0,18028.0,18011.0,17012.0,16660.0,20219.0,20321.0,19183.0,20302.0,19627.0,17998.0,19709.0,
3.777,16793.0,17026.0,14404.0,18051.0,17996.0,16959.0,16668.0,20219.0,20336.0,19130.0,20278.0,19627.0,17983.0,19716.0,
3.828,16786.0,17048.0,14457.0,18029.0,18026.0,16959.0,16652.0,20167.0,20328.0,19153.0,20332.0,19635.0,17991.0,19724.0,
3.878,16786.0,17063.0,14442.0,18044.0,17996.0,17043.0,16660.0,20190.0,20367.0,19145.0,20256.0,19590.0,17991.0,19716.0,
3.928,16801.0,17018.0,14404.0,18036.0,17996.0,16944.0,16660.0,20197.0,20321.0,19122.0,20263.0,19635.0,17983.0,19716.0,
3.978,16801.0,17048.0,14411.0,18028.0,18026.0,16936.0,16652.0,20242.0,20367.0,19130.0,20302.0,19620.0,17983.0,19709.0,
