frame_num,time_s,
0,0.027,
1,0.077,
2,0.127,
3,0.177,
4,0.227,
5,0.277,
6,0.327,
7,0.378,
8,0.429,
9,0.479,
10,0.530,
11,0.580,
12,0.630,
13,0.680,
14,0.730,
15,0.781,
16,0.831,
17,0.881,
18,0.931,
19,0.981,
20,1.031,
21,1.082,
22,1.132,
23,1.182,
24,1.232,
25,1.282,
26,1.332,
27,1.382,
28,1.432,
29,1.483,
30,1.533,
31,1.583,
32,1.633,
33,1.684,
34,1.734,
35,1.784,
36,1.834,
37,1.884,
38,1.934,
39,1.984,
40,2.035,
41,2.085,
42,2.135,
43,2.185,
44,2.236,
45,2.286,
46,2.337,
47,2.387,
48,2.437,
49,2.487,
50,2.538,
51,2.588,
52,2.638,
53,2.689,
54,2.739,
55,2.789,
56,2.839,
57,2.890,
58,2.940,
59,2.991,
60,3.041,
61,3.091,
62,3.141,
63,3.191,
64,3.241,
65,3.291,
66,3.341,
67,3.392,
68,3.442,
69,3.492,
70,3.542,
71,3.592,
72,3.642,
73,3.693,
74,3.743,
75,3.794,
76,3.844,
77,3.895,
78,3.945,
79,3.995,
80,4.045,
81,4.095,
82,4.145,
83,4.195,
84,4.246,
85,4.296,
86,4.346,
87,4.396,
88,4.447,
89,4.497,
90,4.548,
91,4.598,
92,4.648,
93,4.698,
94,4.748,
95,4.799,
96,4.850,
97,4.900,
98,4.950,
99,5.000,
100,5.050,
101,5.100,
102,5.150,
103,5.200,
104,5.251,
105,5.302,
106,5.352,
107,5.402,
108,5.452,
109,5.503,
110,5.553,
111,5.603,
112,5.653,
113,5.703,
114,5.754,
115,5.804,
116,5.854,
117,5.904,
118,5.954,
119,6.004,
120,6.054,
121,6.105,
122,6.155,
123,6.205,
124,6.255,
125,6.305,
126,6.355,
127,6.405,
128,6.456,
129,6.507,
130,6.557,
131,6.607,
132,6.657,
133,6.707,
134,6.757,
135,6.807,
136,6.858,
137,6.908,
138,6.958,
139,7.009,
140,7.059,
141,7.110,
142,7.160,
143,7.210,
144,7.260,
145,7.310,
146,7.362,
147,7.412,
148,7.462,
149,7.513,
150,7.563,
151,7.613,
152,7.664,
153,7.714,
154,7.764,
155,7.815,
156,7.865,
157,7.915,
158,7.966,
159,8.016,
160,8.066,
161,8.116,
162,8.166,
163,8.216,
164,8.266,
165,8.316,
166,8.367,
167,8.417,
168,8.467,
169,8.517,
170,8.567,
171,8.617,
172,8.667,
173,8.717,
174,8.768,
175,8.818,
176,8.868,
177,8.918,
178,8.968,
179,9.018,
180,9.069,
181,9.119,
182,9.170,
183,9.220,
184,9.270,
185,9.320,
186,9.371,
187,9.422,
188,9.472,
189,9.522,
190,9.573,
191,9.623,
192,9.674,
193,9.724,
194,9.775,
195,9.825,
196,9.875,
197,9.925,
198,9.975,
199,10.025,
200,10.076,
201,10.126,
