frame_num,time_s,
0,0.018,
1,0.068,
2,0.118,
3,0.168,
4,0.219,
5,0.269,
6,0.319,
7,0.369,
8,0.420,
9,0.470,
10,0.521,
11,0.571,
12,0.621,
13,0.671,
14,0.736,
15,0.802,
16,0.869,
17,0.935,
18,1.002,
19,1.068,
20,1.135,
21,1.201,
22,1.268,
23,1.335,
24,1.401,
25,1.468,
26,1.535,
27,1.601,
28,1.668,
29,1.734,
30,1.801,
31,1.868,
32,1.934,
33,2.001,
34,2.068,
35,2.134,
36,2.201,
37,2.267,
38,2.334,
39,2.400,
40,2.467,
41,2.534,
42,2.600,
43,2.667,
44,2.733,
45,2.800,
46,2.867,
47,2.933,
48,3.000,
49,3.066,
50,3.133,
51,3.199,
52,3.266,
53,3.333,
54,3.399,
55,3.466,
56,3.533,
57,3.599,
58,3.666,
59,3.732,
60,3.799,
61,3.866,
62,3.933,
63,3.999,
64,4.065,
65,4.132,
66,4.198,
67,4.265,
68,4.332,
69,4.398,
70,4.465,
71,4.531,
72,4.599,
73,4.665,
74,4.731,
75,4.798,
76,4.864,
77,4.931,
78,4.998,
79,5.064,
80,5.131,
81,5.197,
82,5.264,
83,5.331,
84,5.397,
85,5.464,
86,5.530,
87,5.597,
88,5.663,
89,5.730,
90,5.797,
91,5.863,
92,5.930,
93,5.997,
94,6.063,
95,6.130,
96,6.196,
97,6.263,
98,6.330,
99,6.396,
100,6.463,
101,6.530,
102,6.596,
103,6.663,
104,6.729,
105,6.796,
106,6.862,
107,6.929,
108,6.996,
109,7.062,
110,7.129,
111,7.195,
112,7.262,
113,7.328,
114,7.395,
115,7.462,
116,7.528,
117,7.595,
118,7.661,
119,7.728,
120,7.795,
121,7.861,
122,7.928,
123,7.995,
124,8.061,
125,8.128,
126,8.194,
127,8.261,
128,8.327,
129,8.394,
130,8.461,
131,8.527,
132,8.594,
133,8.660,
134,8.727,
135,8.794,
136,8.860,
137,8.927,
138,8.993,
139,9.060,
140,9.127,
141,9.193,
142,9.260,
143,9.326,
144,9.393,
145,9.460,
146,9.526,
147,9.593,
148,9.659,
149,9.726,
150,9.792,
151,9.859,
152,9.926,
153,9.992,
154,10.059,
155,10.125,
156,10.192,
157,10.259,
158,10.325,
159,10.392,
160,10.459,
161,10.525,
162,10.592,
163,10.658,
164,10.724,
165,10.791,
166,10.858,
167,10.924,
168,10.991,
169,11.058,
170,11.125,
171,11.191,
172,11.258,
173,11.324,
174,11.392,
175,11.457,
176,11.524,
177,11.590,
178,11.657,
179,11.724,
180,11.790,
181,11.857,
182,11.924,
183,11.990,
184,12.057,
185,12.123,
186,12.190,
187,12.256,
188,12.323,
189,12.390,
190,12.456,
191,12.523,
192,12.589,
193,12.656,
194,12.723,
195,12.789,
196,12.856,
197,12.923,
198,12.989,
199,13.056,
200,13.122,
201,13.189,
202,13.255,
203,13.322,
204,13.389,
205,13.455,
206,13.522,
207,13.588,
208,13.655,
209,13.721,
210,13.788,
211,13.855,
212,13.922,
213,13.988,
214,14.055,
215,14.121,
216,14.188,
217,14.254,
218,14.321,
219,14.388,
220,14.454,
221,14.521,
222,14.588,
223,14.654,
224,14.721,
225,14.788,
226,14.854,
227,14.920,
228,14.988,
229,15.053,
230,15.121,
231,15.187,
232,15.254,
233,15.320,
234,15.387,
235,15.453,
236,15.520,
237,15.586,
238,15.653,
239,15.720,
240,15.786,
241,15.853,
242,15.919,
243,15.986,
244,16.052,
245,16.119,
246,16.186,
247,16.252,
248,16.319,
249,16.385,
250,16.452,
251,16.519,
252,16.585,
253,16.652,
254,16.718,
255,16.785,
256,16.852,
257,16.918,
258,16.985,
259,17.051,
260,17.118,
261,17.185,
262,17.251,
263,17.318,
264,17.384,
265,17.451,
266,17.518,
267,17.584,
268,17.651,
269,17.717,
270,17.784,
271,17.851,
272,17.917,
273,17.984,
274,18.050,
275,18.117,
276,18.183,
277,18.250,
278,18.317,
279,18.383,
280,18.450,
281,18.517,
282,18.583,
283,18.650,
284,18.716,
285,18.783,
286,18.849,
287,18.916,
288,18.983,
289,19.049,
290,19.116,
291,19.183,
292,19.249,
293,19.316,
294,19.382,
295,19.449,
296,19.515,
297,19.582,
298,19.649,
299,19.715,
300,19.782,
301,19.849,
302,19.915,
303,19.982,
304,20.048,
305,20.115,
306,20.181,
307,20.248,
308,20.315,
309,20.381,
310,20.448,
311,20.515,
312,20.581,
313,20.648,
314,20.715,
315,20.781,
316,20.847,
317,20.914,
318,20.981,
319,21.047,
320,21.114,
321,21.181,
322,21.247,
323,21.313,
324,21.380,
325,21.447,
326,21.514,
327,21.580,
328,21.647,
329,21.713,
330,21.780,
331,21.847,
332,21.913,
333,21.980,
334,22.046,
335,22.113,
336,22.179,
337,22.246,
338,22.313,
339,22.379,
340,22.446,
341,22.513,
342,22.579,
343,22.646,
344,22.712,
345,22.779,
346,22.845,
347,22.912,
348,22.979,
349,23.045,
350,23.112,
351,23.178,
352,23.245,
353,23.312,
354,23.378,
355,23.445,
356,23.512,
357,23.578,
358,23.645,
359,23.711,
360,23.778,
361,23.844,
362,23.911,
363,23.978,
364,24.044,
365,24.111,
366,24.177,
367,24.244,
368,24.311,
369,24.377,
370,24.444,
371,24.510,
372,24.577,
373,24.643,
374,24.710,
375,24.777,
376,24.843,
377,24.910,
378,24.977,
379,25.043,
