frame_num,time_s,
0,0.026,
1,0.076,
2,0.126,
3,0.176,
4,0.227,
5,0.277,
6,0.327,
7,0.377,
8,0.427,
9,0.478,
10,0.528,
11,0.578,
12,0.629,
13,0.679,
14,0.729,
15,0.779,
16,0.829,
17,0.879,
18,0.930,
19,0.980,
20,1.030,
21,1.080,
22,1.130,
23,1.180,
24,1.230,
25,1.280,
26,1.331,
27,1.381,
28,1.431,
29,1.481,
30,1.532,
31,1.582,
32,1.632,
33,1.682,
34,1.732,
35,1.782,
36,1.834,
37,1.884,
38,1.934,
39,1.984,
40,2.034,
41,2.085,
42,2.135,
43,2.185,
44,2.235,
45,2.286,
46,2.336,
47,2.386,
48,2.436,
49,2.486,
50,2.537,
51,2.587,
52,2.637,
53,2.687,
54,2.737,
55,2.788,
56,2.838,
57,2.888,
58,2.938,
59,2.989,
60,3.039,
61,3.089,
62,3.139,
63,3.190,
64,3.240,
65,3.291,
66,3.342,
67,3.392,
68,3.442,
69,3.492,
70,3.542,
71,3.593,
72,3.643,
73,3.693,
74,3.743,
75,3.793,
76,3.843,
77,3.894,
78,3.944,
79,3.994,
80,4.044,
81,4.094,
82,4.144,
83,4.194,
84,4.245,
85,4.295,
86,4.345,
87,4.395,
88,4.445,
89,4.496,
90,4.546,
91,4.596,
92,4.647,
93,4.697,
94,4.747,
95,4.797,
96,4.847,
97,4.897,
98,4.948,
99,4.998,
100,5.048,
101,5.099,
102,5.149,
103,5.199,
104,5.249,
105,5.299,
106,5.350,
107,5.401,
108,5.451,
109,5.501,
110,5.552,
111,5.602,
112,5.652,
113,5.703,
114,5.753,
115,5.803,
116,5.853,
117,5.903,
118,5.953,
119,6.003,
120,6.053,
121,6.104,
122,6.154,
123,6.204,
124,6.255,
125,6.305,
126,6.355,
127,6.405,
128,6.455,
129,6.505,
130,6.556,
131,6.606,
132,6.656,
133,6.707,
134,6.757,
135,6.807,
136,6.857,
137,6.907,
138,6.958,
139,7.008,
140,7.058,
141,7.108,
142,7.159,
143,7.209,
144,7.259,
145,7.310,
146,7.360,
147,7.411,
148,7.461,
149,7.511,
150,7.562,
151,7.612,
152,7.662,
153,7.712,
154,7.763,
155,7.813,
156,7.863,
157,7.914,
158,7.964,
159,8.014,
160,8.064,
161,8.115,
162,8.165,
163,8.215,
164,8.265,
165,8.315,
166,8.366,
167,8.416,
168,8.466,
169,8.516,
170,8.566,
171,8.617,
172,8.667,
173,8.717,
174,8.767,
175,8.817,
176,8.867,
177,8.917,
178,8.967,
179,9.018,
180,9.068,
181,9.118,
182,9.168,
183,9.218,
184,9.268,
185,9.319,
186,9.369,
187,9.419,
188,9.469,
189,9.519,
190,9.570,
191,9.620,
192,9.670,
193,9.720,
194,9.770,
195,9.820,
196,9.870,
197,9.920,
198,9.971,
199,10.021,
200,10.071,
201,10.121,
202,10.171,
203,10.221,
204,10.271,
205,10.322,
206,10.372,
207,10.422,
208,10.472,
209,10.522,
210,10.572,
211,10.623,
212,10.673,
213,10.723,
214,10.774,
215,10.824,
216,10.874,
217,10.924,
218,10.974,
219,11.024,
220,11.074,
221,11.125,
222,11.175,
223,11.225,
224,11.276,
225,11.327,
226,11.377,
227,11.427,
228,11.477,
229,11.527,
230,11.577,
231,11.628,
232,11.678,
233,11.728,
234,11.778,
235,11.828,
236,11.878,
237,11.928,
238,11.979,
239,12.029,
240,12.079,
241,12.129,
242,12.180,
243,12.230,
244,12.280,
245,12.330,
246,12.381,
247,12.431,
248,12.481,
249,12.532,
250,12.582,
251,12.632,
252,12.682,
253,12.732,
254,12.783,
255,12.833,
256,12.883,
257,12.934,
258,12.984,
259,13.034,
260,13.084,
261,13.134,
262,13.185,
263,13.235,
264,13.285,
265,13.336,
266,13.386,
267,13.436,
268,13.487,
269,13.538,
270,13.588,
271,13.638,
272,13.688,
273,13.738,
274,13.789,
