time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16808.0,17070.0,14419.0,18051.0,18004.0,16899.0,16675.0,20167.0,20344.0,19099.0,20256.0,19657.0,17991.0,19732.0,
0.059,16846.0,17041.0,14411.0,18028.0,18011.0,16899.0,16675.0,20212.0,20321.0,19084.0,20264.0,19627.0,17998.0,19724.0,
0.109,16816.0,17048.0,14442.0,18028.0,18012.0,16945.0,16675.0,20257.0,20329.0,19092.0,20256.0,19642.0,17998.0,19739.0,
0.159,16838.0,17078.0,14442.0,18067.0,17981.0,16945.0,16660.0,20257.0,20352.0,19076.0,20256.0,19635.0,18005.0,19724.0,
0.210,16876.0,17085.0,14434.0,18074.0,18042.0,16884.0,16652.0,20205.0,20337.0,19084.0,20264.0,19650.0,17998.0,19739.0,
0.260,16854.0,17041.0,14419.0,18105.0,18019.0,16891.0,16668.0,20175.0,20391.0,19061.0,20264.0,19620.0,17983.0,19717.0,
0.311,16801.0,17033.0,14457.0,18059.0,17996.0,16929.0,16652.0,20220.0,20367.0,19107.0,20302.0,19635.0,17991.0,19731.0,
0.361,16801.0,17026.0,14495.0,18036.0,18012.0,16945.0,16652.0,20227.0,20329.0,19084.0,20264.0,19665.0,18005.0,19724.0,
0.411,16778.0,17048.0,14419.0,18051.0,17996.0,16884.0,16660.0,20257.0,20337.0,19092.0,20310.0,19672.0,17998.0,19731.0,
0.461,16816.0,17026.0,14457.0,18051.0,18012.0,16922.0,16652.0,20190.0,20337.0,19099.0,20310.0,19627.0,17998.0,19724.0,
0.511,16831.0,17055.0,14472.0,18044.0,18019.0,16884.0,16675.0,20249.0,20329.0,19076.0,20241.0,19665.0,17998.0,19717.0,
0.561,16823.0,17026.0,14449.0,18028.0,18012.0,16899.0,16675.0,20235.0,20344.0,19069.0,20256.0,19642.0,17998.0,19724.0,
0.611,16823.0,17033.0,14427.0,18051.0,17996.0,16906.0,16660.0,20205.0,20321.0,19076.0,20279.0,19650.0,17976.0,19724.0,
0.661,16801.0,17026.0,14419.0,18028.0,17996.0,16945.0,16660.0,20175.0,20321.0,19069.0,20287.0,19642.0,17991.0,19724.0,
0.712,16823.0,17041.0,14480.0,18059.0,18004.0,16876.0,16660.0,20234.0,20329.0,19122.0,20271.0,19650.0,18005.0,19717.0,
0.762,16801.0,17063.0,14449.0,18044.0,18004.0,16907.0,16653.0,20227.0,20329.0,19115.0,20279.0,19657.0,17983.0,19724.0,
0.813,16831.0,17026.0,14442.0,18059.0,17996.0,16884.0,16683.0,20190.0,20329.0,19084.0,20279.0,19620.0,18020.0,19724.0,
0.863,16801.0,17063.0,14465.0,18128.0,17989.0,16884.0,16660.0,20212.0,20337.0,19061.0,20279.0,19650.0,18043.0,19717.0,
0.913,16816.0,17070.0,14419.0,18090.0,17981.0,16922.0,16690.0,20182.0,20352.0,19099.0,20256.0,19642.0,17991.0,19724.0,
0.963,16793.0,17040.0,14442.0,18082.0,18004.0,16922.0,16660.0,20234.0,20344.0,19092.0,20279.0,19642.0,17991.0,19731.0,
1.014,16831.0,17033.0,14419.0,18120.0,18004.0,16899.0,16660.0,20175.0,20344.0,19091.0,20294.0,19665.0,18020.0,19732.0,
1.064,16808.0,17108.0,14411.0,18044.0,17996.0,16907.0,16652.0,20205.0,20344.0,19107.0,20287.0,19665.0,18013.0,19724.0,
1.114,16801.0,17063.0,14404.0,18105.0,18027.0,16891.0,16660.0,20167.0,20352.0,19107.0,20302.0,19627.0,17991.0,19716.0,
1.164,16838.0,17078.0,14388.0,18074.0,18027.0,16914.0,16668.0,20175.0,20352.0,19138.0,20295.0,19680.0,17998.0,19731.0,
1.215,16854.0,17093.0,14419.0,18120.0,17974.0,16906.0,16660.0,20242.0,20329.0,19138.0,20271.0,19702.0,18043.0,19717.0,
1.265,16816.0,17048.0,14396.0,18097.0,18027.0,16869.0,16660.0,20182.0,20352.0,19084.0,20279.0,19650.0,18035.0,19702.0,
1.316,16838.0,17041.0,14427.0,18120.0,18027.0,16876.0,16660.0,20220.0,20360.0,19145.0,20264.0,19635.0,17998.0,19724.0,
1.366,16823.0,17048.0,14427.0,18059.0,18011.0,16891.0,16675.0,20182.0,20306.0,19115.0,20271.0,19672.0,17991.0,19731.0,
1.416,16838.0,17070.0,14442.0,18113.0,18012.0,16891.0,16668.0,20182.0,20337.0,19122.0,20333.0,19635.0,17991.0,19731.0,
