frame_num,time_s,
0,0.018,
1,0.068,
2,0.118,
3,0.168,
4,0.219,
5,0.269,
6,0.319,
7,0.369,
8,0.419,
9,0.470,
10,0.521,
11,0.571,
12,0.621,
13,0.671,
14,0.726,
15,0.792,
16,0.859,
17,0.925,
18,0.992,
19,1.059,
20,1.126,
21,1.192,
22,1.259,
23,1.325,
24,1.392,
25,1.459,
26,1.525,
27,1.591,
28,1.658,
29,1.725,
30,1.791,
31,1.858,
32,1.925,
33,1.991,
34,2.058,
35,2.124,
36,2.191,
37,2.257,
38,2.325,
39,2.391,
40,2.457,
41,2.524,
42,2.591,
43,2.657,
44,2.725,
45,2.790,
46,2.857,
47,2.924,
48,2.990,
49,3.057,
50,3.124,
51,3.190,
52,3.257,
53,3.323,
54,3.390,
55,3.457,
56,3.523,
57,3.590,
58,3.657,
59,3.723,
60,3.790,
61,3.856,
62,3.923,
63,3.989,
64,4.056,
65,4.123,
66,4.189,
67,4.255,
68,4.322,
69,4.389,
70,4.456,
71,4.522,
72,4.589,
73,4.655,
74,4.721,
75,4.788,
76,4.855,
77,4.921,
78,4.989,
79,5.054,
80,5.121,
81,5.188,
82,5.255,
83,5.321,
84,5.388,
85,5.454,
86,5.521,
87,5.588,
88,5.654,
89,5.721,
90,5.787,
91,5.854,
92,5.921,
93,5.987,
94,6.054,
95,6.120,
96,6.187,
97,6.254,
98,6.320,
99,6.386,
100,6.454,
101,6.520,
102,6.586,
103,6.653,
104,6.719,
105,6.787,
106,6.853,
107,6.919,
108,6.986,
109,7.053,
110,7.119,
111,7.186,
112,7.252,
113,7.320,
114,7.385,
115,7.452,
116,7.519,
117,7.586,
118,7.652,
119,7.719,
120,7.785,
121,7.852,
122,7.919,
123,7.985,
124,8.051,
125,8.118,
126,8.185,
127,8.251,
128,8.318,
129,8.384,
130,8.451,
131,8.518,
132,8.584,
133,8.651,
134,8.718,
135,8.784,
136,8.851,
137,8.918,
138,8.984,
139,9.050,
140,9.118,
141,9.184,
142,9.251,
143,9.317,
144,9.383,
145,9.450,
146,9.517,
147,9.584,
148,9.650,
149,9.717,
150,9.783,
151,9.850,
152,9.916,
153,9.983,
154,10.050,
155,10.116,
156,10.183,
157,10.249,
158,10.316,
159,10.382,
160,10.449,
161,10.515,
162,10.582,
163,10.649,
164,10.716,
165,10.782,
166,10.848,
167,10.915,
168,10.982,
169,11.048,
170,11.115,
171,11.181,
172,11.248,
173,11.314,
174,11.381,
175,11.448,
176,11.515,
177,11.581,
178,11.648,
179,11.714,
180,11.781,
181,11.848,
182,11.914,
183,11.981,
184,12.047,
185,12.114,
186,12.180,
187,12.247,
188,12.314,
189,12.380,
190,12.447,
191,12.514,
192,12.580,
193,12.647,
194,12.714,
195,12.780,
196,12.847,
197,12.913,
198,12.980,
199,13.046,
200,13.113,
201,13.179,
202,13.246,
203,13.313,
204,13.379,
205,13.446,
206,13.512,
207,13.580,
208,13.646,
209,13.712,
210,13.779,
211,13.845,
212,13.912,
213,13.978,
214,14.045,
215,14.112,
216,14.179,
217,14.245,
218,14.312,
219,14.378,
220,14.445,
221,14.511,
222,14.578,
223,14.644,
224,14.711,
225,14.778,
226,14.844,
227,14.911,
228,14.978,
229,15.044,
230,15.112,
