time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16771.0,17025.0,14518.0,18059.0,17854.0,16892.0,16691.0,20264.0,20298.0,19000.0,20233.0,19680.0,18005.0,19739.0,
0.058,16778.0,17018.0,14457.0,18036.0,17869.0,16869.0,16698.0,20160.0,20306.0,19015.0,20233.0,19657.0,18005.0,19731.0,
0.109,16816.0,17025.0,14450.0,18066.0,17884.0,16861.0,16675.0,20212.0,20383.0,19008.0,20249.0,19680.0,17983.0,19732.0,
0.159,16778.0,17048.0,14480.0,18066.0,17869.0,16930.0,16683.0,20175.0,20283.0,19000.0,20225.0,19650.0,18028.0,19739.0,
0.209,16793.0,17048.0,14495.0,18074.0,17899.0,16854.0,16691.0,20227.0,20298.0,18977.0,20202.0,19680.0,18005.0,19717.0,
0.259,16778.0,17033.0,14541.0,18028.0,17869.0,16869.0,16691.0,20212.0,20298.0,19008.0,20218.0,19680.0,18035.0,19731.0,
0.309,16763.0,17033.0,14457.0,18059.0,17914.0,16869.0,16691.0,20212.0,20337.0,19031.0,20249.0,19672.0,18050.0,19732.0,
0.360,16831.0,16996.0,14465.0,18089.0,17884.0,16892.0,16683.0,20167.0,20344.0,19046.0,20187.0,19687.0,17991.0,19732.0,
0.410,16771.0,17040.0,14495.0,18082.0,17884.0,16861.0,16713.0,20234.0,20352.0,19054.0,20241.0,19672.0,17998.0,19732.0,
0.460,16786.0,17040.0,14511.0,18043.0,17914.0,16892.0,16698.0,20197.0,20306.0,19023.0,20249.0,19680.0,17998.0,19746.0,
0.510,16823.0,17025.0,14442.0,18043.0,17869.0,16854.0,16706.0,20220.0,20275.0,19015.0,20256.0,19687.0,18020.0,19732.0,
0.560,16823.0,17062.0,14488.0,18066.0,17892.0,16930.0,16698.0,20175.0,20283.0,19023.0,20225.0,19665.0,18028.0,19717.0,
0.610,16793.0,17048.0,14457.0,18051.0,17861.0,16892.0,16706.0,20257.0,20290.0,19046.0,20218.0,19680.0,17998.0,19739.0,
0.661,16755.0,17010.0,14480.0,18043.0,17861.0,16877.0,16691.0,20279.0,20298.0,19061.0,20241.0,19665.0,18005.0,19717.0,
