time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.008,16740.0,17018.0,14533.0,18097.0,17937.0,16899.0,16691.0,20219.0,20268.0,18992.0,20241.0,19695.0,18020.0,19717.0,
0.058,16755.0,17018.0,14541.0,18036.0,17884.0,16930.0,16691.0,20219.0,20275.0,18954.0,20210.0,19687.0,17998.0,19716.0,
0.109,16770.0,17003.0,14526.0,18089.0,17884.0,16861.0,16668.0,20130.0,20283.0,19031.0,20264.0,19717.0,17983.0,19724.0,
0.159,16770.0,17025.0,14541.0,18074.0,17907.0,16869.0,16683.0,20197.0,20260.0,19023.0,20249.0,19680.0,17983.0,19709.0,
0.209,16748.0,17010.0,14549.0,18104.0,17907.0,16854.0,16675.0,20174.0,20252.0,18985.0,20187.0,19695.0,17968.0,19716.0,
0.260,16770.0,17033.0,14549.0,18104.0,17891.0,16922.0,16683.0,20212.0,20260.0,18985.0,20218.0,19650.0,17983.0,19702.0,
0.310,16763.0,17010.0,14511.0,18074.0,17892.0,16899.0,16668.0,20219.0,20252.0,19015.0,20202.0,19680.0,17991.0,19701.0,
0.361,16770.0,17010.0,14488.0,18074.0,17876.0,16869.0,16668.0,20182.0,20275.0,18977.0,20249.0,19680.0,17983.0,19701.0,
0.411,16755.0,17010.0,14533.0,18028.0,17861.0,16892.0,16675.0,20167.0,20291.0,19015.0,20218.0,19695.0,17998.0,19716.0,
0.462,16748.0,17018.0,14503.0,18104.0,17876.0,16877.0,16698.0,20182.0,20252.0,18969.0,20256.0,19687.0,18005.0,19694.0,
0.512,16763.0,17003.0,14518.0,18051.0,17869.0,16915.0,16683.0,20182.0,20283.0,19008.0,20233.0,19657.0,17998.0,19716.0,
0.562,16763.0,17033.0,14549.0,18036.0,17899.0,16831.0,16691.0,20167.0,20283.0,19015.0,20264.0,19680.0,18005.0,19716.0,
0.613,16748.0,17070.0,14488.0,18066.0,17899.0,16861.0,16691.0,20189.0,20283.0,18977.0,20218.0,19680.0,17998.0,19687.0,
0.663,16770.0,17055.0,14511.0,18066.0,17876.0,16930.0,16675.0,20212.0,20268.0,18962.0,20179.0,19687.0,18020.0,19709.0,
0.713,16778.0,17062.0,14526.0,18051.0,17876.0,16846.0,16683.0,20204.0,20275.0,18985.0,20218.0,19680.0,18005.0,19702.0,
0.764,16748.0,17018.0,14511.0,18097.0,17884.0,16899.0,16683.0,20197.0,20252.0,18962.0,20249.0,19657.0,17998.0,19717.0,
0.814,16778.0,16988.0,14526.0,18058.0,17907.0,16869.0,16683.0,20182.0,20252.0,19000.0,20225.0,19717.0,17991.0,19724.0,
0.865,16748.0,17055.0,14503.0,18059.0,17876.0,16869.0,16653.0,20204.0,20268.0,19031.0,20241.0,19680.0,18020.0,19709.0,
0.915,16763.0,17003.0,14541.0,18127.0,17922.0,16861.0,16698.0,20122.0,20283.0,19000.0,20241.0,19672.0,17983.0,19724.0,
0.965,16755.0,17010.0,14526.0,18074.0,17876.0,16900.0,16668.0,20144.0,20314.0,18977.0,20241.0,19695.0,18028.0,19717.0,
1.016,16793.0,17010.0,14549.0,18074.0,17899.0,16869.0,16660.0,20167.0,20267.0,18985.0,20256.0,19695.0,18005.0,19717.0,
1.066,16748.0,17033.0,14495.0,18051.0,17892.0,16861.0,16683.0,20167.0,20260.0,19008.0,20218.0,19687.0,18020.0,19709.0,
1.116,16778.0,16995.0,14511.0,18058.0,17907.0,16884.0,16698.0,20197.0,20245.0,18977.0,20249.0,19680.0,17983.0,19731.0,
1.166,16808.0,17010.0,14533.0,18051.0,17876.0,16869.0,16668.0,20159.0,20268.0,18962.0,20225.0,19680.0,18005.0,19724.0,
1.216,16763.0,17025.0,14549.0,18089.0,17884.0,16861.0,16706.0,20204.0,20283.0,18977.0,20202.0,19650.0,18013.0,19709.0,
1.266,16785.0,17062.0,14541.0,18043.0,17892.0,16922.0,16683.0,20144.0,20260.0,18985.0,20233.0,19695.0,17983.0,19702.0,
1.316,16763.0,17018.0,14518.0,18043.0,17891.0,16846.0,16668.0,20167.0,20283.0,18992.0,20225.0,19687.0,17991.0,19701.0,
1.367,16770.0,17010.0,14549.0,18066.0,17884.0,16907.0,16668.0,20226.0,20260.0,19000.0,20195.0,19643.0,17998.0,19731.0,
1.417,16778.0,17040.0,14533.0,18059.0,17891.0,16869.0,16675.0,20144.0,20267.0,19015.0,20233.0,19687.0,18005.0,19724.0,
1.467,16748.0,17033.0,14526.0,18058.0,17899.0,16861.0,16675.0,20167.0,20244.0,18962.0,20202.0,19687.0,17983.0,19701.0,
1.518,16778.0,17025.0,14541.0,18104.0,17892.0,16861.0,16691.0,20137.0,20299.0,19046.0,20241.0,19672.0,18020.0,19687.0,
1.568,16770.0,17040.0,14533.0,18066.0,17914.0,16915.0,16668.0,20182.0,20275.0,18977.0,20210.0,19657.0,17983.0,19724.0,
1.618,16785.0,17055.0,14556.0,18058.0,17899.0,16915.0,16683.0,20174.0,20275.0,19000.0,20218.0,19695.0,17991.0,19709.0,
1.669,16763.0,17033.0,14549.0,18059.0,17892.0,16907.0,16675.0,20197.0,20298.0,19008.0,20233.0,19702.0,18013.0,19716.0,
1.719,16748.0,17025.0,14518.0,18051.0,17907.0,16831.0,16675.0,20219.0,20298.0,18969.0,20210.0,19672.0,17991.0,19709.0,
1.769,16763.0,17003.0,14518.0,18074.0,17907.0,16877.0,16691.0,20144.0,20275.0,18985.0,20256.0,19687.0,17976.0,19716.0,
1.819,16823.0,17033.0,14488.0,18051.0,17937.0,16899.0,16683.0,20212.0,20252.0,18969.0,20249.0,19687.0,17983.0,19709.0,
1.870,16763.0,16995.0,14495.0,18066.0,17945.0,16877.0,16660.0,20167.0,20283.0,18985.0,20233.0,19695.0,17983.0,19717.0,
1.920,16748.0,17025.0,14526.0,18066.0,17892.0,16854.0,16675.0,20189.0,20291.0,18977.0,20264.0,19695.0,17998.0,19731.0,
1.970,16778.0,17033.0,14533.0,18081.0,17899.0,16838.0,16691.0,20144.0,20275.0,18954.0,20202.0,19687.0,18005.0,19701.0,
2.021,16808.0,17055.0,14556.0,18058.0,17884.0,16915.0,16653.0,20152.0,20260.0,18985.0,20218.0,19695.0,18005.0,19716.0,
2.071,16763.0,17033.0,14556.0,18074.0,17861.0,16876.0,16691.0,20197.0,20275.0,18977.0,20241.0,19665.0,17983.0,19724.0,
2.121,16763.0,17040.0,14533.0,18043.0,17884.0,16899.0,16668.0,20212.0,20237.0,18985.0,20248.0,19665.0,17983.0,19694.0,
2.172,16733.0,17033.0,14503.0,18081.0,17884.0,16854.0,16668.0,20204.0,20268.0,18962.0,20233.0,19672.0,18020.0,19716.0,
2.222,16763.0,17040.0,14526.0,18051.0,17914.0,16861.0,16675.0,20227.0,20268.0,18969.0,20225.0,19680.0,18005.0,19716.0,
2.272,16755.0,17040.0,14533.0,18120.0,17876.0,16869.0,16668.0,20226.0,20268.0,19008.0,20264.0,19687.0,17991.0,19709.0,
2.322,16778.0,17010.0,14572.0,18104.0,17861.0,16930.0,16675.0,20234.0,20268.0,18969.0,20218.0,19680.0,18005.0,19709.0,
2.372,16748.0,17033.0,14572.0,18066.0,17869.0,16861.0,16691.0,20159.0,20291.0,18962.0,20202.0,19672.0,17976.0,19717.0,
2.422,16763.0,17040.0,14511.0,18058.0,17914.0,16877.0,16683.0,20227.0,20283.0,18985.0,20202.0,19672.0,17998.0,19724.0,
2.473,16770.0,16995.0,14549.0,18074.0,17884.0,16930.0,16675.0,20159.0,20298.0,18985.0,20225.0,19695.0,17998.0,19702.0,
2.523,16770.0,17040.0,14526.0,18066.0,17876.0,16937.0,16691.0,20152.0,20237.0,18977.0,20233.0,19672.0,17991.0,19701.0,
2.573,16755.0,17033.0,14518.0,18058.0,17891.0,16892.0,16668.0,20159.0,20252.0,19015.0,20218.0,19657.0,18005.0,19716.0,
2.623,16763.0,16988.0,14511.0,18043.0,17892.0,16838.0,16675.0,20182.0,20268.0,18969.0,20256.0,19672.0,18005.0,19716.0,
2.673,16755.0,16995.0,14541.0,18074.0,17922.0,16869.0,16675.0,20174.0,20268.0,19015.0,20202.0,19680.0,18028.0,19694.0,
