frame_num,time_s,
0,0.020,
1,0.070,
2,0.120,
3,0.170,
4,0.221,
5,0.271,
6,0.321,
7,0.372,
8,0.422,
9,0.473,
10,0.523,
11,0.573,
12,0.623,
13,0.673,
14,0.724,
15,0.775,
16,0.831,
17,0.898,
18,0.965,
19,1.031,
20,1.098,
21,1.165,
22,1.231,
23,1.298,
24,1.364,
25,1.431,
26,1.498,
27,1.564,
28,1.631,
29,1.697,
30,1.764,
31,1.830,
32,1.897,
33,1.964,
34,2.030,
35,2.097,
36,2.163,
37,2.230,
38,2.297,
39,2.363,
40,2.430,
41,2.496,
42,2.563,
43,2.630,
44,2.696,
45,2.763,
46,2.830,
47,2.896,
48,2.962,
49,3.029,
50,3.095,
51,3.163,
52,3.229,
53,3.295,
54,3.362,
55,3.429,
56,3.495,
57,3.562,
58,3.629,
59,3.695,
60,3.762,
61,3.829,
62,3.895,
63,3.962,
64,4.028,
65,4.096,
66,4.161,
67,4.228,
68,4.294,
69,4.361,
70,4.428,
71,4.495,
72,4.561,
73,4.627,
74,4.695,
75,4.761,
76,4.828,
77,4.894,
78,4.960,
79,5.027,
80,5.094,
81,5.160,
82,5.227,
83,5.293,
84,5.360,
85,5.427,
86,5.493,
87,5.560,
88,5.627,
89,5.694,
90,5.759,
91,5.826,
92,5.894,
93,5.959,
94,6.026,
95,6.093,
96,6.159,
97,6.226,
98,6.292,
99,6.359,
100,6.425,
101,6.492,
102,6.559,
103,6.625,
104,6.692,
105,6.759,
106,6.825,
107,6.892,
108,6.958,
109,7.024,
110,7.091,
111,7.158,
112,7.224,
113,7.291,
114,7.358,
115,7.424,
116,7.491,
117,7.558,
118,7.624,
119,7.691,
120,7.757,
121,7.824,
122,7.891,
123,7.957,
124,8.024,
125,8.090,
126,8.157,
127,8.224,
128,8.290,
129,8.357,
130,8.423,
131,8.490,
132,8.556,
133,8.623,
134,8.690,
135,8.756,
136,8.823,
137,8.890,
138,8.956,
139,9.023,
140,9.089,
141,9.157,
142,9.223,
143,9.289,
144,9.356,
145,9.423,
146,9.489,
147,9.555,
148,9.622,
149,9.688,
150,9.756,
151,9.822,
152,9.888,
153,9.955,
154,10.022,
155,10.088,
156,10.155,
157,10.221,
158,10.288,
159,10.355,
160,10.422,
161,10.488,
162,10.554,
163,10.621,
164,10.687,
165,10.754,
166,10.821,
167,10.887,
168,10.954,
169,11.020,
170,11.087,
171,11.154,
172,11.221,
173,11.287,
174,11.353,
175,11.420,
176,11.487,
177,11.554,
178,11.620,
179,11.686,
180,11.753,
181,11.820,
182,11.887,
183,11.953,
184,12.019,
185,12.086,
186,12.153,
187,12.219,
188,12.286,
189,12.353,
190,12.419,
191,12.486,
192,12.552,
193,12.618,
194,12.686,
195,12.752,
196,12.819,
197,12.885,
198,12.952,
199,13.018,
200,13.085,
201,13.151,
202,13.219,
203,13.285,
204,13.352,
205,13.418,
206,13.485,
207,13.551,
208,13.618,
209,13.684,
210,13.750,
211,13.818,
212,13.884,
213,13.950,
214,14.017,
215,14.084,
216,14.151,
217,14.217,
218,14.284,
219,14.350,
220,14.417,
221,14.483,
222,14.550,
223,14.616,
224,14.683,
225,14.751,
226,14.817,
227,14.883,
228,14.950,
229,15.016,
230,15.083,
231,15.150,
232,15.216,
233,15.282,
234,15.349,
235,15.416,
236,15.482,
237,15.549,
238,15.616,
239,15.682,
240,15.749,
241,15.815,
242,15.881,
243,15.949,
244,16.015,
245,16.082,
246,16.148,
247,16.215,
248,16.282,
249,16.348,
250,16.414,
251,16.481,
252,16.547,
253,16.614,
254,16.681,
255,16.748,
256,16.814,
257,16.881,
258,16.947,
259,17.014,
260,17.080,
261,17.147,
262,17.214,
263,17.281,
264,17.347,
265,17.414,
266,17.480,
267,17.547,
268,17.613,
269,17.680,
270,17.747,
271,17.813,
272,17.879,
273,17.946,
274,18.013,
275,18.080,
276,18.146,
277,18.213,
278,18.279,
279,18.346,
280,18.412,
281,18.479,
282,18.545,
283,18.613,
284,18.679,
285,18.746,
286,18.812,
287,18.879,
288,18.946,
289,19.012,
290,19.079,
291,19.145,
292,19.211,
293,19.278,
294,19.345,
295,19.411,
296,19.478,
297,19.545,
298,19.611,
299,19.678,
300,19.745,
301,19.811,
