time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16831.0,17093.0,14434.0,18143.0,18019.0,17058.0,16637.0,20315.0,20358.0,19130.0,20248.0,19590.0,17983.0,19701.0,
0.059,16823.0,17048.0,14434.0,18089.0,18012.0,17028.0,16645.0,20353.0,20397.0,19161.0,20241.0,19560.0,17961.0,19716.0,
0.109,16808.0,17011.0,14419.0,18066.0,18020.0,17020.0,16645.0,20300.0,20389.0,19184.0,20256.0,19560.0,17961.0,19709.0,
0.159,16823.0,17063.0,14404.0,18089.0,18019.0,16998.0,16645.0,20278.0,20389.0,19153.0,20233.0,19590.0,17961.0,19716.0,
0.210,16816.0,17063.0,14457.0,18066.0,18042.0,16982.0,16645.0,20353.0,20381.0,19114.0,20264.0,19560.0,17976.0,19716.0,
0.260,16846.0,17041.0,14480.0,18066.0,18004.0,16990.0,16629.0,20315.0,20397.0,19099.0,20264.0,19590.0,17961.0,19709.0,
0.310,16823.0,17063.0,14419.0,18105.0,18019.0,16959.0,16622.0,20270.0,20420.0,19168.0,20256.0,19582.0,17968.0,19724.0,
0.360,16839.0,17026.0,14419.0,18128.0,18012.0,16960.0,16630.0,20308.0,20389.0,19145.0,20225.0,19567.0,17976.0,19731.0,
0.410,16854.0,17063.0,14434.0,18066.0,18065.0,16975.0,16645.0,20300.0,20397.0,19107.0,20287.0,19582.0,17961.0,19701.0,
0.460,16808.0,17033.0,14427.0,18074.0,18050.0,16959.0,16637.0,20285.0,20381.0,19137.0,20279.0,19575.0,17961.0,19724.0,
0.511,16816.0,17063.0,14449.0,18059.0,18019.0,16998.0,16652.0,20330.0,20381.0,19130.0,20271.0,19560.0,17991.0,19694.0,
0.562,16823.0,17071.0,14427.0,18074.0,18035.0,16967.0,16645.0,20278.0,20389.0,19107.0,20241.0,19552.0,17983.0,19716.0,
0.612,16861.0,17056.0,14465.0,18097.0,18012.0,17028.0,16645.0,20278.0,20358.0,19137.0,20248.0,19605.0,17961.0,19731.0,
0.662,16816.0,17056.0,14396.0,18128.0,18020.0,16959.0,16645.0,20300.0,20374.0,19122.0,20271.0,19590.0,17991.0,19716.0,
0.712,16839.0,17048.0,14419.0,18082.0,18012.0,17028.0,16630.0,20345.0,20404.0,19137.0,20279.0,19567.0,17991.0,19709.0,
0.762,16869.0,17041.0,14434.0,18097.0,18012.0,16952.0,16637.0,20263.0,20389.0,19122.0,20225.0,19590.0,17968.0,19724.0,
0.813,16801.0,17071.0,14442.0,18074.0,18027.0,16959.0,16630.0,20248.0,20404.0,19138.0,20233.0,19590.0,17983.0,19716.0,
0.863,16816.0,17041.0,14457.0,18066.0,18012.0,16952.0,16637.0,20300.0,20381.0,19138.0,20241.0,19575.0,17991.0,19701.0,
0.913,16816.0,17071.0,14465.0,18066.0,18004.0,16975.0,16637.0,20248.0,20381.0,19099.0,20294.0,19560.0,17968.0,19716.0,
0.964,16823.0,17033.0,14396.0,18074.0,18019.0,16982.0,16614.0,20330.0,20397.0,19153.0,20295.0,19612.0,17983.0,19716.0,
1.014,16869.0,17048.0,14396.0,18082.0,18050.0,16998.0,16630.0,20300.0,20397.0,19107.0,20233.0,19567.0,17961.0,19716.0,
1.064,16861.0,17026.0,14442.0,18097.0,18027.0,17043.0,16637.0,20308.0,20389.0,19153.0,20241.0,19575.0,17991.0,19731.0,
1.114,16861.0,17048.0,14465.0,18082.0,18012.0,17058.0,16629.0,20352.0,20389.0,19137.0,20264.0,19590.0,17961.0,19723.0,
1.165,16808.0,17056.0,14427.0,18074.0,18042.0,16998.0,16622.0,20278.0,20397.0,19130.0,20233.0,19582.0,17968.0,19694.0,
1.215,16869.0,17018.0,14388.0,18074.0,18020.0,16960.0,16652.0,20293.0,20381.0,19091.0,20233.0,19590.0,17968.0,19716.0,
1.266,16839.0,17011.0,14411.0,18059.0,18027.0,17013.0,16622.0,20278.0,20366.0,19122.0,20264.0,19582.0,17968.0,19723.0,
1.316,16823.0,17026.0,14434.0,18097.0,18020.0,16997.0,16637.0,20285.0,20366.0,19122.0,20248.0,19597.0,17946.0,19716.0,
1.366,16831.0,17085.0,14404.0,18112.0,18020.0,16967.0,16622.0,20278.0,20366.0,19091.0,20264.0,19582.0,17961.0,19709.0,
1.417,16876.0,17048.0,14434.0,18135.0,18012.0,16952.0,16645.0,20300.0,20397.0,19084.0,20225.0,19582.0,17961.0,19716.0,
1.467,16808.0,17033.0,14419.0,18082.0,18050.0,16975.0,16630.0,20300.0,20381.0,19114.0,20248.0,19567.0,17968.0,19701.0,
1.518,16823.0,17048.0,14488.0,18074.0,18004.0,16944.0,16630.0,20293.0,20381.0,19130.0,20256.0,19545.0,17946.0,19716.0,
1.568,16823.0,17003.0,14457.0,18059.0,18035.0,17074.0,16645.0,20278.0,20366.0,19130.0,20241.0,19575.0,17961.0,19709.0,
1.618,16801.0,17085.0,14457.0,18074.0,18027.0,16959.0,16645.0,20270.0,20381.0,19138.0,20287.0,19575.0,17968.0,19701.0,
1.668,16816.0,17041.0,14404.0,18120.0,18019.0,16982.0,16637.0,20293.0,20389.0,19153.0,20225.0,19590.0,17976.0,19708.0,
1.718,16816.0,17071.0,14465.0,18082.0,17997.0,17020.0,16645.0,20315.0,20358.0,19145.0,20233.0,19582.0,17946.0,19701.0,
1.768,16861.0,17041.0,14388.0,18097.0,18027.0,17028.0,16630.0,20352.0,20381.0,19130.0,20264.0,19567.0,17991.0,19716.0,
1.819,16823.0,17063.0,14442.0,18066.0,18012.0,16975.0,16652.0,20315.0,20358.0,19091.0,20225.0,19575.0,17983.0,19708.0,
1.870,16808.0,17056.0,14457.0,18066.0,18042.0,16982.0,16637.0,20338.0,20428.0,19122.0,20241.0,19582.0,17953.0,19716.0,
1.920,16816.0,17011.0,14465.0,18097.0,18019.0,16967.0,16637.0,20315.0,20404.0,19145.0,20248.0,19582.0,17976.0,19701.0,
1.970,16816.0,17011.0,14404.0,18112.0,18012.0,17028.0,16637.0,20263.0,20389.0,19137.0,20256.0,19560.0,17983.0,19716.0,
2.020,16823.0,17048.0,14434.0,18112.0,18012.0,16959.0,16645.0,20270.0,20374.0,19122.0,20225.0,19575.0,17961.0,19716.0,
2.070,16831.0,17056.0,14457.0,18066.0,18042.0,16982.0,16637.0,20270.0,20420.0,19160.0,20241.0,19605.0,17968.0,19716.0,
2.120,16816.0,17048.0,14411.0,18074.0,18012.0,17036.0,16637.0,20293.0,20427.0,19153.0,20241.0,19567.0,17983.0,19716.0,
2.171,16816.0,17041.0,14419.0,18051.0,18050.0,16967.0,16645.0,20307.0,20374.0,19122.0,20264.0,19545.0,17953.0,19701.0,
2.221,16823.0,17048.0,14449.0,18089.0,18050.0,16952.0,16630.0,20337.0,20381.0,19137.0,20256.0,19575.0,17983.0,19723.0,
2.272,16808.0,17011.0,14404.0,18066.0,18019.0,16990.0,16645.0,20300.0,20374.0,19184.0,20225.0,19567.0,17976.0,19723.0,
2.323,16816.0,17056.0,14434.0,18112.0,18050.0,16975.0,16645.0,20256.0,20396.0,19138.0,20256.0,19582.0,17976.0,19723.0,
2.373,16793.0,17048.0,14427.0,18112.0,18027.0,17020.0,16645.0,20308.0,20366.0,19145.0,20233.0,19560.0,17976.0,19709.0,
2.423,16846.0,16989.0,14480.0,18059.0,18035.0,17021.0,16637.0,20278.0,20397.0,19145.0,20233.0,19575.0,17946.0,19716.0,
2.473,16831.0,17011.0,14404.0,18066.0,18012.0,16967.0,16622.0,20278.0,20443.0,19130.0,20225.0,19560.0,17976.0,19701.0,
2.523,16854.0,17041.0,14465.0,18082.0,18012.0,17020.0,16630.0,20323.0,20381.0,19130.0,20225.0,19575.0,17961.0,19709.0,
2.574,16846.0,17026.0,14427.0,18043.0,18058.0,16990.0,16637.0,20353.0,20397.0,19137.0,20287.0,19590.0,17976.0,19686.0,
2.624,16861.0,17018.0,14388.0,18089.0,18042.0,16990.0,16637.0,20323.0,20374.0,19115.0,20233.0,19567.0,17968.0,19701.0,
2.674,16854.0,17048.0,14396.0,18082.0,18027.0,17036.0,16614.0,20353.0,20389.0,19160.0,20256.0,19575.0,17976.0,19708.0,
2.725,16861.0,17018.0,14427.0,18066.0,18019.0,17028.0,16630.0,20263.0,20389.0,19114.0,20310.0,19567.0,17953.0,19716.0,
2.775,16816.0,17041.0,14427.0,18097.0,18004.0,16997.0,16622.0,20352.0,20381.0,19138.0,20218.0,19552.0,17968.0,19716.0,
2.825,16808.0,17041.0,14388.0,18082.0,18035.0,17013.0,16630.0,20308.0,20381.0,19114.0,20279.0,19590.0,17983.0,19709.0,
2.876,16808.0,17048.0,14442.0,18082.0,18019.0,16990.0,16629.0,20352.0,20397.0,19138.0,20264.0,19545.0,17968.0,19701.0,
2.926,16839.0,17041.0,14434.0,18097.0,18027.0,16982.0,16614.0,20270.0,20397.0,19122.0,20248.0,19575.0,18005.0,19716.0,
2.976,16854.0,17048.0,14427.0,18105.0,18004.0,16959.0,16630.0,20315.0,20366.0,19122.0,20233.0,19567.0,17998.0,19716.0,
3.026,16816.0,17055.0,14449.0,18097.0,18035.0,16967.0,16645.0,20278.0,20397.0,19168.0,20256.0,19575.0,17961.0,19723.0,
3.076,16808.0,17019.0,14442.0,18074.0,18027.0,17028.0,16637.0,20308.0,20366.0,19161.0,20248.0,19560.0,17968.0,19716.0,
3.126,16861.0,17093.0,14449.0,18082.0,18019.0,16998.0,16637.0,20323.0,20374.0,19130.0,20233.0,19575.0,17991.0,19708.0,
3.177,16823.0,17056.0,14404.0,18066.0,18020.0,16975.0,16637.0,20285.0,20412.0,19191.0,20264.0,19612.0,17961.0,19723.0,
3.227,16816.0,17056.0,14427.0,18059.0,18065.0,16959.0,16645.0,20330.0,20374.0,19107.0,20248.0,19612.0,17961.0,19709.0,
3.278,16808.0,17018.0,14419.0,18066.0,17997.0,16997.0,16645.0,20285.0,20397.0,19122.0,20225.0,19545.0,17968.0,19723.0,
3.329,16846.0,17048.0,14442.0,18082.0,18012.0,16959.0,16637.0,20285.0,20389.0,19138.0,20287.0,19605.0,17976.0,19723.0,
3.379,16854.0,17004.0,14472.0,18097.0,18020.0,16952.0,16645.0,20278.0,20397.0,19107.0,20233.0,19590.0,17946.0,19716.0,
3.429,16816.0,17048.0,14419.0,18089.0,18004.0,17005.0,16622.0,20323.0,20374.0,19107.0,20248.0,19567.0,17968.0,19716.0,
3.480,16816.0,17026.0,14465.0,18120.0,18012.0,16982.0,16645.0,20263.0,20358.0,19153.0,20256.0,19575.0,17976.0,19701.0,
3.530,16816.0,17004.0,14427.0,18097.0,18012.0,17013.0,16622.0,20315.0,20397.0,19138.0,20248.0,19567.0,17961.0,19709.0,
3.580,16839.0,16996.0,14472.0,18059.0,18004.0,16982.0,16630.0,20308.0,20374.0,19130.0,20248.0,19560.0,17976.0,19716.0,
3.630,16816.0,17063.0,14404.0,18151.0,18012.0,16959.0,16614.0,20322.0,20397.0,19161.0,20256.0,19582.0,17983.0,19723.0,
3.680,16816.0,17048.0,14472.0,18120.0,18057.0,17028.0,16630.0,20293.0,20381.0,19122.0,20248.0,19552.0,17976.0,19716.0,
3.731,16854.0,17011.0,14442.0,18097.0,18012.0,16982.0,16637.0,20278.0,20397.0,19145.0,20302.0,19590.0,17976.0,19731.0,
3.781,16801.0,17018.0,14396.0,18066.0,18020.0,16975.0,16652.0,20292.0,20389.0,19114.0,20248.0,19597.0,17991.0,19709.0,
3.831,16816.0,17011.0,14396.0,18082.0,18027.0,16959.0,16630.0,20308.0,20389.0,19153.0,20233.0,19567.0,17983.0,19731.0,
3.882,16831.0,17041.0,14465.0,18112.0,17997.0,16959.0,16622.0,20263.0,20381.0,19153.0,20233.0,19575.0,17976.0,19701.0,
3.933,16808.0,17018.0,14472.0,18074.0,18019.0,17036.0,16645.0,20285.0,20389.0,19153.0,20302.0,19597.0,17976.0,19709.0,
3.983,16801.0,17041.0,14427.0,18120.0,18012.0,16967.0,16637.0,20263.0,20366.0,19130.0,20233.0,19590.0,17976.0,19701.0,
4.033,16816.0,17041.0,14419.0,18097.0,18042.0,16975.0,16637.0,20278.0,20389.0,19099.0,20264.0,19597.0,17953.0,19701.0,
4.083,16831.0,17033.0,14419.0,18074.0,18019.0,17028.0,16645.0,20307.0,20381.0,19168.0,20248.0,19575.0,17976.0,19723.0,
4.134,16823.0,17056.0,14411.0,18059.0,17997.0,16998.0,16614.0,20315.0,20420.0,19153.0,20248.0,19567.0,17991.0,19724.0,
4.184,16823.0,17033.0,14480.0,18089.0,18020.0,16967.0,16637.0,20300.0,20397.0,19130.0,20248.0,19582.0,17976.0,19716.0,
4.234,16793.0,17041.0,14419.0,18074.0,18035.0,16960.0,16630.0,20337.0,20397.0,19099.0,20271.0,19582.0,17976.0,19723.0,
4.284,16823.0,17041.0,14449.0,18066.0,18020.0,16982.0,16622.0,20315.0,20366.0,19191.0,20233.0,19567.0,17991.0,19723.0,
4.334,16808.0,17018.0,14434.0,18089.0,18027.0,16975.0,16652.0,20322.0,20382.0,19130.0,20241.0,19567.0,18013.0,19694.0,
4.385,16831.0,17033.0,14442.0,18066.0,18027.0,16997.0,16630.0,20308.0,20427.0,19145.0,20256.0,19590.0,17946.0,19709.0,
4.435,16816.0,17033.0,14442.0,18097.0,18020.0,16990.0,16637.0,20270.0,20381.0,19107.0,20217.0,19582.0,17991.0,19701.0,
4.485,16831.0,17048.0,14457.0,18097.0,18019.0,17051.0,16637.0,20300.0,20381.0,19130.0,20233.0,19582.0,17968.0,19709.0,
4.536,16831.0,17056.0,14396.0,18120.0,18035.0,16982.0,16630.0,20285.0,20374.0,19122.0,20217.0,19575.0,17968.0,19731.0,
4.586,16801.0,17033.0,14434.0,18112.0,18065.0,16960.0,16629.0,20308.0,20412.0,19145.0,20225.0,19560.0,17968.0,19731.0,
4.636,16801.0,17011.0,14411.0,18112.0,18019.0,16967.0,16637.0,20352.0,20381.0,19099.0,20225.0,19560.0,17961.0,19709.0,
4.686,16823.0,17019.0,14427.0,18120.0,18042.0,16967.0,16652.0,20248.0,20374.0,19138.0,20271.0,19567.0,17968.0,19716.0,
4.736,16823.0,17018.0,14472.0,18089.0,18058.0,17005.0,16645.0,20345.0,20358.0,19168.0,20248.0,19567.0,17983.0,19708.0,
4.787,16816.0,16996.0,14434.0,18082.0,18020.0,16975.0,16614.0,20270.0,20366.0,19138.0,20233.0,19575.0,17976.0,19694.0,
4.837,16816.0,17003.0,14442.0,18120.0,18012.0,16990.0,16629.0,20263.0,20397.0,19168.0,20233.0,19560.0,17953.0,19731.0,
4.887,16823.0,17048.0,14404.0,18097.0,18004.0,17013.0,16645.0,20278.0,20374.0,19122.0,20233.0,19575.0,17976.0,19716.0,
4.938,16876.0,17011.0,14449.0,18074.0,18027.0,17036.0,16645.0,20337.0,20374.0,19107.0,20248.0,19545.0,17946.0,19708.0,
4.988,16801.0,17019.0,14396.0,18112.0,18035.0,16982.0,16637.0,20293.0,20343.0,19137.0,20225.0,19582.0,17953.0,19708.0,
5.038,16808.0,17048.0,14449.0,18105.0,18058.0,16982.0,16630.0,20300.0,20381.0,19176.0,20233.0,19582.0,17946.0,19716.0,
5.088,16831.0,17018.0,14419.0,18097.0,18004.0,16990.0,16652.0,20285.0,20374.0,19122.0,20241.0,19605.0,17968.0,19716.0,
5.138,16816.0,17018.0,14427.0,18089.0,18019.0,16998.0,16622.0,20300.0,20374.0,19114.0,20248.0,19590.0,17946.0,19731.0,
5.188,16831.0,17048.0,14457.0,18043.0,18027.0,17005.0,16637.0,20330.0,20397.0,19130.0,20218.0,19575.0,17968.0,19731.0,
5.239,16808.0,17003.0,14411.0,18082.0,18020.0,16959.0,16652.0,20308.0,20381.0,19153.0,20248.0,19560.0,17991.0,19716.0,
5.289,16816.0,17033.0,14449.0,18082.0,18035.0,16967.0,16652.0,20307.0,20412.0,19153.0,20241.0,19575.0,17961.0,19731.0,
5.339,16808.0,17108.0,14404.0,18112.0,18019.0,16952.0,16622.0,20338.0,20374.0,19176.0,20264.0,19582.0,17961.0,19731.0,
5.390,16816.0,17048.0,14457.0,18112.0,18004.0,16982.0,16637.0,20263.0,20366.0,19168.0,20217.0,19567.0,17968.0,19716.0,
5.440,16839.0,17026.0,14457.0,18082.0,18027.0,16960.0,16637.0,20300.0,20381.0,19115.0,20248.0,19552.0,17961.0,19723.0,
5.490,16854.0,17011.0,14457.0,18082.0,18020.0,16982.0,16630.0,20278.0,20397.0,19107.0,20218.0,19605.0,17976.0,19701.0,
