frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.219,
5,0.269,
6,0.320,
7,0.370,
8,0.420,
9,0.470,
10,0.520,
11,0.571,
12,0.621,
13,0.671,
14,0.721,
15,0.772,
16,0.829,
17,0.895,
18,0.962,
19,1.028,
20,1.095,
21,1.161,
22,1.228,
23,1.295,
24,1.361,
25,1.428,
26,1.494,
27,1.561,
28,1.627,
29,1.694,
30,1.760,
31,1.827,
32,1.894,
33,1.960,
34,2.027,
35,2.093,
36,2.160,
37,2.227,
38,2.293,
39,2.359,
40,2.426,
41,2.492,
42,2.559,
43,2.625,
44,2.692,
45,2.759,
46,2.825,
47,2.892,
48,2.958,
49,3.025,
50,3.091,
51,3.158,
52,3.224,
53,3.291,
54,3.358,
55,3.424,
56,3.491,
57,3.557,
58,3.623,
59,3.690,
60,3.757,
61,3.823,
62,3.891,
63,3.956,
64,4.023,
65,4.090,
66,4.156,
67,4.223,
68,4.290,
69,4.356,
70,4.422,
71,4.489,
72,4.555,
73,4.623,
74,4.688,
75,4.755,
76,4.822,
77,4.888,
78,4.955,
79,5.021,
80,5.088,
81,5.154,
82,5.221,
83,5.287,
84,5.354,
85,5.421,
86,5.487,
87,5.554,
88,5.621,
89,5.687,
90,5.753,
91,5.820,
92,5.886,
93,5.953,
94,6.020,
95,6.086,
96,6.153,
97,6.219,
98,6.286,
99,6.353,
100,6.419,
101,6.486,
102,6.552,
103,6.619,
104,6.685,
105,6.752,
106,6.819,
107,6.885,
108,6.951,
109,7.018,
110,7.085,
111,7.151,
112,7.218,
113,7.284,
114,7.350,
115,7.417,
116,7.484,
117,7.550,
118,7.617,
119,7.684,
120,7.750,
121,7.817,
122,7.883,
123,7.950,
124,8.017,
125,8.083,
126,8.149,
127,8.216,
128,8.283,
129,8.349,
130,8.416,
131,8.482,
132,8.549,
133,8.615,
134,8.682,
135,8.749,
136,8.815,
137,8.882,
138,8.948,
139,9.014,
140,9.081,
141,9.148,
142,9.214,
143,9.281,
144,9.347,
145,9.414,
146,9.481,
147,9.547,
148,9.614,
149,9.680,
150,9.747,
151,9.814,
152,9.880,
153,9.946,
154,10.013,
155,10.079,
156,10.147,
157,10.213,
158,10.279,
159,10.346,
160,10.413,
161,10.479,
162,10.545,
163,10.612,
164,10.678,
165,10.746,
166,10.813,
167,10.878,
168,10.945,
169,11.012,
170,11.078,
171,11.144,
172,11.211,
173,11.278,
174,11.344,
175,11.411,
176,11.477,
177,11.544,
178,11.611,
179,11.677,
180,11.743,
181,11.810,
182,11.877,
183,11.943,
184,12.010,
185,12.076,
186,12.143,
187,12.209,
188,12.276,
189,12.342,
190,12.409,
191,12.476,
192,12.542,
193,12.609,
194,12.675,
195,12.741,
196,12.809,
197,12.875,
198,12.941,
199,13.008,
200,13.075,
201,13.141,
202,13.208,
203,13.274,
204,13.341,
205,13.407,
206,13.475,
207,13.540,
208,13.607,
209,13.674,
210,13.741,
211,13.807,
212,13.873,
213,13.940,
214,14.006,
215,14.073,
216,14.140,
217,14.206,
218,14.273,
219,14.340,
220,14.406,
221,14.472,
222,14.539,
223,14.605,
224,14.672,
225,14.739,
226,14.805,
227,14.872,
228,14.939,
229,15.004,
230,15.072,
231,15.139,
232,15.204,
233,15.271,
234,15.338,
235,15.404,
236,15.471,
237,15.538,
238,15.604,
239,15.670,
240,15.736,
241,15.804,
242,15.870,
243,15.936,
244,16.004,
245,16.070,
246,16.136,
247,16.203,
248,16.269,
249,16.336,
250,16.403,
251,16.469,
252,16.535,
253,16.602,
254,16.668,
255,16.735,
256,16.802,
257,16.868,
258,16.935,
259,17.001,
260,17.068,
261,17.135,
262,17.201,
263,17.268,
264,17.334,
265,17.401,
266,17.467,
267,17.534,
268,17.600,
269,17.667,
270,17.733,
271,17.801,
272,17.867,
273,17.933,
274,18.000,
275,18.066,
276,18.133,
277,18.200,
278,18.266,
279,18.333,
280,18.399,
281,18.466,
282,18.532,
283,18.599,
284,18.665,
285,18.732,
286,18.799,
287,18.866,
288,18.932,
289,18.998,
290,19.066,
291,19.131,
292,19.198,
293,19.265,
294,19.331,
295,19.398,
296,19.464,
297,19.531,
298,19.597,
299,19.664,
300,19.731,
301,19.797,
302,19.864,
303,19.930,
304,19.997,
305,20.063,
306,20.130,
307,20.197,
308,20.263,
309,20.330,
310,20.396,
311,20.463,
312,20.529,
313,20.595,
314,20.663,
315,20.729,
316,20.796,
317,20.862,
318,20.929,
319,20.995,
320,21.062,
321,21.129,
322,21.195,
323,21.262,
324,21.328,
325,21.394,
326,21.462,
327,21.528,
328,21.594,
329,21.661,
330,21.728,
331,21.794,
332,21.861,
333,21.927,
334,21.994,
335,22.060,
336,22.127,
337,22.193,
338,22.260,
339,22.327,
340,22.393,
341,22.459,
342,22.526,
343,22.593,
344,22.659,
345,22.726,
346,22.792,
347,22.859,
348,22.926,
349,22.992,
350,23.059,
351,23.125,
352,23.192,
353,23.258,
354,23.325,
355,23.391,
356,23.458,
357,23.526,
358,23.592,
359,23.658,
360,23.725,
361,23.791,
362,23.858,
363,23.924,
364,23.991,
365,24.058,
366,24.124,
367,24.191,
368,24.257,
369,24.324,
370,24.390,
371,24.457,
372,24.523,
373,24.590,
374,24.656,
375,24.723,
376,24.790,
377,24.856,
378,24.922,
379,24.989,
380,25.057,
381,25.122,
382,25.189,
383,25.256,
384,25.322,
385,25.388,
386,25.456,
387,25.522,
388,25.589,
389,25.655,
390,25.722,
391,25.788,
392,25.855,
393,25.922,
394,25.988,
395,26.054,
396,26.121,
397,26.187,
398,26.254,
399,26.321,
400,26.387,
401,26.454,
402,26.520,
403,26.587,
404,26.654,
405,26.720,
406,26.786,
407,26.853,
408,26.920,
409,26.986,
410,27.053,
411,27.119,
412,27.186,
413,27.252,
414,27.320,
415,27.386,
416,27.452,
417,27.519,
418,27.585,
419,27.652,
420,27.718,
421,27.785,
422,27.851,
423,27.918,
424,27.985,
425,28.051,
426,28.118,
427,28.184,
428,28.251,
429,28.317,
430,28.384,
431,28.451,
432,28.517,
433,28.584,
434,28.650,
435,28.717,
436,28.783,
437,28.850,
438,28.917,
439,28.983,
440,29.049,
441,29.116,
442,29.184,
443,29.249,
444,29.316,
445,29.383,
446,29.449,
447,29.516,
448,29.582,
449,29.649,
450,29.715,
451,29.782,
452,29.848,
453,29.915,
454,29.982,
455,30.048,
456,30.115,
457,30.182,
458,30.248,
459,30.315,
460,30.381,
461,30.448,
462,30.514,
463,30.581,
464,30.648,
465,30.714,
466,30.780,
467,30.847,
468,30.913,
469,30.981,
470,31.047,
471,31.113,
472,31.180,
473,31.247,
474,31.314,
475,31.380,
476,31.446,
477,31.513,
478,31.579,
479,31.646,
480,31.712,
481,31.779,
482,31.846,
483,31.912,
484,31.979,
485,32.046,
486,32.112,
487,32.178,
488,32.245,
489,32.311,
490,32.378,
491,32.445,
492,32.511,
493,32.578,
494,32.646,
495,32.711,
496,32.777,
497,32.844,
498,32.910,
499,32.978,
500,33.044,
501,33.110,
502,33.177,
503,33.244,
504,33.310,
505,33.376,
506,33.443,
507,33.509,
508,33.577,
509,33.643,
510,33.710,
511,33.776,
512,33.843,
513,33.910,
514,33.976,
515,34.042,
516,34.109,
517,34.176,
518,34.242,
519,34.309,
520,34.375,
521,34.442,
522,34.508,
523,34.575,
524,34.642,
525,34.708,
526,34.775,
527,34.841,
528,34.908,
529,34.974,
530,35.042,
531,35.108,
532,35.174,
533,35.240,
534,35.308,
535,35.374,
