frame_num,time_s,
0,0.028,
1,0.079,
2,0.129,
3,0.179,
4,0.229,
5,0.279,
6,0.330,
7,0.380,
8,0.431,
9,0.481,
10,0.532,
11,0.582,
12,0.632,
13,0.682,
14,0.732,
15,0.782,
16,0.832,
17,0.882,
18,0.932,
19,0.983,
20,1.033,
21,1.083,
22,1.133,
23,1.183,
24,1.234,
25,1.284,
26,1.335,
27,1.386,
28,1.436,
29,1.486,
30,1.536,
31,1.586,
32,1.636,
33,1.686,
34,1.737,
35,1.787,
36,1.837,
37,1.887,
38,1.938,
39,1.988,
40,2.038,
41,2.088,
42,2.138,
43,2.189,
44,2.240,
45,2.290,
46,2.341,
47,2.391,
48,2.441,
49,2.491,
50,2.542,
51,2.592,
52,2.643,
53,2.693,
54,2.743,
55,2.793,
56,2.844,
57,2.894,
58,2.944,
59,2.995,
60,3.045,
61,3.095,
62,3.145,
63,3.195,
64,3.245,
65,3.296,
66,3.346,
67,3.397,
68,3.447,
69,3.497,
70,3.548,
71,3.598,
72,3.648,
73,3.699,
74,3.749,
75,3.799,
76,3.849,
77,3.899,
78,3.949,
79,4.000,
80,4.050,
81,4.100,
82,4.150,
83,4.200,
84,4.250,
85,4.301,
86,4.351,
87,4.402,
88,4.453,
89,4.503,
90,4.553,
91,4.603,
92,4.653,
93,4.703,
94,4.753,
95,4.803,
96,4.854,
97,4.904,
98,4.954,
99,5.004,
100,5.055,
101,5.105,
102,5.155,
103,5.205,
104,5.255,
105,5.306,
106,5.357,
107,5.407,
108,5.457,
109,5.507,
110,5.557,
111,5.608,
112,5.658,
113,5.708,
114,5.758,
115,5.808,
116,5.859,
117,5.909,
118,5.959,
119,6.009,
120,6.059,
121,6.109,
122,6.160,
123,6.210,
124,6.260,
125,6.310,
126,6.360,
127,6.410,
128,6.460,
129,6.511,
130,6.561,
131,6.611,
132,6.661,
133,6.712,
134,6.762,
135,6.812,
136,6.862,
137,6.912,
138,6.962,
139,7.012,
140,7.063,
141,7.113,
142,7.163,
143,7.213,
144,7.264,
145,7.314,
146,7.364,
147,7.414,
148,7.464,
149,7.515,
150,7.565,
151,7.615,
152,7.665,
153,7.715,
154,7.766,
155,7.816,
156,7.866,
157,7.916,
158,7.966,
159,8.017,
160,8.067,
161,8.117,
