time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.009,16748.0,17048.0,14480.0,18089.0,17876.0,16839.0,16668.0,20219.0,20291.0,19008.0,20218.0,19627.0,17976.0,19702.0,
0.059,16770.0,17025.0,14526.0,18051.0,17884.0,16838.0,16668.0,20167.0,20284.0,19046.0,20218.0,19635.0,17998.0,19701.0,
0.109,16748.0,17010.0,14480.0,18074.0,17877.0,16899.0,16668.0,20190.0,20314.0,19023.0,20218.0,19642.0,17998.0,19716.0,
0.160,16770.0,17025.0,14480.0,18013.0,17861.0,16938.0,16668.0,20197.0,20284.0,19000.0,20210.0,19627.0,17991.0,19701.0,
0.211,16770.0,17010.0,14465.0,18036.0,17914.0,16823.0,16660.0,20182.0,20268.0,19031.0,20179.0,19628.0,17991.0,19709.0,
0.261,16786.0,17055.0,14472.0,18044.0,17861.0,16869.0,16660.0,20204.0,20299.0,18993.0,20195.0,19650.0,17998.0,19716.0,
0.312,16786.0,17010.0,14511.0,18020.0,17861.0,16899.0,16668.0,20167.0,20268.0,19016.0,20218.0,19680.0,17968.0,19716.0,
0.362,16770.0,17018.0,14450.0,18028.0,17861.0,16884.0,16660.0,20204.0,20276.0,18977.0,20210.0,19672.0,18020.0,19709.0,
0.412,16748.0,17048.0,14465.0,18028.0,17884.0,16846.0,16653.0,20204.0,20291.0,19023.0,20179.0,19642.0,17983.0,19716.0,
0.463,16755.0,17048.0,14465.0,18021.0,17892.0,16899.0,16660.0,20167.0,20276.0,19016.0,20233.0,19657.0,18020.0,19709.0,
0.513,16755.0,16988.0,14472.0,18028.0,17907.0,16907.0,16645.0,20197.0,20276.0,18985.0,20218.0,19642.0,18005.0,19716.0,
0.563,16778.0,17033.0,14511.0,18013.0,17884.0,16938.0,16645.0,20167.0,20299.0,19016.0,20226.0,19627.0,17991.0,19701.0,
0.614,16770.0,17025.0,14472.0,18036.0,17899.0,16854.0,16660.0,20189.0,20276.0,18977.0,20210.0,19650.0,18005.0,19716.0,
0.664,16755.0,17033.0,14480.0,18013.0,17869.0,16869.0,16660.0,20167.0,20307.0,18977.0,20203.0,19613.0,17976.0,19716.0,
0.714,16770.0,17025.0,14457.0,18074.0,17907.0,16915.0,16660.0,20212.0,20314.0,18993.0,20241.0,19650.0,17983.0,19709.0,
0.764,16763.0,17025.0,14480.0,18059.0,17861.0,16884.0,16668.0,20182.0,20283.0,18985.0,20218.0,19650.0,17991.0,19701.0,
0.814,16748.0,17070.0,14488.0,18044.0,17869.0,16892.0,16645.0,20234.0,20284.0,18962.0,20195.0,19642.0,18005.0,19716.0,
0.865,16755.0,17018.0,14450.0,18028.0,17861.0,16930.0,16645.0,20189.0,20283.0,18985.0,20210.0,19627.0,18005.0,19724.0,
0.915,16770.0,17048.0,14465.0,18066.0,17854.0,16869.0,16653.0,20212.0,20291.0,18985.0,20210.0,19657.0,17991.0,19709.0,
0.965,16755.0,17033.0,14488.0,18036.0,17914.0,16892.0,16660.0,20212.0,20291.0,19016.0,20241.0,19642.0,17991.0,19716.0,
1.015,16778.0,17055.0,14472.0,18074.0,17884.0,16838.0,16645.0,20167.0,20283.0,19039.0,20233.0,19642.0,17991.0,19731.0,
1.065,16770.0,17048.0,14457.0,18059.0,17907.0,16861.0,16653.0,20160.0,20299.0,19000.0,20218.0,19635.0,17998.0,19709.0,
1.116,16763.0,17033.0,14480.0,18028.0,17907.0,16892.0,16653.0,20174.0,20276.0,19031.0,20210.0,19657.0,17976.0,19716.0,
1.166,16770.0,17025.0,14442.0,18059.0,17869.0,16861.0,16660.0,20175.0,20314.0,19031.0,20203.0,19642.0,17983.0,19709.0,
1.217,16763.0,17040.0,14472.0,18028.0,17861.0,16930.0,16660.0,20182.0,20283.0,18977.0,20218.0,19642.0,17983.0,19716.0,
1.267,16770.0,17018.0,14472.0,18044.0,17876.0,16869.0,16653.0,20205.0,20283.0,19062.0,20195.0,19635.0,18028.0,19709.0,
