frame_num,time_s,
0,0.019,
1,0.069,
2,0.119,
3,0.169,
4,0.219,
5,0.270,
6,0.321,
7,0.371,
8,0.421,
9,0.471,
10,0.521,
11,0.572,
12,0.622,
13,0.672,
14,0.722,
15,0.774,
16,0.840,
17,0.907,
18,0.974,
19,1.040,
20,1.107,
21,1.173,
22,1.240,
23,1.307,
24,1.373,
25,1.441,
26,1.506,
27,1.573,
28,1.640,
29,1.706,
30,1.773,
31,1.840,
32,1.906,
33,1.973,
34,2.039,
35,2.106,
36,2.172,
37,2.239,
38,2.305,
39,2.372,
40,2.439,
41,2.505,
42,2.572,
43,2.639,
44,2.705,
45,2.772,
46,2.838,
47,2.905,
48,2.971,
49,3.038,
50,3.104,
51,3.172,
52,3.238,
53,3.305,
54,3.371,
55,3.438,
56,3.504,
57,3.571,
58,3.637,
59,3.704,
60,3.771,
61,3.838,
62,3.904,
63,3.970,
64,4.037,
65,4.104,
66,4.170,
67,4.237,
68,4.303,
69,4.370,
70,4.437,
71,4.503,
72,4.570,
73,4.636,
74,4.703,
75,4.770,
76,4.836,
77,4.903,
78,4.970,
79,5.037,
80,5.102,
81,5.169,
82,5.236,
83,5.303,
84,5.369,
85,5.436,
86,5.502,
87,5.570,
88,5.635,
89,5.702,
90,5.768,
91,5.835,
92,5.902,
93,5.969,
94,6.035,
95,6.102,
96,6.168,
97,6.234,
98,6.301,
99,6.367,
100,6.435,
101,6.501,
102,6.568,
103,6.634,
104,6.701,
105,6.767,
106,6.834,
107,6.901,
108,6.967,
109,7.033,
110,7.101,
111,7.167,
112,7.234,
113,7.300,
114,7.367,
115,7.434,
116,7.500,
117,7.566,
118,7.634,
119,7.699,
120,7.767,
121,7.832,
122,7.900,
123,7.967,
124,8.032,
125,8.099,
126,8.166,
127,8.232,
128,8.299,
129,8.365,
130,8.432,
131,8.499,
132,8.565,
133,8.632,
134,8.698,
135,8.766,
136,8.832,
137,8.898,
138,8.965,
139,9.031,
140,9.099,
141,9.165,
142,9.231,
143,9.298,
144,9.365,
145,9.432,
146,9.498,
147,9.564,
148,9.630,
149,9.698,
150,9.765,
151,9.830,
152,9.897,
153,9.964,
154,10.031,
155,10.097,
156,10.164,
157,10.231,
158,10.297,
159,10.364,
160,10.430,
161,10.496,
162,10.564,
163,10.630,
164,10.697,
165,10.763,
166,10.830,
167,10.896,
168,10.963,
169,11.029,
170,11.096,
171,11.163,
172,11.229,
173,11.296,
174,11.362,
175,11.429,
176,11.496,
177,11.562,
178,11.629,
179,11.695,
180,11.762,
181,11.829,
182,11.895,
183,11.962,
184,12.028,
185,12.095,
186,12.162,
187,12.228,
188,12.294,
189,12.362,
190,12.428,
191,12.494,
192,12.561,
193,12.628,
194,12.695,
195,12.761,
196,12.827,
197,12.894,
198,12.961,
199,13.027,
200,13.094,
201,13.160,
202,13.228,
203,13.294,
204,13.360,
205,13.427,
206,13.493,
207,13.560,
208,13.626,
209,13.693,
210,13.760,
211,13.827,
212,13.893,
213,13.960,
214,14.026,
215,14.092,
216,14.159,
217,14.226,
218,14.292,
219,14.359,
220,14.426,
221,14.492,
222,14.559,
223,14.626,
224,14.692,
225,14.759,
226,14.825,
227,14.892,
228,14.958,
229,15.025,
230,15.092,
231,15.158,
232,15.225,
233,15.291,
234,15.358,
235,15.425,
236,15.491,
237,15.558,
238,15.624,
239,15.691,
240,15.758,
241,15.824,
242,15.891,
243,15.957,
244,16.024,
245,16.091,
246,16.157,
247,16.224,
248,16.291,
249,16.357,
250,16.423,
251,16.490,
252,16.557,
253,16.623,
254,16.690,
255,16.756,
256,16.824,
257,16.890,
258,16.957,
259,17.023,
260,17.089,
261,17.156,
262,17.222,
263,17.289,
264,17.356,
265,17.422,
266,17.489,
267,17.556,
268,17.622,
269,17.689,
270,17.755,
271,17.822,
272,17.888,
273,17.955,
274,18.021,
275,18.089,
276,18.155,
277,18.221,
278,18.288,
279,18.355,
280,18.421,
281,18.488,
282,18.554,
283,18.621,
284,18.688,
285,18.754,
286,18.821,
287,18.888,
288,18.954,
289,19.021,
290,19.088,
291,19.154,
292,19.221,
293,19.287,
294,19.354,
295,19.420,
296,19.487,
297,19.553,
298,19.620,
299,19.686,
300,19.753,
301,19.820,
302,19.886,
303,19.953,
304,20.020,
305,20.086,
306,20.153,
307,20.220,
308,20.285,
309,20.352,
310,20.420,
311,20.485,
312,20.552,
313,20.619,
314,20.685,
315,20.753,
316,20.819,
317,20.885,
318,20.952,
319,21.018,
320,21.085,
321,21.152,
322,21.218,
323,21.285,
324,21.351,
325,21.418,
326,21.485,
327,21.551,
328,21.618,
329,21.684,
330,21.751,
331,21.818,
332,21.884,
333,21.951,
334,22.018,
335,22.084,
336,22.151,
337,22.217,
338,22.284,
339,22.350,
340,22.417,
341,22.484,
342,22.550,
343,22.617,
344,22.683,
345,22.750,
346,22.817,
347,22.883,
348,22.949,
349,23.016,
350,23.084,
351,23.149,
352,23.216,
353,23.283,
354,23.350,
355,23.416,
356,23.483,
357,23.549,
358,23.616,
359,23.682,
360,23.749,
361,23.815,
362,23.882,
363,23.949,
364,24.015,
365,24.082,
366,24.149,
367,24.215,
368,24.281,
369,24.348,
370,24.414,
371,24.481,
372,24.548,
373,24.614,
374,24.681,
375,24.748,
376,24.814,
377,24.881,
378,24.947,
379,25.014,
380,25.081,
381,25.148,
382,25.214,
383,25.281,
384,25.347,
385,25.414,
386,25.480,
387,25.547,
388,25.613,
389,25.680,
390,25.747,
391,25.814,
392,25.880,
393,25.946,
394,26.013,
395,26.080,
396,26.146,
397,26.213,
398,26.279,
399,26.346,
400,26.413,
401,26.479,
402,26.546,
403,26.613,
404,26.679,
405,26.746,
406,26.812,
407,26.879,
408,26.945,
409,27.012,
410,27.078,
411,27.145,
412,27.212,
413,27.278,
414,27.345,
415,27.411,
416,27.478,
417,27.545,
418,27.611,
419,27.678,
420,27.744,
421,27.811,
422,27.877,
423,27.944,
424,28.011,
425,28.077,
426,28.144,
427,28.211,
428,28.277,
429,28.343,
430,28.411,
431,28.477,
432,28.543,
433,28.610,
434,28.677,
435,28.744,
436,28.810,
437,28.877,
438,28.943,
439,29.010,
440,29.077,
441,29.143,
442,29.209,
443,29.276,
444,29.343,
445,29.409,
446,29.476,
447,29.543,
448,29.609,
449,29.676,
450,29.742,
451,29.808,
452,29.876,
453,29.943,
454,30.008,
455,30.075,
456,30.142,
457,30.209,
458,30.275,
459,30.342,
460,30.408,
461,30.475,
462,30.542,
463,30.608,
464,30.675,
465,30.741,
466,30.808,
467,30.874,
468,30.941,
469,31.008,
470,31.075,
471,31.141,
472,31.207,
473,31.274,
474,31.341,
475,31.407,
476,31.474,
477,31.540,
478,31.607,
479,31.674,
480,31.740,
481,31.806,
482,31.873,
483,31.940,
484,32.006,
485,32.073,
486,32.140,
487,32.206,
488,32.273,
489,32.339,
490,32.406,
491,32.472,
492,32.539,
493,32.606,
494,32.672,
495,32.739,
496,32.806,
497,32.872,
498,32.939,
499,33.006,
500,33.072,
501,33.139,
502,33.205,
503,33.272,
504,33.338,
505,33.405,
506,33.472,
507,33.538,
508,33.605,
509,33.671,
510,33.738,
511,33.804,
512,33.871,
513,33.937,
514,34.004,
515,34.071,
516,34.137,
517,34.204,
518,34.271,
