Activation,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.39043715846994537,SUCCESS,0.01200819785287626,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497372.996,
0.36627634660421554,SUCCESS,0.016653463219802,PLANE,SMALL,RIGID,FREE,FRONT,CENTER,1785545281.667,
0.34727414330218076,SUCCESS,0.016364655442998408,ASYM_RECT,SMALL,RIGID,FREE,FRONT,CENTER,1785483359.131,
0.3216987865810136,SUCCESS,0.012936267129295893,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785477424.297,
0.32151639344262295,SUCCESS,0.02029562403636225,CYLINDER,LARGE,RIGID,STRING,FRONT,CENTER,1785490640.384,
0.31861702127659575,SUCCESS,0.011362096392204674,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785486247.689,
0.3101477199743096,SUCCESS,0.015845153105326984,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785486157.481,
0.30584045584045594,SUCCESS,0.009916752234267544,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497447.486,
0.30228494623655927,SUCCESS,0.013787644132726687,CYLINDER,LARGE,RIGID,FREE,FRONT,FAR,1785487336.589,
0.2991631799163181,SUCCESS,0.01655301083675267,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488061.179,
0.2976348854397635,SUCCESS,0.011714562265951984,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497896.888,
0.29617590822179735,SUCCESS,0.013795465211123965,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785465401.070,
0.2875871687587169,SUCCESS,0.016680282175989502,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546788.681,
0.2844877344877345,SUCCESS,0.013292757798980466,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CENTER,1785478889.442,
0.28437500000000004,SUCCESS,0.010255200978902689,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497972.545,
0.28208333333333335,SUCCESS,0.015859726905129868,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546515.307,
0.28200312989045384,SUCCESS,0.014710710070411649,CYLINDER,LARGE,RIGID,FREE,FRONT,CENTER,1785490136.421,
0.2788888888888889,SUCCESS,0.01103910175165652,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482322.625,
0.27861519607843144,SUCCESS,0.02695932538166797,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481068.977,
0.2776610644257703,SUCCESS,0.01929134264066109,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491952.933,
0.27716171617161717,SUCCESS,0.01577980028874143,PLANE,LARGE,COMPLIANT,STRING,FRONT,FAR,1785547030.743,
0.27278775781769793,SUCCESS,0.0179485330929256,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,FAR,1785484563.244,
0.27175667287399125,SUCCESS,0.024856049061556324,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,CENTER,1785488318.181,
0.26976284584980237,SUCCESS,0.015886907159864502,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785477490.536,
0.2690651906519066,SUCCESS,0.019241693314808624,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785478183.786,
0.2690571049136787,SUCCESS,0.021731830354437112,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785455211.938,
0.2624183006535948,SUCCESS,0.009199999728670003,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546728.171,
0.2607764390896921,SUCCESS,0.018567771405728635,ASYM_RECT,SMALL,RIGID,FREE,FRONT,CENTER,1785483442.648,
0.2585381222432262,SUCCESS,0.015007271298259654,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785457144.476,
0.2572390572390572,SUCCESS,0.016421958605332826,ASYM_RECT,SMALL,RIGID,FREE,FRONT,CLOSE,1785483108.376,
0.2560747663551402,SUCCESS,0.016731156884033767,ASYM_RECT,SMALL,RIGID,STRING,FRONT,FAR,1785484648.276,
0.25587371512481644,SUCCESS,0.01940962791031693,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499677.190,
0.25421383647798745,SUCCESS,0.013278732845466016,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785459737.963,
0.2522324159021406,SUCCESS,0.010234104641640126,PLANE,LARGE,COMPLIANT,FREE,FRONT,FAR,1785547223.534,
0.25043327556325823,SUCCESS,0.02658879393536362,CYLINDER,SMALL,RIGID,STRING,FRONT,CENTER,1785464677.696,
0.24746760895170788,SUCCESS,0.014442676675429528,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785459876.544,
0.24123354123354118,SUCCESS,0.012461357827163998,CYLINDER,LARGE,RIGID,FREE,FRONT,FAR,1785487208.001,
0.2410887397464579,SUCCESS,0.015396694544261296,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785456771.011,
0.24064885496183205,SUCCESS,0.014145054747162995,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785482831.108,
0.24027459954233404,SUCCESS,0.009390567483157758,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546184.445,
0.2396103896103896,SUCCESS,0.008503336880886598,ASYM_RECT,LARGE,RIGID,FREE,FRONT,FAR,1785498466.669,
0.23939393939393938,SUCCESS,0.0074705765196378246,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CLOSE,1785478629.076,
0.23708421797593768,SUCCESS,0.012411260093664665,ASYM_RECT,LARGE,RIGID,FREE,FRONT,CENTER,1785500705.054,
0.23697594501718208,SUCCESS,0.014866730794177304,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785493820.692,
0.23395291201982651,SUCCESS,0.018753103215928938,ASYM_RECT,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785483838.325,
0.2337194337194337,SUCCESS,0.010083465716456762,ASYM_RECT,SMALL,RIGID,FREE,FRONT,FAR,1785484805.148,
0.2336820083682009,SUCCESS,0.018948663573641174,CYLINDER,SMALL,RIGID,FREE,FRONT,CENTER,1785463047.488,
0.23209366391184574,SUCCESS,0.010068554034818118,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785456365.349,
0.23184176394293124,FAILURE,0.016202044690590067,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546945.516,
0.2310126582278481,SUCCESS,0.019663064412106798,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785460763.094,
0.2295774647887324,SUCCESS,0.016790255361747032,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785479921.050,
0.22788844621513946,SUCCESS,0.018130102248388506,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,FAR,1785494333.711,
0.22401774397972118,SUCCESS,0.017246674225819665,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CLOSE,1785482924.083,
0.22372311827956987,FAILURE,0.013656898564088962,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785544876.391,
0.22352122477383432,SUCCESS,0.009861007756410464,PLANE,LARGE,COMPLIANT,FREE,FRONT,FAR,1785547282.201,
0.22287581699346404,SUCCESS,0.008584029631833821,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785460593.094,
0.2211136890951276,SUCCESS,0.016735088257109725,CYLINDER,LARGE,RIGID,FREE,FRONT,CLOSE,1785486735.586,
0.2202711028958718,SUCCESS,0.011782124893974798,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546890.862,
0.21691919191919193,SUCCESS,0.024305127154737184,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CENTER,1785479672.902,
0.21539465101108934,SUCCESS,0.008804305299501618,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785461023.151,
0.2137003058103975,SUCCESS,0.016129733453107517,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785481010.761,
0.21190476190476185,SUCCESS,0.009925216491541286,CYLINDER,LARGE,RIGID,FREE,FRONT,CENTER,1785490227.024,
0.2117764471057884,SUCCESS,0.018165785099348953,CYLINDER,LARGE,RIGID,STRING,FRONT,CLOSE,1785486635.899,
0.21166032953105193,SUCCESS,0.01670895928503381,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785486373.249,
0.21081761006289307,FAILURE,0.008003559313917443,PLANE,SMALL,RIGID,FREE,FRONT,CENTER,1785545334.969,
0.21059972105997202,SUCCESS,0.005210062929032671,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463230.265,
0.20887647423960273,SUCCESS,0.01593487821862643,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CENTER,1785483573.318,
0.2065426997245179,SUCCESS,0.005853445369687228,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546235.909,
0.20563106796116504,SUCCESS,0.014617759543031586,PLANE,SMALL,COMPLIANT,STRING,FRONT,FAR,1785545746.653,
0.2050972501676727,SUCCESS,0.008870101290316495,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785544741.595,
0.20384138785625772,SUCCESS,0.00828276699443664,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785479985.969,
0.2034722222222222,FAILURE,0.01293205184784795,PLANE,LARGE,COMPLIANT,STRING,FRONT,FAR,1785547141.752,
0.20331825037707385,SUCCESS,0.007027370617090761,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546125.899,
0.20319634703196343,FAILURE,0.01534634881231038,PLANE,SMALL,RIGID,STRING,FRONT,FAR,1785545895.441,
0.20221799746514577,SUCCESS,0.012995524506702126,CYLINDER,SMALL,RIGID,STRING,FRONT,CLOSE,1785465605.520,
0.2022,SUCCESS,0.01606555496787547,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CENTER,1785478991.676,
0.19999999999999996,SUCCESS,0.011698300936704233,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546287.405,
0.19969834087481145,SUCCESS,0.01702885661726487,PLANE,SMALL,COMPLIANT,FREE,FRONT,FAR,1785545576.644,
0.19850260416666665,FAILURE,0.021127805671992964,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,CLOSE,1785497817.790,
0.19833997343957502,SUCCESS,0.015057236907806708,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482240.241,
0.1977987421383648,SUCCESS,0.014717873356862407,CYLINDER,LARGE,RIGID,STRING,FRONT,FAR,1785487581.183,
0.19665985003408318,SUCCESS,0.015771015977906505,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,FAR,1785498950.251,
0.19629629629629633,SUCCESS,0.015385161521960558,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785465197.868,
0.19613899613899616,SUCCESS,0.011681316254554132,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785484006.104,
0.19596819988642816,SUCCESS,0.013652367855052347,CYLINDER,LARGE,COMPLIANT,STRING,FRONT,FAR,1785487779.990,
0.1956862745098039,SUCCESS,0.0064692227974944725,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546617.288,
0.1937254901960784,SUCCESS,0.008718655385541993,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785478016.551,
0.19273182957393484,FAILURE,0.011951146276329419,PLANE,SMALL,COMPLIANT,STRING,FRONT,FAR,1785545804.838,
0.18940234134319162,SUCCESS,0.03844707414850434,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,FAR,1785464391.102,
0.1887417218543046,SUCCESS,0.006937102298060608,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785544813.939,
0.18831258644536655,FAILURE,0.011024540930685165,PLANE,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785545422.146,
0.1879150066401062,FAILURE,0.010991712913012241,PLANE,SMALL,COMPLIANT,STRING,FRONT,CENTER,1785545006.284,
0.18523714094856378,SUCCESS,0.009674669308302452,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,FAR,1785463622.355,
0.18432624113475177,FAILURE,0.021580262667147774,TRI_PRISM,SMALL,COMPLIANT,STRING,FRONT,CLOSE,1785478276.647,
0.1829126213592233,SUCCESS,0.012211089715798746,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CLOSE,1785478508.266,
0.18247863247863244,SUCCESS,0.0035400924416209623,PLANE,SMALL,COMPLIANT,FREE,FRONT,FAR,1785545690.683,
0.1803921568627451,SUCCESS,0.007875395159722192,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,FAR,1785484351.234,
0.17852507374631268,SUCCESS,0.015575201489646915,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CENTER,1785479143.885,
0.17744107744107743,SUCCESS,0.014935866167700809,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,FAR,1785484275.604,
0.17681426814268145,FAILURE,0.01987471613414322,PLANE,SMALL,RIGID,STRING,FRONT,CENTER,1785545093.002,
0.1720211161387632,SUCCESS,0.013267953392911145,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499501.442,
0.16599326599326597,SUCCESS,0.009523070876040944,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463359.255,
0.16423220973782773,SUCCESS,0.01192945403254329,TRI_PRISM,SMALL,RIGID,FREE,FRONT,FAR,1785481219.089,
0.16218081435472742,SUCCESS,0.005537169824648692,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,FAR,1785463683.217,
