Sym_Act_Bot,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.010996768580661197,FAILURE,0.009125026589448857,PLANE,LARGE,RIGID,FREE,FRONT,FAR,1785546570.029,
0.017552856500224926,FAILURE,0.008948054706079499,CYLINDER,SMALL,RIGID,FREE,FRONT,FAR,1785463479.355,
0.009336917562724013,FAILURE,0.008085179437443553,ASYM_RECT,SMALL,RIGID,FREE,FRONT,FAR,1785484919.601,
0.014440219687367974,FAILURE,0.0076128303838530744,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,FAR,1785484412.255,
0.01435967926689576,FAILURE,0.007226582182672474,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785460872.890,
0.019370529327610873,FAILURE,0.005219758598919845,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494099.638,
0.01662934252081539,FAILURE,0.0050143205617121794,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488248.623,
0.014411708068553821,FAILURE,0.004847985281423349,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,FAR,1785463890.037,
0.015107296137339061,FAILURE,0.004678729802717604,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CENTER,1785479076.667,
0.017630549804462853,FAILURE,0.004610888274854128,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482632.028,
0.01880711880711881,FAILURE,0.004440275305932896,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499441.484,
0.019455680399500627,FAILURE,0.004397293695668589,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785499381.803,
0.009598580616544686,FAILURE,0.004143421234214684,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,FAR,1785480487.290,
0.007374847374847375,FAILURE,0.003929818728403627,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488180.134,
0.010724818276220145,FAILURE,0.003799469482446594,ASYM_RECT,SMALL,RIGID,FREE,FRONT,CENTER,1785483506.480,
0.005636070853462157,FAILURE,0.003607841322602873,CYLINDER,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785455567.440,
0.0030086877000457244,FAILURE,0.0034972928837429516,CYLINDER,LARGE,RIGID,FREE,FRONT,CENTER,1785490294.725,
0.011216494845360825,FAILURE,0.003365214130446563,CYLINDER,SMALL,RIGID,FREE,FRONT,CENTER,1785463108.073,
0.011756272401433692,FAILURE,0.0031426477158180716,TRI_PRISM,SMALL,RIGID,FREE,FRONT,FAR,1785481339.344,
0.0013688888888888889,FAILURE,0.002782927705784049,ASYM_RECT,LARGE,COMPLIANT,STRING,FRONT,FAR,1785498891.028,
0.003720504009163802,FAILURE,0.002601797628799913,TRI_PRISM,SMALL,RIGID,FREE,FRONT,CLOSE,1785478768.122,
0.0031329690346083784,FAILURE,0.0020459185176323336,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785480227.526,
5.636070853462157e-05,FAILURE,0.00012556499014314694,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CENTER,1785484084.958,
0.0003209876543209877,FAILURE,0.0,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785477580.079,
0.0,FAILURE,0.0,PLANE,SMALL,RIGID,FREE,FRONT,FAR,1785546407.322,
0.0,FAILURE,0.0,CYLINDER,SMALL,RIGID,FREE,FRONT,CLOSE,1785460296.494,
