Sym_Act_Mid,Outcome,Instability_Mid,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.05438349742147212,FAILURE,0.011929629659122835,TRI_PRISM,LARGE,RIGID,FREE,FRONT,FAR,1785494697.695,
0.048474862695395,FAILURE,0.011557047006907694,TRI_PRISM,SMALL,RIGID,STRING,FRONT,FAR,1785480928.573,
0.05687714145863926,FAILURE,0.011552991706210915,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CENTER,1785493563.487,
0.048418991678903574,FAILURE,0.011500778226616909,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497589.083,
0.06820450885668278,FAILURE,0.011434065881823332,TRI_PRISM,LARGE,COMPLIANT,STRING,FRONT,FAR,1785494167.804,
0.046919191919191916,FAILURE,0.011354039823133003,CYLINDER,SMALL,COMPLIANT,STRING,FRONT,FAR,1785464171.358,
0.06830357142857144,FAILURE,0.011109784472530205,ASYM_RECT,LARGE,RIGID,FREE,FRONT,FAR,1785498379.752,
0.06151495306701592,FAILURE,0.010914282115581566,CYLINDER,LARGE,RIGID,STRING,FRONT,FAR,1785487494.790,
0.05324635790389216,FAILURE,0.010796798784920065,CYLINDER,LARGE,RIGID,STRING,FRONT,CENTER,1785490574.101,
0.05709049255441008,FAILURE,0.010577522223040233,ASYM_RECT,SMALL,RIGID,STRING,FRONT,CENTER,1785483666.289,
