frame_num,time_s,
0,0.020,
1,0.071,
2,0.121,
3,0.171,
4,0.221,
5,0.271,
6,0.321,
7,0.371,
8,0.422,
9,0.472,
10,0.522,
11,0.572,
12,0.622,
13,0.677,
14,0.744,
15,0.810,
16,0.877,
17,0.943,
18,1.010,
19,1.077,
20,1.143,
21,1.210,
22,1.277,
23,1.343,
24,1.410,
25,1.476,
26,1.543,
27,1.609,
28,1.676,
29,1.744,
30,1.810,
31,1.876,
32,1.942,
33,2.009,
34,2.075,
35,2.142,
36,2.209,
37,2.275,
38,2.342,
39,2.409,
40,2.475,
41,2.542,
42,2.608,
43,2.675,
44,2.742,
45,2.808,
46,2.875,
47,2.941,
48,3.008,
49,3.075,
50,3.141,
51,3.208,
52,3.274,
53,3.341,
54,3.407,
55,3.474,
56,3.541,
57,3.607,
58,3.674,
59,3.740,
60,3.807,
61,3.874,
62,3.940,
63,4.007,
64,4.073,
65,4.140,
66,4.206,
67,4.273,
68,4.340,
69,4.406,
70,4.473,
71,4.539,
72,4.606,
73,4.673,
74,4.739,
75,4.806,
76,4.872,
77,4.939,
78,5.006,
79,5.072,
80,5.139,
81,5.205,
82,5.272,
83,5.339,
84,5.405,
85,5.472,
86,5.539,
87,5.605,
88,5.671,
89,5.738,
90,5.805,
91,5.871,
92,5.938,
93,6.005,
94,6.071,
95,6.138,
96,6.204,
97,6.271,
98,6.338,
99,6.404,
100,6.471,
101,6.537,
102,6.604,
103,6.670,
104,6.737,
105,6.804,
106,6.871,
107,6.937,
108,7.003,
109,7.070,
110,7.137,
111,7.203,
112,7.270,
113,7.336,
114,7.403,
115,7.469,
116,7.536,
117,7.603,
118,7.670,
119,7.736,
120,7.802,
121,7.869,
122,7.936,
123,8.002,
124,8.069,
125,8.135,
126,8.203,
127,8.269,
128,8.335,
129,8.402,
130,8.469,
131,8.535,
132,8.602,
133,8.668,
134,8.735,
135,8.801,
136,8.868,
137,8.934,
138,9.001,
139,9.067,
140,9.135,
141,9.201,
142,9.267,
143,9.334,
144,9.401,
145,9.468,
146,9.534,
147,9.601,
148,9.667,
149,9.734,
150,9.801,
151,9.867,
152,9.934,
153,10.000,
154,10.079,
155,10.133,
156,10.200,
157,10.266,
158,10.333,
159,10.400,
160,10.466,
161,10.533,
162,10.599,
163,10.666,
164,10.733,
165,10.799,
166,10.866,
167,10.932,
168,11.000,
169,11.065,
170,11.132,
171,11.199,
172,11.266,
173,11.332,
174,11.398,
175,11.466,
176,11.532,
177,11.598,
178,11.665,
179,11.732,
180,11.798,
181,11.865,
182,11.931,
183,11.998,
184,12.065,
185,12.131,
186,12.198,
187,12.264,
188,12.331,
189,12.398,
190,12.464,
191,12.531,
192,12.598,
193,12.664,
194,12.731,
195,12.797,
196,12.864,
197,12.931,
198,12.997,
199,13.063,
200,13.130,
201,13.197,
202,13.263,
203,13.330,
204,13.397,
205,13.463,
206,13.530,
207,13.597,
208,13.663,
209,13.730,
210,13.796,
211,13.862,
212,13.929,
213,13.996,
214,14.063,
215,14.129,
216,14.196,
217,14.262,
218,14.329,
219,14.395,
220,14.462,
221,14.529,
222,14.595,
223,14.662,
224,14.728,
225,14.795,
226,14.861,
227,14.928,
228,14.995,
229,15.062,
230,15.139,
231,15.195,
232,15.261,
233,15.328,
234,15.394,
235,15.461,
236,15.527,
237,15.594,
238,15.661,
239,15.727,
240,15.794,
241,15.860,
242,15.927,
243,15.994,
244,16.060,
245,16.126,
246,16.193,
247,16.260,
248,16.326,
249,16.393,
250,16.459,
251,16.526,
252,16.593,
253,16.659,
254,16.726,
255,16.793,
256,16.859,
257,16.925,
258,16.992,
259,17.059,
260,17.126,
261,17.192,
262,17.259,
263,17.325,
264,17.392,
265,17.458,
266,17.525,
267,17.592,
268,17.658,
269,17.725,
270,17.792,
271,17.859,
272,17.925,
273,17.991,
274,18.058,
275,18.125,
276,18.191,
277,18.258,
278,18.325,
279,18.391,
280,18.458,
281,18.524,
282,18.591,
283,18.658,
284,18.724,
285,18.791,
286,18.857,
287,18.923,
288,18.990,
289,19.057,
290,19.123,
291,19.190,
292,19.257,
293,19.323,
294,19.390,
295,19.456,
296,19.523,
297,19.590,
298,19.656,
299,19.723,
300,19.789,
301,19.856,
302,19.923,
303,19.989,
304,20.056,
305,20.122,
306,20.191,
307,20.255,
308,20.322,
309,20.389,
310,20.455,
311,20.522,
312,20.589,
313,20.655,
314,20.722,
315,20.789,
316,20.855,
317,20.921,
318,20.988,
319,21.055,
320,21.121,
321,21.188,
322,21.255,
323,21.321,
324,21.388,
325,21.454,
326,21.521,
327,21.587,
328,21.654,
329,21.721,
330,21.787,
331,21.854,
332,21.920,
333,21.987,
334,22.054,
335,22.120,
336,22.187,
337,22.253,
338,22.320,
339,22.386,
340,22.454,
341,22.520,
342,22.587,
343,22.653,
344,22.720,
345,22.787,
346,22.853,
347,22.919,
348,22.986,
349,23.052,
350,23.119,
351,23.185,
352,23.252,
353,23.319,
354,23.386,
355,23.452,
356,23.519,
357,23.585,
358,23.652,
359,23.718,
360,23.785,
361,23.852,
362,23.919,
363,23.985,
364,24.051,
365,24.118,
366,24.185,
367,24.251,
368,24.318,
369,24.384,
370,24.451,
371,24.518,
372,24.584,
373,24.651,
374,24.718,
375,24.784,
376,24.851,
377,24.917,
378,24.983,
379,25.050,
380,25.117,
381,25.183,
382,25.255,
383,25.317,
384,25.383,
385,25.450,
386,25.517,
387,25.583,
388,25.650,
389,25.716,
