time_s,L6,L5,L4,L3,L2,L1,L0,R6,R5,R4,R3,R2,R1,R0,
0.030,17039.0,13573.0,14831.0,18135.0,18399.0,17186.0,21142.0,20511.0,20825.0,19310.0,20852.0,20289.0,18251.0,20087.0,
0.080,17069.0,13610.0,18935.0,18120.0,18376.0,17156.0,21142.0,20519.0,20825.0,19310.0,20829.0,20282.0,18236.0,20102.0,
0.131,17031.0,13580.0,14800.0,18150.0,18383.0,17163.0,21164.0,20526.0,20825.0,19340.0,20851.0,20297.0,18266.0,20102.0,
0.181,17002.0,13588.0,18935.0,18135.0,18353.0,17141.0,21134.0,20519.0,20840.0,19363.0,20882.0,20334.0,18280.0,20095.0,
0.231,17017.0,13610.0,14839.0,18135.0,18376.0,17186.0,21134.0,20504.0,20847.0,19332.0,20821.0,20304.0,18222.0,20095.0,
0.281,17031.0,13566.0,18942.0,18150.0,18406.0,17171.0,21142.0,20526.0,20855.0,19302.0,20829.0,20312.0,18258.0,20094.0,
0.331,17009.0,13602.0,14839.0,18127.0,18376.0,17133.0,21142.0,20533.0,20832.0,19378.0,20851.0,20304.0,18229.0,20094.0,
0.381,17054.0,13610.0,14869.0,18173.0,18361.0,17148.0,21134.0,20526.0,20825.0,19325.0,20836.0,20282.0,18258.0,20087.0,
0.432,17046.0,13588.0,18935.0,18158.0,18361.0,17171.0,21134.0,20526.0,20878.0,19332.0,20851.0,20282.0,18280.0,20095.0,
0.482,17061.0,13573.0,18935.0,18120.0,18345.0,17141.0,21149.0,20511.0,20855.0,19302.0,20806.0,20319.0,18273.0,20102.0,
0.532,17016.0,13588.0,14831.0,18143.0,18353.0,17140.0,21142.0,20519.0,20847.0,19340.0,20829.0,20282.0,18244.0,20087.0,
0.583,17054.0,13588.0,14823.0,18188.0,18383.0,17155.0,21134.0,20518.0,20855.0,19340.0,20798.0,20289.0,18273.0,20087.0,
0.633,17039.0,13602.0,14884.0,18135.0,18376.0,17141.0,21134.0,20533.0,20817.0,19385.0,20791.0,20289.0,18258.0,20087.0,
0.683,17002.0,13573.0,18919.0,18173.0,18368.0,17171.0,21134.0,20504.0,20900.0,19302.0,20859.0,20297.0,18273.0,20080.0,
0.733,17054.0,13566.0,18919.0,18105.0,18391.0,17148.0,21149.0,20519.0,20855.0,19302.0,20859.0,20363.0,18222.0,20102.0,
0.783,17046.0,13602.0,14862.0,18105.0,18361.0,17163.0,21134.0,20518.0,20900.0,19310.0,20859.0,20341.0,18244.0,20087.0,
0.833,17024.0,13595.0,14869.0,18112.0,18361.0,17148.0,21134.0,20511.0,20832.0,19370.0,20821.0,20326.0,18229.0,20080.0,
0.884,17076.0,13609.0,14823.0,18165.0,18360.0,17141.0,21142.0,20504.0,20810.0,19310.0,20813.0,20275.0,18244.0,20080.0,
0.934,17016.0,13588.0,14839.0,18120.0,18383.0,17133.0,21126.0,20504.0,20855.0,19310.0,20905.0,20297.0,18280.0,20080.0,
0.984,17069.0,13588.0,18935.0,18120.0,18345.0,17201.0,21149.0,20519.0,20832.0,19355.0,20836.0,20289.0,18302.0,20095.0,
1.034,17009.0,13580.0,18965.0,18112.0,18399.0,17148.0,21134.0,20519.0,20810.0,19310.0,20836.0,20289.0,18288.0,20102.0,
1.084,17024.0,13602.0,14831.0,18120.0,18345.0,17171.0,21149.0,20541.0,16713.0,19332.0,20821.0,20297.0,18266.0,20109.0,
1.134,17061.0,13573.0,14839.0,18112.0,18383.0,17178.0,21126.0,20511.0,20885.0,19302.0,20814.0,20334.0,18236.0,20087.0,
1.184,17046.0,13595.0,14846.0,18195.0,18399.0,17141.0,21142.0,20518.0,20847.0,19294.0,20851.0,20297.0,18266.0,20065.0,
1.234,17061.0,13602.0,19034.0,18112.0,18368.0,17126.0,21142.0,20534.0,20893.0,19317.0,20829.0,20304.0,18251.0,20087.0,
1.284,17009.0,13587.0,18958.0,18158.0,18361.0,17141.0,21149.0,20511.0,20832.0,19310.0,20821.0,20282.0,18258.0,20072.0,
1.335,17031.0,13580.0,18965.0,18120.0,18361.0,17141.0,21134.0,20519.0,20832.0,19317.0,20806.0,20289.0,18280.0,20094.0,
1.385,17031.0,13610.0,18927.0,18120.0,18368.0,17163.0,21126.0,20563.0,20840.0,19302.0,20821.0,20304.0,18229.0,20094.0,
1.435,17046.0,13588.0,14839.0,18143.0,18391.0,17141.0,21149.0,20518.0,20840.0,19310.0,20844.0,20282.0,18251.0,20094.0,
1.485,17076.0,13588.0,18935.0,18135.0,18361.0,17133.0,21142.0,20533.0,20885.0,19302.0,20859.0,20297.0,18236.0,20116.0,
1.535,17046.0,13588.0,18942.0,18158.0,18360.0,17125.0,21134.0,20511.0,20840.0,19310.0,20813.0,20304.0,18236.0,20087.0,
1.585,17061.0,13595.0,14831.0,18188.0,18376.0,17141.0,21142.0,20518.0,20863.0,19317.0,20806.0,20297.0,18229.0,20109.0,
1.635,17061.0,13595.0,14823.0,18112.0,18376.0,17163.0,21134.0,20526.0,20802.0,19363.0,20814.0,20334.0,18288.0,20087.0,
1.685,17046.0,13610.0,18958.0,18135.0,18345.0,17133.0,21119.0,20511.0,16721.0,19332.0,20829.0,20289.0,18229.0,20102.0,
1.735,17054.0,13610.0,18935.0,18112.0,18376.0,17140.0,21134.0,20497.0,20840.0,19302.0,20829.0,20282.0,18229.0,20080.0,
1.785,16994.0,13602.0,18988.0,18143.0,18345.0,17133.0,21134.0,20518.0,20825.0,19302.0,20806.0,20312.0,18222.0,20080.0,
1.835,17039.0,13595.0,18935.0,18135.0,18376.0,17148.0,21119.0,20541.0,20832.0,19393.0,20821.0,20289.0,18236.0,20087.0,
1.886,17046.0,13573.0,18958.0,18158.0,18345.0,17148.0,21126.0,20526.0,20832.0,19355.0,20829.0,20312.0,18266.0,20124.0,
1.936,17054.0,13595.0,14823.0,18120.0,18360.0,17125.0,21126.0,20511.0,20825.0,19355.0,20851.0,20326.0,18280.0,20080.0,
1.986,17017.0,13573.0,14846.0,18165.0,18353.0,17141.0,21119.0,20533.0,20893.0,19325.0,20851.0,20282.0,18244.0,20080.0,
2.036,17016.0,13610.0,14877.0,18135.0,18345.0,17133.0,21126.0,20511.0,20847.0,19332.0,20829.0,20334.0,18244.0,20109.0,
2.086,17061.0,13617.0,18935.0,18127.0,18376.0,17133.0,21142.0,20511.0,20863.0,19302.0,20821.0,20289.0,18251.0,20109.0,
2.136,17046.0,13558.0,14862.0,18112.0,18360.0,17141.0,21119.0,20511.0,20848.0,19347.0,20821.0,20348.0,18222.0,20087.0,
2.186,17046.0,13610.0,14831.0,18195.0,18368.0,17163.0,21134.0,20518.0,20840.0,19317.0,20844.0,20312.0,18258.0,20087.0,
2.236,17054.0,13602.0,14816.0,18112.0,18422.0,17156.0,21126.0,20533.0,20893.0,19317.0,20806.0,20289.0,18236.0,20094.0,
2.286,17031.0,13610.0,18927.0,18127.0,18376.0,17148.0,21126.0,20526.0,20840.0,19317.0,20829.0,20319.0,18251.0,20094.0,
2.337,17061.0,13595.0,18950.0,18128.0,18353.0,17133.0,21149.0,20541.0,20825.0,19287.0,20851.0,20304.0,18236.0,20087.0,
2.387,17031.0,13566.0,14854.0,18211.0,18399.0,17140.0,21126.0,20526.0,20832.0,19302.0,20844.0,20282.0,18229.0,20087.0,
2.437,17054.0,13595.0,18919.0,18105.0,18383.0,17171.0,21149.0,20526.0,20855.0,19347.0,20859.0,20289.0,18295.0,20102.0,
2.487,16994.0,13610.0,18935.0,18165.0,18384.0,17141.0,21134.0,20533.0,20832.0,19317.0,20821.0,20297.0,18244.0,20102.0,
2.537,17024.0,13610.0,18942.0,18135.0,18383.0,17148.0,21134.0,20519.0,20833.0,19302.0,20829.0,20304.0,18244.0,20094.0,
2.587,17076.0,13573.0,18942.0,18105.0,18353.0,17148.0,21134.0,20511.0,20900.0,19310.0,20836.0,20341.0,18229.0,20080.0,
2.637,17002.0,13617.0,18950.0,18105.0,18368.0,17133.0,21134.0,20511.0,20817.0,19309.0,20859.0,20304.0,18251.0,20094.0,
2.687,17009.0,13588.0,18942.0,18165.0,18376.0,17178.0,21126.0,20518.0,20863.0,19355.0,20851.0,20297.0,18236.0,20116.0,
2.737,17054.0,13558.0,14846.0,18097.0,18361.0,17140.0,21142.0,20533.0,20840.0,19347.0,20829.0,20282.0,18244.0,20109.0,
2.787,17046.0,13588.0,18950.0,18165.0,18368.0,17110.0,21142.0,20519.0,20840.0,19287.0,20859.0,20282.0,18266.0,20094.0,
2.838,17046.0,13602.0,14854.0,18143.0,18360.0,17140.0,21134.0,20526.0,20825.0,19294.0,20859.0,20297.0,18214.0,20087.0,
2.888,17046.0,13580.0,14846.0,18143.0,18353.0,17118.0,21149.0,20526.0,20863.0,19302.0,20829.0,20319.0,18266.0,20094.0,
2.938,17069.0,13588.0,14839.0,18135.0,18360.0,17133.0,21134.0,20540.0,20848.0,19287.0,20859.0,20282.0,18229.0,20080.0,
2.988,17009.0,13595.0,14839.0,18128.0,18399.0,17133.0,21142.0,20497.0,20810.0,19355.0,20844.0,20370.0,18244.0,20094.0,
3.038,17076.0,13610.0,18973.0,18143.0,18383.0,17126.0,21149.0,20526.0,20817.0,19287.0,20851.0,20267.0,18280.0,20087.0,
3.088,17046.0,13617.0,14877.0,18120.0,18361.0,17163.0,21142.0,20533.0,20817.0,19294.0,20836.0,20304.0,18273.0,20080.0,
3.138,17017.0,13588.0,14839.0,18120.0,18383.0,17156.0,21149.0,20526.0,20847.0,19317.0,20874.0,20356.0,18251.0,20080.0,
3.188,17009.0,13588.0,18942.0,18143.0,18345.0,17125.0,21126.0,20511.0,20833.0,19370.0,20844.0,20297.0,18236.0,20094.0,
3.238,17039.0,13624.0,14869.0,18112.0,18376.0,17163.0,21142.0,20533.0,20885.0,19347.0,20851.0,20282.0,18266.0,20087.0,
3.288,17031.0,13588.0,18958.0,18127.0,18399.0,17171.0,21126.0,20518.0,20832.0,19325.0,20821.0,20275.0,18251.0,20094.0,
3.339,17024.0,13588.0,18912.0,18135.0,18376.0,17133.0,21149.0,20504.0,20832.0,19325.0,20882.0,20326.0,18244.0,20094.0,
3.389,16994.0,13580.0,18988.0,18135.0,18353.0,17163.0,21149.0,20541.0,20840.0,19310.0,20874.0,20297.0,18244.0,20087.0,
3.439,17061.0,13580.0,14846.0,18165.0,18383.0,17141.0,21142.0,20518.0,20825.0,19370.0,20882.0,20334.0,18266.0,20109.0,
3.489,17016.0,13580.0,18973.0,18143.0,18345.0,17141.0,21126.0,20526.0,20825.0,19294.0,20791.0,20326.0,18288.0,20087.0,
3.539,17039.0,13588.0,18942.0,18112.0,18391.0,17141.0,21142.0,20518.0,20832.0,19340.0,20806.0,20334.0,18244.0,20095.0,
3.589,17046.0,13595.0,14862.0,18173.0,18383.0,17163.0,21149.0,20511.0,20908.0,19302.0,20821.0,20341.0,18222.0,20109.0,
3.639,17024.0,13580.0,14823.0,18165.0,18353.0,17126.0,21119.0,20526.0,20863.0,19310.0,20806.0,20297.0,18295.0,20094.0,
3.689,17098.0,13609.0,14846.0,18143.0,18376.0,17163.0,21134.0,20518.0,20840.0,19340.0,20836.0,20304.0,18236.0,20087.0,
3.740,17061.0,13580.0,14831.0,18112.0,18345.0,17186.0,21134.0,20511.0,20848.0,19302.0,20828.0,20275.0,18214.0,20087.0,
3.790,17061.0,13617.0,18950.0,18105.0,18353.0,17125.0,21134.0,20555.0,20817.0,19347.0,20821.0,20282.0,18244.0,20102.0,
3.840,17046.0,13580.0,14816.0,18127.0,18338.0,17141.0,21149.0,20518.0,20833.0,19325.0,20836.0,20289.0,18229.0,20094.0,
3.890,17069.0,13551.0,18927.0,18127.0,18338.0,17110.0,21134.0,20526.0,20840.0,19302.0,20806.0,20297.0,18244.0,20073.0,
3.940,17083.0,13595.0,14831.0,18135.0,18361.0,17148.0,21134.0,20526.0,20810.0,19317.0,20821.0,20312.0,18273.0,20094.0,
3.990,17031.0,13573.0,14831.0,18165.0,18353.0,17163.0,21119.0,20526.0,20893.0,19385.0,20813.0,20356.0,18236.0,20087.0,
4.040,17031.0,13595.0,14839.0,18135.0,18368.0,17133.0,21134.0,20526.0,20817.0,19310.0,20859.0,20334.0,18258.0,20087.0,
4.090,17031.0,13587.0,14854.0,18173.0,18376.0,17133.0,21119.0,20533.0,20833.0,19294.0,20829.0,20370.0,18251.0,20087.0,
4.140,17091.0,13602.0,18919.0,18127.0,18383.0,17141.0,21126.0,20504.0,20908.0,19310.0,20829.0,20326.0,18251.0,20087.0,
4.191,17091.0,13580.0,14831.0,18180.0,18360.0,17178.0,21126.0,20541.0,20870.0,19302.0,20859.0,20378.0,18288.0,20080.0,
4.241,17039.0,13602.0,18973.0,18135.0,18353.0,17163.0,21142.0,20497.0,20878.0,19302.0,20852.0,20312.0,18280.0,20095.0,
4.291,16987.0,13573.0,14862.0,18143.0,18368.0,17126.0,21134.0,20519.0,20893.0,19302.0,20813.0,20282.0,18236.0,20087.0,
4.341,17076.0,13573.0,18935.0,18120.0,18345.0,17171.0,21149.0,20511.0,20870.0,19310.0,20844.0,20304.0,18258.0,20102.0,
4.391,16994.0,13565.0,14839.0,18105.0,18368.0,17148.0,21134.0,20518.0,20878.0,19309.0,20798.0,20312.0,18251.0,20087.0,
4.441,17009.0,13595.0,14831.0,18112.0,18353.0,17118.0,21142.0,20519.0,20870.0,19302.0,20836.0,20289.0,18244.0,20087.0,
4.491,17024.0,13580.0,18927.0,18158.0,18361.0,17178.0,21126.0,20540.0,20840.0,19317.0,20813.0,20326.0,18251.0,20095.0,
4.541,17106.0,13588.0,14854.0,18120.0,18376.0,17186.0,21134.0,20526.0,20848.0,19302.0,20806.0,20334.0,18258.0,20087.0,
4.591,17061.0,13588.0,14816.0,18196.0,18345.0,17171.0,21142.0,20541.0,20848.0,19325.0,20874.0,20378.0,18251.0,20094.0,
4.641,17039.0,13580.0,14831.0,18173.0,18353.0,17141.0,21142.0,20526.0,20878.0,19310.0,20844.0,20348.0,18295.0,20094.0,
4.691,16987.0,13588.0,14846.0,18120.0,18361.0,17186.0,21142.0,20526.0,20863.0,19310.0,20836.0,20334.0,18236.0,20080.0,
4.742,17061.0,13595.0,14823.0,18120.0,18376.0,17156.0,21142.0,20511.0,20870.0,19317.0,20836.0,20348.0,18236.0,20080.0,
4.792,17024.0,13602.0,14862.0,18112.0,18361.0,17148.0,21157.0,20496.0,20848.0,19302.0,20821.0,20363.0,18288.0,20080.0,
4.842,17002.0,13580.0,18927.0,18143.0,18376.0,17133.0,21142.0,20504.0,20901.0,19294.0,20829.0,20297.0,18244.0,20094.0,
4.892,17061.0,13595.0,14831.0,18150.0,18391.0,17148.0,21126.0,20533.0,20893.0,19295.0,20897.0,20289.0,18288.0,20094.0,
4.942,17106.0,13610.0,14854.0,18128.0,18353.0,17148.0,21157.0,20511.0,20840.0,19325.0,20813.0,20282.0,18236.0,20094.0,
4.992,17031.0,13580.0,14854.0,18120.0,18353.0,17125.0,21142.0,20511.0,20863.0,19302.0,20814.0,20326.0,18244.0,20102.0,
5.042,17046.0,13610.0,18942.0,18097.0,18376.0,17141.0,21119.0,20526.0,20825.0,19287.0,20882.0,20334.0,18266.0,20094.0,
5.092,17002.0,13580.0,18980.0,18128.0,18399.0,17148.0,21142.0,20497.0,20878.0,19325.0,20882.0,20312.0,18266.0,20095.0,
5.142,17002.0,13595.0,18927.0,18158.0,18368.0,17141.0,21134.0,20526.0,20847.0,19294.0,20829.0,20400.0,18251.0,20087.0,
5.193,17039.0,13602.0,18927.0,18165.0,18353.0,17125.0,21134.0,20526.0,20886.0,19294.0,20859.0,20341.0,18244.0,20087.0,
5.243,17039.0,13580.0,14839.0,18120.0,18376.0,17133.0,21119.0,20496.0,20893.0,19294.0,20882.0,20326.0,18280.0,20080.0,
5.293,17046.0,13624.0,14816.0,18173.0,18360.0,17171.0,21134.0,20519.0,20870.0,19317.0,20814.0,20297.0,18258.0,20109.0,
5.343,17031.0,13610.0,14846.0,18090.0,18368.0,17126.0,21142.0,20526.0,20855.0,19287.0,20836.0,20326.0,18244.0,20094.0,
5.393,17046.0,13551.0,18935.0,18150.0,18361.0,17148.0,21134.0,20519.0,20855.0,19287.0,20844.0,20348.0,18229.0,20094.0,
5.443,17054.0,13588.0,14862.0,18135.0,18353.0,17141.0,21134.0,20504.0,20863.0,19355.0,20851.0,20341.0,18273.0,20094.0,
5.493,17054.0,13602.0,14846.0,18097.0,18361.0,17141.0,21142.0,20504.0,20848.0,19302.0,20897.0,20312.0,18273.0,20094.0,
5.543,17009.0,13610.0,14831.0,18127.0,18368.0,17148.0,21134.0,20526.0,20840.0,19317.0,20829.0,20334.0,18273.0,20080.0,
5.593,17016.0,13580.0,14862.0,18143.0,18360.0,17140.0,21119.0,20526.0,20825.0,19332.0,20859.0,20267.0,18251.0,20087.0,
5.643,17069.0,13610.0,14862.0,18112.0,18360.0,17186.0,21126.0,20526.0,20825.0,19325.0,20836.0,20326.0,18236.0,20094.0,
5.693,16994.0,13573.0,18935.0,18120.0,18345.0,17141.0,21142.0,20519.0,20825.0,19347.0,20882.0,20297.0,18251.0,20095.0,
5.744,17017.0,13580.0,14846.0,18105.0,18376.0,17125.0,21134.0,20511.0,20825.0,19310.0,20806.0,20334.0,18251.0,20087.0,
5.794,17009.0,13610.0,18919.0,18180.0,18353.0,17178.0,21142.0,20511.0,20810.0,19325.0,20791.0,20312.0,18258.0,20087.0,
5.844,17024.0,13602.0,14831.0,18165.0,18353.0,17156.0,21157.0,20526.0,20847.0,19294.0,20874.0,20297.0,18236.0,20102.0,
5.894,17024.0,13602.0,14839.0,18143.0,18360.0,17148.0,21134.0,20533.0,20847.0,19325.0,20821.0,20282.0,18229.0,20102.0,
5.944,17031.0,13595.0,14839.0,18127.0,18361.0,17141.0,21142.0,20519.0,20847.0,19302.0,20851.0,20282.0,18236.0,20087.0,
5.994,17031.0,13580.0,14823.0,18158.0,18383.0,17125.0,21119.0,20497.0,20893.0,19302.0,20920.0,20304.0,18236.0,20094.0,
6.044,17054.0,13573.0,18942.0,18105.0,18391.0,17156.0,21149.0,20496.0,20848.0,19287.0,20821.0,20312.0,18229.0,20094.0,
6.094,17054.0,13588.0,18965.0,18120.0,18414.0,17133.0,21134.0,20511.0,20825.0,19348.0,20836.0,20289.0,18244.0,20087.0,
6.144,17017.0,13595.0,18942.0,18173.0,18361.0,17163.0,21126.0,20548.0,20825.0,19310.0,20821.0,20304.0,18258.0,20080.0,
6.194,17024.0,13602.0,14839.0,18120.0,18361.0,17171.0,21142.0,20519.0,20848.0,19310.0,20859.0,20341.0,18229.0,20087.0,
6.244,17054.0,13602.0,14839.0,18105.0,18376.0,17148.0,21134.0,20519.0,20878.0,19302.0,20867.0,20348.0,18251.0,20109.0,
6.294,17061.0,13588.0,14846.0,18112.0,18376.0,17118.0,21142.0,20519.0,20825.0,19332.0,20882.0,20312.0,18236.0,20087.0,
6.345,17017.0,13595.0,14854.0,18158.0,18338.0,17141.0,21134.0,20511.0,20825.0,19302.0,20814.0,20289.0,18244.0,20087.0,
6.395,17054.0,13588.0,14862.0,18135.0,18376.0,17156.0,21157.0,20526.0,20885.0,19279.0,20837.0,20334.0,18236.0,20080.0,
6.445,17046.0,13610.0,14831.0,18158.0,18345.0,17156.0,21149.0,20526.0,20886.0,19295.0,20859.0,20312.0,18222.0,20080.0,
6.495,17002.0,13573.0,18919.0,18105.0,18368.0,17140.0,21134.0,20540.0,20832.0,19287.0,20836.0,20275.0,18236.0,20087.0,
6.545,17031.0,13588.0,18950.0,18105.0,18361.0,17118.0,21126.0,20526.0,20855.0,19332.0,20813.0,20289.0,18251.0,20094.0,
6.595,17024.0,13602.0,14846.0,18128.0,18353.0,17140.0,21126.0,20511.0,20825.0,19294.0,20798.0,20297.0,18229.0,20095.0,
6.645,16987.0,13595.0,14869.0,18128.0,18345.0,17140.0,21149.0,20526.0,20832.0,19347.0,20829.0,20275.0,18244.0,20102.0,
6.695,17024.0,13617.0,14884.0,18127.0,18368.0,17140.0,21134.0,20526.0,20810.0,19294.0,20829.0,20275.0,18288.0,20094.0,
6.745,17061.0,13595.0,14854.0,18150.0,18353.0,17133.0,21126.0,20519.0,20863.0,19355.0,20798.0,20289.0,18273.0,20087.0,
6.796,17002.0,13566.0,14862.0,18158.0,18361.0,17156.0,21149.0,20526.0,20848.0,19287.0,20806.0,20312.0,18222.0,20102.0,
6.846,17024.0,13617.0,18980.0,18120.0,18368.0,17148.0,21142.0,20541.0,20825.0,19294.0,20882.0,20311.0,18244.0,20087.0,
6.896,17054.0,13580.0,18942.0,18158.0,18368.0,17163.0,21134.0,20519.0,20848.0,19355.0,20798.0,20370.0,18236.0,20102.0,
6.946,17098.0,13624.0,18965.0,18135.0,18345.0,17171.0,21126.0,20533.0,20878.0,19355.0,20813.0,20289.0,18244.0,20087.0,
6.996,17039.0,13595.0,18935.0,18128.0,18361.0,17186.0,21134.0,20533.0,20832.0,19347.0,20821.0,20297.0,18236.0,20102.0,
7.046,17002.0,13602.0,18973.0,18120.0,18361.0,17133.0,21119.0,20526.0,20847.0,19294.0,20806.0,20297.0,18258.0,20080.0,
7.096,17076.0,13602.0,18950.0,18120.0,18361.0,17133.0,21157.0,20526.0,20840.0,19310.0,20844.0,20312.0,18236.0,20087.0,
7.146,17069.0,13624.0,18935.0,18211.0,18406.0,17133.0,21134.0,20585.0,20825.0,19302.0,20836.0,20289.0,18280.0,20102.0,
7.196,17046.0,13602.0,14877.0,18120.0,18361.0,17156.0,21149.0,20511.0,20840.0,19294.0,20844.0,20297.0,18251.0,20080.0,
7.246,17046.0,13580.0,14869.0,18173.0,18345.0,17148.0,21134.0,20518.0,20810.0,19332.0,20897.0,20297.0,18266.0,20080.0,
7.296,17031.0,13588.0,14839.0,18120.0,18360.0,17140.0,21142.0,20511.0,20840.0,19295.0,20829.0,20341.0,18229.0,20094.0,
7.346,17002.0,13566.0,14839.0,18127.0,18345.0,17126.0,21149.0,20526.0,20855.0,19317.0,20814.0,20282.0,18295.0,20102.0,
7.397,17016.0,13580.0,14846.0,18112.0,18368.0,17125.0,21126.0,20526.0,20900.0,19310.0,20829.0,20297.0,18251.0,20087.0,
7.447,17039.0,13602.0,14846.0,18128.0,18353.0,17148.0,21119.0,20526.0,20825.0,19317.0,20874.0,20341.0,18302.0,20087.0,
7.497,17002.0,13588.0,14831.0,18150.0,18376.0,17148.0,21126.0,20497.0,20862.0,19310.0,20852.0,20319.0,18251.0,20094.0,
7.547,17069.0,13617.0,14869.0,18112.0,18414.0,17126.0,21134.0,20533.0,20809.0,19355.0,20829.0,20312.0,18280.0,20087.0,
7.597,17039.0,13580.0,14839.0,18150.0,18353.0,17133.0,21142.0,20526.0,20870.0,19355.0,20813.0,20275.0,18258.0,20102.0,
7.647,17024.0,13610.0,18919.0,18135.0,18361.0,17178.0,21142.0,20519.0,20833.0,19332.0,20829.0,20297.0,18273.0,20109.0,
7.697,16994.0,13610.0,18942.0,18127.0,18368.0,17133.0,21134.0,20592.0,20847.0,19347.0,20821.0,20334.0,18258.0,20094.0,
7.747,17054.0,13566.0,14862.0,18128.0,18368.0,17193.0,21142.0,20518.0,20870.0,19370.0,20882.0,20275.0,18273.0,20102.0,
7.797,17024.0,13602.0,18919.0,18180.0,18368.0,17186.0,21126.0,20526.0,20825.0,19302.0,20897.0,20334.0,18280.0,20080.0,
7.847,17039.0,13595.0,18973.0,18150.0,18338.0,17156.0,21142.0,20526.0,20832.0,19332.0,20836.0,20334.0,18258.0,20109.0,
7.898,17046.0,13580.0,18935.0,18120.0,18376.0,17133.0,21149.0,20511.0,20832.0,19325.0,20844.0,20297.0,18236.0,20094.0,
7.948,17024.0,13573.0,18935.0,18127.0,18368.0,17171.0,21119.0,20511.0,20840.0,19310.0,20859.0,20348.0,18273.0,20102.0,
7.998,17024.0,13587.0,14839.0,18112.0,18368.0,17163.0,21149.0,20548.0,20885.0,19310.0,20866.0,20267.0,18229.0,20094.0,
8.048,17039.0,13610.0,14854.0,18127.0,18360.0,17156.0,21126.0,20526.0,20832.0,19302.0,20897.0,20319.0,18214.0,20094.0,
8.098,17039.0,13588.0,14846.0,18150.0,18368.0,17133.0,21134.0,20519.0,20878.0,19347.0,20829.0,20289.0,18251.0,20094.0,
8.148,17054.0,13617.0,18942.0,18173.0,18368.0,17148.0,21126.0,20497.0,20855.0,19310.0,20829.0,20334.0,18236.0,20094.0,
8.198,17009.0,13610.0,14854.0,18158.0,18353.0,17133.0,21134.0,20504.0,20817.0,19325.0,20859.0,20282.0,18236.0,20080.0,
8.248,16994.0,13595.0,14862.0,18135.0,18368.0,17118.0,21126.0,20496.0,20825.0,19332.0,20806.0,20312.0,18222.0,20109.0,
